"Status","Year","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Health and Safety Executive","Department for Work and Pensions","40","30","44880","39390"
"In post","2021","Analysis","HM Courts and Tribunals Service","Ministry of Justice","10","10","43980","40480"
"In post","2021","Analysis","HM Land Registry","HM Land Registry","20","15","45890","36200"
"In post","2021","Analysis","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","640","620","44040","38630"
"In post","2021","Analysis","HM Treasury (excl. agencies)","HM Treasury","125","125","50460","52530"
"In post","2021","Analysis","Insolvency Service","Department for Business, Energy and Industrial Strategy","20","20","41620","40270"
"In post","2021","Analysis","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","195","190","40460","38500"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","200","195","46620","45970"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","400","385","45200","40480"
"In post","2021","Analysis","National Savings and Investments","Chancellor's other departments","10","10","38090","33290"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","155","145","39800","35010"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","70","65","54970","52390"
"In post","2021","Analysis","Office of Rail and Road","Office of Rail and Road","45","45","52060","55430"
"In post","2021","Analysis","Planning Inspectorate","Ministry of Housing, Communities and Local Government","10","10","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Scottish Government","20","20","37960","36780"
"In post","2021","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","35","30","31320","29690"
"In post","2021","Analysis","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","UK Export Finance","25","25","44760","38200"
"In post","2021","Analysis","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","15","15","51250","58490"
"In post","2021","Analysis","United Kingdom Statistics Authority","United Kingdom Statistics Authority","1700","1630","37100","35390"
"In post","2021","Analysis","Valuation Office Agency","HM Revenue and Customs","50","45","47010","44120"
"In post","2021","Analysis","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","35","35","64820","58590"
"In post","2021","Analysis","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","50","45","32690","29640"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","1415","1395","70640","64500"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","15","15","41410","38800"
"In post","2021","Commercial","Charity Commission","Charity Commission","5","5","[c]","[c]"
"In post","2021","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","Other Cabinet Office Agencies","370","360","34050","34800"
"In post","2021","Commercial","Crown Prosecution Service","Attorney General's Departments","20","20","44140","39880"
"In post","2021","Commercial","Debt Management Office","HM Treasury","10","10","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","Ministry of Defence","25","25","32190","30040"
"In post","2021","Commercial","Defence Equipment and Support","Ministry of Defence","280","275","44340","41300"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","70","65","33600","35470"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","15","15","46040","45210"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","30","30","52220","51730"
"In post","2021","Commercial","Department for Education (excl. agencies)","Department for Education","185","180","39780","38000"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","140","135","39210","36970"
"In post","2021","Commercial","Department for International Trade","Department for International Trade","25","25","37120","38160"
"In post","2021","Commercial","Department for Transport (excl. agencies)","Department for Transport","10","10","39110","39060"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","200","195","48750","40650"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","155","140","32760","31040"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","Department for Transport","40","40","36260","38650"
"In post","2021","Commercial","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","80","80","47060","41610"
"In post","2021","Commercial","Food Standards Agency","Food Standards Agency","15","10","37910","31530"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","80","80","40260","39630"
"In post","2021","Commercial","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","Department for Work and Pensions","45","45","40900","39390"
"In post","2021","Commercial","HM Land Registry","HM Land Registry","20","20","39980","38550"
"In post","2021","Commercial","HM Prison and Probation Service","Ministry of Justice","680","660","49260","48020"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","140","135","36710","35000"
"In post","2021","Commercial","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","Department for Business, Energy and Industrial Strategy","25","25","44220","42700"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","15","15","49540","50470"
"In post","2021","Commercial","Legal Aid Agency","Ministry of Justice","160","155","37690","38210"
"In post","2021","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","190","185","42990","40140"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","1535","1485","35080","33300"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","10","10","41880","40730"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","210","205","32680","30920"
"In post","2021","Commercial","National Crime Agency","National Crime Agency","20","20","44750","45570"
"In post","2021","Commercial","National Savings and Investments","Chancellor's other departments","10","10","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","15","15","35070","32010"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Planning Inspectorate","Ministry of Housing, Communities and Local Government","5","5","[c]","[c]"
"In post","2021","Commercial","Public Health England","Department of Health and Social Care","40","40","40790","39520"
"In post","2021","Commercial","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","10","10","[c]","[c]"
"In post","2021","Commercial","Registers of Scotland","Scottish Government","10","10","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","Scottish Government","10","10","35460","32890"
"In post","2021","Commercial","Scottish Prison Service","Scottish Government","85","80","30640","25870"
"In post","2021","Commercial","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Submarine Delivery Agency","Ministry of Defence","145","145","40530","38240"
"In post","2021","Commercial","The National Archives","The National Archives","40","40","32110","24510"
"In post","2021","Commercial","UK Export Finance","UK Export Finance","190","190","53960","49790"
"In post","2021","Commercial","UK Hydrographic Office","Ministry of Defence","20","20","45380","42510"
"In post","2021","Commercial","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","United Kingdom Statistics Authority","35","35","46660","49100"
"In post","2021","Commercial","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wilton Park","Foreign, Commonwealth and Development Office","25","20","28600","25710"
"In post","2021","Communications","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","15","15","41890","39130"
"In post","2021","Communications","Attorney General's Office","Attorney General's Departments","10","10","42490","38010"
"In post","2021","Communications","Cabinet Office (excl. agencies)","Cabinet Office","340","340","47060","42150"
"In post","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2021","Communications","Charity Commission","Charity Commission","30","30","38850","32810"
"In post","2021","Communications","Companies House","Department for Business, Energy and Industrial Strategy","20","20","36610","36240"
"In post","2021","Communications","Competition and Markets Authority","Competition and Markets Authority","35","35","47210","41980"
"In post","2021","Communications","Crown Commercial Service","Other Cabinet Office Agencies","20","15","35330","34270"
"In post","2021","Communications","Crown Office and Procurator Fiscal Service","Scottish Government","10","10","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","Attorney General's Departments","50","50","41310","39750"
"In post","2021","Communications","Debt Management Office","HM Treasury","5","5","[c]","[c]"
"In post","2021","Communications","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Ministry of Defence","285","280","26940","22190"
"In post","2021","Communications","Defence Science and Technology Laboratory","Ministry of Defence","25","25","37840","37320"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","110","105","48940","45270"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","45","40","55500","52120"
"In post","2021","Communications","Department for Education (excl. agencies)","Department for Education","235","230","37820","33510"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","265","250","41570","37790"
"In post","2021","Communications","Department for International Trade","Department for International Trade","105","105","42660","38540"
"In post","2021","Communications","Department for Transport (excl. agencies)","Department for Transport","120","115","47130","43360"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","185","180","43490","38360"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","Department for Transport","65","60","29810","26740"
"In post","2021","Communications","Driver and Vehicle Standards Agency","Department for Transport","85","80","31290","30730"
"In post","2021","Communications","Education and Skills Funding Agency","Department for Education","90","85","43280","40300"
"In post","2021","Communications","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","FCDO Services","Foreign, Commonwealth and Development Office","10","10","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Food Standards Agency","35","35","43250","40960"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","135","130","48810","45840"
"In post","2021","Communications","Forestry and Land Scotland","Scottish Government","20","15","37400","37530"
"In post","2021","Communications","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Internal Audit Agency","HM Treasury","5","5","[c]","[c]"
"In post","2021","Communications","Government Legal Department","Attorney General's Departments","15","15","47840","38290"
"In post","2021","Communications","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Health and Safety Executive","Department for Work and Pensions","35","35","44460","39390"
"In post","2021","Communications","HM Courts and Tribunals Service","Ministry of Justice","15","15","45310","39610"
"In post","2021","Communications","HM Land Registry","HM Land Registry","30","30","39980","37290"
"In post","2021","Communications","HM Prison and Probation Service","Ministry of Justice","5","5","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","4155","3995","29230","25560"
"In post","2021","Communications","HM Treasury (excl. agencies)","HM Treasury","30","30","47090","42300"
"In post","2021","Communications","Insolvency Service","Department for Business, Energy and Industrial Strategy","10","10","38420","39800"
"In post","2021","Communications","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal Aid Agency","Ministry of Justice","10","10","[c]","[c]"
"In post","2021","Communications","Maritime and Coastguard Agency","Department for Transport","20","20","35120","31860"
"In post","2021","Communications","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","50","50","40790","34270"
"In post","2021","Communications","Met Office","Department for Business, Energy and Industrial Strategy","30","30","38570","38250"
"In post","2021","Communications","Ministry of Defence (excl. agencies)","Ministry of Defence","535","520","34600","33300"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","100","100","40960","36340"
"In post","2021","Communications","Ministry of Justice (excl. agencies)","Ministry of Justice","125","125","43830","39870"
"In post","2021","Communications","National Crime Agency","National Crime Agency","30","30","45600","45480"
"In post","2021","Communications","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Savings and Investments","Chancellor's other departments","15","15","47810","44970"
"In post","2021","Communications","Northern Ireland Office","Northern Ireland Office","15","15","46400","37370"
"In post","2021","Communications","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","35","35","41730","39850"
"In post","2021","Communications","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","35","35","44310","36480"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","15","15","41670","38000"
"In post","2021","Communications","Office of Rail and Road","Office of Rail and Road","15","15","47110","41160"
"In post","2021","Communications","Planning Inspectorate","Ministry of Housing, Communities and Local Government","10","5","[c]","[c]"
"In post","2021","Communications","Public Health England","Department of Health and Social Care","75","70","47540","42630"
"In post","2021","Communications","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Registers of Scotland","Scottish Government","20","20","37200","36780"
"In post","2021","Communications","Rural Payments Agency","Department for Environment, Food and Rural Affairs","105","95","28870","26030"
"In post","2021","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","5","5","[c]","[c]"
"In post","2021","Communications","Scottish Courts and Tribunals Service","Scottish Government","5","5","[c]","[c]"
"In post","2021","Communications","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Serious Fraud Office","Attorney General's Departments","5","5","[c]","[c]"
"In post","2021","Communications","The National Archives","The National Archives","20","15","34170","29470"
"In post","2021","Communications","UK Export Finance","UK Export Finance","35","35","58640","49610"
"In post","2021","Communications","UK Hydrographic Office","Ministry of Defence","15","15","39890","42510"
"In post","2021","Communications","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","25","25","36910","30170"
"In post","2021","Communications","UK Space Agency","Department for Business, Energy and Industrial Strategy","10","10","44910","38990"
"In post","2021","Communications","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","United Kingdom Statistics Authority","85","80","37320","36030"
"In post","2021","Communications","Valuation Office Agency","HM Revenue and Customs","20","20","43590","39760"
"In post","2021","Communications","Vehicle Certification Agency","Department for Transport","10","10","[c]","[c]"
"In post","2021","Communications","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","Water Services Regulation Authority","15","15","52390","49620"
"In post","2021","Communications","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Cabinet Office (excl. agencies)","Cabinet Office","95","90","47100","49700"
"In post","2021","Counter Fraud","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Driver and Vehicle Licensing Agency","Department for Transport","10","10","32860","29240"
"In post","2021","Counter Fraud","Driver and Vehicle Standards Agency","Department for Transport","50","45","29060","26780"
"In post","2021","Counter Fraud","Food Standards Agency","Food Standards Agency","60","60","38850","37630"
"In post","2021","Counter Fraud","Government Internal Audit Agency","HM Treasury","35","35","39590","38090"
"In post","2021","Counter Fraud","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","8835","8295","33150","31810"
"In post","2021","Counter Fraud","Insolvency Service","Department for Business, Energy and Industrial Strategy","260","250","39230","39170"
"In post","2021","Counter Fraud","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Serious Fraud Office","Attorney General's Departments","245","240","45590","40000"
"In post","2021","Counter Fraud","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","20","20","37760","34870"
"In post","2021","Debt","Debt Management Office","HM Treasury","10","10","58320","49090"
"In post","2021","Debt","Health and Safety Executive","Department for Work and Pensions","5","5","[c]","[c]"
"In post","2021","Debt","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","4650","4200","23180","20140"
"In post","2021","Debt","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","60","55","45550","43750"
"In post","2021","Digital, Data & Technology","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","15","15","32170","29180"
"In post","2021","Digital, Data & Technology","Cabinet Office (excl. agencies)","Cabinet Office","970","955","51340","54700"
"In post","2021","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","20","20","30610","29270"
"In post","2021","Digital, Data & Technology","Charity Commission","Charity Commission","45","45","36050","37910"
"In post","2021","Digital, Data & Technology","Companies House","Department for Business, Energy and Industrial Strategy","255","250","38840","38000"
"In post","2021","Digital, Data & Technology","Competition and Markets Authority","Competition and Markets Authority","65","65","56530","54550"
"In post","2021","Digital, Data & Technology","Criminal Injuries Compensation Authority","Ministry of Justice","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Crown Commercial Service","Other Cabinet Office Agencies","115","115","41230","35760"
"In post","2021","Digital, Data & Technology","Crown Office and Procurator Fiscal Service","Scottish Government","50","50","40730","36930"
"In post","2021","Digital, Data & Technology","Crown Prosecution Service","Attorney General's Departments","120","115","39410","38180"
"In post","2021","Digital, Data & Technology","Debt Management Office","HM Treasury","30","30","53270","54490"
"In post","2021","Digital, Data & Technology","Defence Electronics and Components Agency","Ministry of Defence","10","10","30920","31450"
"In post","2021","Digital, Data & Technology","Defence Equipment and Support","Ministry of Defence","40","40","33960","34810"
"In post","2021","Digital, Data & Technology","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","140","140","46550","40220"
"In post","2021","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","20","20","54810","56860"
"In post","2021","Digital, Data & Technology","Department for Education (excl. agencies)","Department for Education","410","405","39140","36500"
"In post","2021","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","670","645","43890","47550"
"In post","2021","Digital, Data & Technology","Department for International Trade","Department for International Trade","125","125","46700","43500"
"In post","2021","Digital, Data & Technology","Department for Transport (excl. agencies)","Department for Transport","125","125","41280","39040"
"In post","2021","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","170","165","43630","36820"
"In post","2021","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Department for Transport","710","690","40340","39040"
"In post","2021","Digital, Data & Technology","Driver and Vehicle Standards Agency","Department for Transport","225","220","36270","33350"
"In post","2021","Digital, Data & Technology","Education and Skills Funding Agency","Department for Education","225","220","39740","36780"
"In post","2021","Digital, Data & Technology","FCDO Services","Foreign, Commonwealth and Development Office","120","120","44710","40670"
"In post","2021","Digital, Data & Technology","Food Standards Agency","Food Standards Agency","60","60","44630","40350"
"In post","2021","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","240","235","39640","36520"
"In post","2021","Digital, Data & Technology","Forestry and Land Scotland","Scottish Government","30","30","36800","35680"
"In post","2021","Digital, Data & Technology","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Government Property Agency","Other Cabinet Office Agencies","15","15","61260","60500"
"In post","2021","Digital, Data & Technology","Health and Safety Executive","Department for Work and Pensions","60","55","39240","33460"
"In post","2021","Digital, Data & Technology","HM Courts and Tribunals Service","Ministry of Justice","185","185","37810","32120"
"In post","2021","Digital, Data & Technology","HM Land Registry","HM Land Registry","670","640","38030","38450"
"In post","2021","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","2695","2590","39310","36160"
"In post","2021","Digital, Data & Technology","HM Treasury (excl. agencies)","HM Treasury","30","30","46680","40650"
"In post","2021","Digital, Data & Technology","Insolvency Service","Department for Business, Energy and Industrial Strategy","55","50","42440","41060"
"In post","2021","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","Department for Education","15","15","54360","53680"
"In post","2021","Digital, Data & Technology","Maritime and Coastguard Agency","Department for Transport","110","110","38310","34040"
"In post","2021","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","75","75","46880","41040"
"In post","2021","Digital, Data & Technology","Met Office","Department for Business, Energy and Industrial Strategy","875","830","40280","39650"
"In post","2021","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Ministry of Defence","700","680","32410","29670"
"In post","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","105","100","46850","45920"
"In post","2021","Digital, Data & Technology","Ministry of Justice (excl. agencies)","Ministry of Justice","875","865","48300","47000"
"In post","2021","Digital, Data & Technology","National Crime Agency","National Crime Agency","260","255","41070","37750"
"In post","2021","Digital, Data & Technology","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","80","80","45050","39850"
"In post","2021","Digital, Data & Technology","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","60","60","51940","50000"
"In post","2021","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","20","20","44370","40410"
"In post","2021","Digital, Data & Technology","Office of Rail and Road","Office of Rail and Road","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Planning Inspectorate","Ministry of Housing, Communities and Local Government","45","40","38400","40720"
"In post","2021","Digital, Data & Technology","Public Health England","Department of Health and Social Care","115","110","45230","42180"
"In post","2021","Digital, Data & Technology","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Registers of Scotland","Scottish Government","65","65","42130","36780"
"In post","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","Scottish Government","65","65","34360","29350"
"In post","2021","Digital, Data & Technology","Scottish Prison Service","Scottish Government","30","30","41810","39500"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","Attorney General's Departments","50","50","41680","39270"
"In post","2021","Digital, Data & Technology","Submarine Delivery Agency","Ministry of Defence","55","55","37870","36500"
"In post","2021","Digital, Data & Technology","The National Archives","The National Archives","105","100","40120","39390"
"In post","2021","Digital, Data & Technology","UK Export Finance","UK Export Finance","30","30","55790","52500"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","Ministry of Defence","190","185","38770","35340"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","205","200","44100","41600"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","United Kingdom Statistics Authority","595","585","40840","36840"
"In post","2021","Digital, Data & Technology","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Vehicle Certification Agency","Department for Transport","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Water Services Regulation Authority","Water Services Regulation Authority","25","25","48730","47000"
