"Status","Year","Disability","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Corporate Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","EO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","AA/AO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","EO","Heterosexual / straight","175","170","27250","26670"
"In post","2021","Declared disabled","Digital, Data and Technology","EO","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","EO","Undeclared","25","25","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","EO","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","G6/G7","Heterosexual / straight","160","155","58330","57370"
"In post","2021","Declared disabled","Digital, Data and Technology","G6/G7","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","G6/G7","Undeclared","25","25","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","SEO/HEO","Heterosexual / straight","370","355","37350","36780"
"In post","2021","Declared disabled","Digital, Data and Technology","SEO/HEO","LGBO","55","55","35830","36670"
"In post","2021","Declared disabled","Digital, Data and Technology","SEO/HEO","Undeclared","60","55","38360","38280"
"In post","2021","Declared disabled","Digital, Data and Technology","SEO/HEO","Unknown","35","30","36520","35960"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Economics","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","G6/G7","Heterosexual / straight","35","35","59790","57380"
"In post","2021","Declared disabled","Economics","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Economics","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","SEO/HEO","Heterosexual / straight","35","35","35690","34440"
"In post","2021","Declared disabled","Economics","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Economics","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","AA/AO","Heterosexual / straight","95","80","21440","21440"
"In post","2021","Declared disabled","Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","AA/AO","Undeclared","15","10","[c]","[c]"
"In post","2021","Declared disabled","Finance","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Finance","EO","Heterosexual / straight","115","110","26450","26670"
"In post","2021","Declared disabled","Finance","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Finance","EO","Undeclared","20","15","[c]","[c]"
"In post","2021","Declared disabled","Finance","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Finance","G6/G7","Heterosexual / straight","115","110","57670","57400"
"In post","2021","Declared disabled","Finance","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Finance","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Finance","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Finance","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","SEO/HEO","Heterosexual / straight","270","255","37400","36800"
"In post","2021","Declared disabled","Finance","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Finance","SEO/HEO","Undeclared","25","25","[c]","[c]"
"In post","2021","Declared disabled","Finance","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","AA/AO","Heterosexual / straight","100","90","21800","21440"
"In post","2021","Declared disabled","Human Resources","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","AA/AO","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","EO","Heterosexual / straight","125","115","27430","26780"
"In post","2021","Declared disabled","Human Resources","EO","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","EO","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","G6/G7","Heterosexual / straight","165","160","58260","57460"
"In post","2021","Declared disabled","Human Resources","G6/G7","LGBO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","SCS level","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","SEO/HEO","Heterosexual / straight","350","330","37340","36970"
"In post","2021","Declared disabled","Human Resources","SEO/HEO","LGBO","40","40","36540","34110"
"In post","2021","Declared disabled","Human Resources","SEO/HEO","Undeclared","30","30","37730","37200"
"In post","2021","Declared disabled","Human Resources","SEO/HEO","Unknown","15","10","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","SEO/HEO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","EO","Heterosexual / straight","130","120","28340","27380"
"In post","2021","Declared disabled","Intelligence Analysis","EO","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","EO","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","SEO/HEO","Heterosexual / straight","95","90","36610","35740"
"In post","2021","Declared disabled","Intelligence Analysis","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","G6/G7","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","SEO/HEO","Heterosexual / straight","45","40","40070","39200"
"In post","2021","Declared disabled","Internal Audit","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","International Trade","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","International Trade","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","International Trade","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","International Trade","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","International Trade","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","International Trade","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","International Trade","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","International Trade","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","AA/AO","Heterosexual / straight","35","35","22250","21570"
"In post","2021","Declared disabled","Knowledge and Information Management","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","EO","Heterosexual / straight","45","45","27090","26670"
"In post","2021","Declared disabled","Knowledge and Information Management","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","SEO/HEO","Heterosexual / straight","80","80","37040","36330"
"In post","2021","Declared disabled","Knowledge and Information Management","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","SEO/HEO","Undeclared","25","20","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Unknown","Undeclared","5","5","[c]","[c]"
