"Status","Year","Age","Disability","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Unknown","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Finance","Female","210","200","30700","28970"
"In post","2021","20-29","Unknown","Finance","Male","220","215","30820","29450"
"In post","2021","20-29","Unknown","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Human Resources","Female","230","230","29620","27450"
"In post","2021","20-29","Unknown","Human Resources","Male","120","120","28910","27500"
"In post","2021","20-29","Unknown","Internal Audit","Female","5","5","[c]","[c]"
"In post","2021","20-29","Unknown","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Legal","Female","575","570","26530","24000"
"In post","2021","20-29","Unknown","Legal","Male","240","240","28070","25480"
"In post","2021","20-29","Unknown","No function","Female","6790","6650","27680","26410"
"In post","2021","20-29","Unknown","No function","Male","5720","5670","28120","26380"
"In post","2021","20-29","Unknown","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Project Delivery","Female","375","370","33520","31810"
"In post","2021","20-29","Unknown","Project Delivery","Male","450","445","31290","30420"
"In post","2021","20-29","Unknown","Property","Female","165","160","25000","24500"
"In post","2021","20-29","Unknown","Property","Male","175","170","27220","25860"
"In post","2021","20-29","Unknown","Security","Female","115","115","26580","25540"
"In post","2021","20-29","Unknown","Security","Male","335","335","26450","25680"
"In post","2021","20-29","Unknown","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","Female","1810","1775","29040","27570"
"In post","2021","20-29","Unknown","Unknown","Male","1835","1825","28820","27570"
"In post","2021","30-39","Declared disabled","Analysis","Female","75","70","42410","37920"
"In post","2021","30-39","Declared disabled","Analysis","Male","80","80","42260","37950"
"In post","2021","30-39","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Commercial","Female","80","75","37070","35160"
"In post","2021","30-39","Declared disabled","Commercial","Male","40","40","38230","36030"
"In post","2021","30-39","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Communications","Female","65","60","33770","31810"
"In post","2021","30-39","Declared disabled","Communications","Male","50","50","31110","31810"
"In post","2021","30-39","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Counter Fraud","Female","60","55","31880","29570"
"In post","2021","30-39","Declared disabled","Counter Fraud","Male","60","60","32500","31810"
"In post","2021","30-39","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Debt","Female","30","25","[c]","[c]"
"In post","2021","30-39","Declared disabled","Debt","Male","20","20","[c]","[c]"
"In post","2021","30-39","Declared disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Digital, Data & Technology","Female","95","90","39240","36030"
"In post","2021","30-39","Declared disabled","Digital, Data & Technology","Male","135","135","38420","34660"
"In post","2021","30-39","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Finance","Female","65","60","36830","32430"
"In post","2021","30-39","Declared disabled","Finance","Male","55","55","40310","36970"
"In post","2021","30-39","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Grants Management","Female","5","5","[c]","[c]"
"In post","2021","30-39","Declared disabled","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Grants Management","Unknown","[c]","[c]","[c]","[c]"
