"Status","Year","Ethnicity","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Operational Delivery","10","10","[c]","[c]"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Communications","10","10","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Corporate Finance","5","5","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Human Resources","5","5","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Legal","10","10","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Project Delivery","50","45","45500","35680"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","Operational Delivery","5","5","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","Commercial","10","10","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","Operational Delivery","10","10","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Legal","20","20","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Operational Delivery","20","15","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Attorney General's Departments","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Attorney General's Departments","Finance","5","5","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Attorney General's Departments","Human Resources","5","5","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Attorney General's Departments","Legal","280","260","52840","51470"
"In post","2021","Asian","Crown Prosecution Service","Attorney General's Departments","Operational Delivery","285","260","26670","24590"
"In post","2021","Asian","Crown Prosecution Service","Attorney General's Departments","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Attorney General's Departments","Security","10","5","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","HM Treasury","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","HM Treasury","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2021","Asian","Debt Management Office","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","HM Treasury","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","HM Treasury","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","HM Treasury","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","HM Treasury","Operational Delivery","5","5","[c]","[c]"
"In post","2021","Asian","Debt Management Office","HM Treasury","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","HM Treasury","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","HM Treasury","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Ministry of Defence","Commercial","25","25","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Ministry of Defence","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Ministry of Defence","Finance","20","20","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Ministry of Defence","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Ministry of Defence","Other","95","90","27150","22010"
"In post","2021","Asian","Defence Equipment and Support","Ministry of Defence","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Ministry of Defence","Project Delivery","70","65","35420","33060"
"In post","2021","Asian","Defence Equipment and Support","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Ministry of Defence","Science and Engineering","90","90","34790","33230"
"In post","2021","Asian","Defence Equipment and Support","Ministry of Defence","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Operational Research","5","5","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Science and Engineering","45","45","41520","37700"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Economics","20","20","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Finance","25","25","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Human Resources","10","10","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Operational Delivery","55","55","40120","33640"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Policy","305","300","44120","40050"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Project Delivery","5","5","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Economics","10","10","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Finance","10","10","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Human Resources","5","5","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Other","5","5","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Policy","55","55","43920","40590"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Project Delivery","20","20","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","Department for Education","Commercial","15","15","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","Department for Education","Communications","15","10","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","Department for Education","Digital, Data and Technology","50","50","36910","34000"
"In post","2021","Asian","Department for Education (excl. agencies)","Department for Education","Finance","55","55","35130","31650"
"In post","2021","Asian","Department for Education (excl. agencies)","Department for Education","Human Resources","10","10","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","Department for Education","Legal","5","5","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","Department for Education","Operational Delivery","60","60","37020","33780"
"In post","2021","Asian","Department for Education (excl. agencies)","Department for Education","Policy","200","190","42030","38480"
"In post","2021","Asian","Department for Education (excl. agencies)","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","Department for Education","Property","45","45","49220","52030"
"In post","2021","Asian","Department for Education (excl. agencies)","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Commercial","10","10","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Communications","10","10","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","25","25","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Economics","10","10","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Finance","25","25","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Human Resources","15","15","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Internal Audit","[c]","[c]","[c]","[c]"
