"Status","Year","Disability","Ethnicity","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Inspector of Education and Training","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Inspector of Education and Training","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","International Trade","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Female","45","35","51710","51120"
"In post","2021","Declared disabled","Asian","Legal","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Medicine","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Medicine","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Delivery","Female","520","455","27670","25630"
"In post","2021","Declared disabled","Asian","Operational Delivery","Male","365","340","28240","25630"
"In post","2021","Declared disabled","Asian","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other","Female","30","25","28800","26270"
"In post","2021","Declared disabled","Asian","Other","Male","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning Inspectors","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning Inspectors","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Policy","Female","95","90","40830","35050"
"In post","2021","Declared disabled","Asian","Policy","Male","70","70","42510","37630"
"In post","2021","Declared disabled","Asian","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Female","40","40","42120","39110"
"In post","2021","Declared disabled","Asian","Project Delivery","Male","35","35","38450","36810"
"In post","2021","Declared disabled","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Female","10","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Psychology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Social Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Statistics","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Statistics","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Tax","Female","40","35","32800","31810"
"In post","2021","Declared disabled","Asian","Tax","Male","60","60","35780","32520"
"In post","2021","Declared disabled","Asian","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Female","660","570","28940","27570"
"In post","2021","Declared disabled","Asian","Unknown","Male","425","405","28280","27570"
"In post","2021","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data and Technology","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data and Technology","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","Female","25","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Human Resources","Female","35","30","41000","37560"
"In post","2021","Declared disabled","Black","Human Resources","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Inspector of Education and Training","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Inspector of Education and Training","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Intelligence Analysis","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Intelligence Analysis","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","International Trade","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Legal","Female","35","30","47620","51000"
"In post","2021","Declared disabled","Black","Legal","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Medicine","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Medicine","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Operational Delivery","Female","475","440","29460","27490"
"In post","2021","Declared disabled","Black","Operational Delivery","Male","175","170","29530","27930"
"In post","2021","Declared disabled","Black","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Other","Female","35","30","31010","29370"
"In post","2021","Declared disabled","Black","Other","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Planning Inspectors","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Planning Inspectors","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Policy","Female","95","90","36850","34020"
"In post","2021","Declared disabled","Black","Policy","Male","40","40","37700","34610"
"In post","2021","Declared disabled","Black","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Project Delivery","Female","35","35","40930","36160"
"In post","2021","Declared disabled","Black","Project Delivery","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Property","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Psychology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Science and Engineering","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Science and Engineering","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Security","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Social Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Statistics","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Tax","Female","35","35","32240","32520"
"In post","2021","Declared disabled","Black","Tax","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","Female","490","445","29770","31060"
"In post","2021","Declared disabled","Black","Unknown","Male","145","140","31020","30090"
"In post","2021","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Inspector of Education and Training","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Inspector of Education and Training","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Medicine","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Medicine","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Operational Delivery","Female","20","15","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Planning Inspectors","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Planning Inspectors","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Policy","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Psychology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Social Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Commercial","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Commercial","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Digital, Data and Technology","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Digital, Data and Technology","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Finance","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Finance","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Human Resources","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Human Resources","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Inspector of Education and Training","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Inspector of Education and Training","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Intelligence Analysis","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Intelligence Analysis","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
