"Status","Year","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Unknown","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","65","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","640","[c]","34740","32400"
"Leaver Dept.","2021","AA","Heterosexual / straight","50","[c]","18900","18030"
"Leaver Dept.","2021","AA","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA","Undeclared","5","[c]","[c]","[c]"
"Leaver Dept.","2021","AA","Unknown","25","[c]","[c]","[c]"
"Leaver Dept.","2021","AO","Heterosexual / straight","850","[c]","21230","21010"
"Leaver Dept.","2021","AO","LGBO","75","[c]","21080","21010"
"Leaver Dept.","2021","AO","Undeclared","95","[c]","21730","21010"
"Leaver Dept.","2021","AO","Unknown","1030","[c]","21080","21010"
"Leaver Dept.","2021","EO","Heterosexual / straight","1345","[c]","26720","27570"
"Leaver Dept.","2021","EO","LGBO","125","[c]","26510","27240"
"Leaver Dept.","2021","EO","Undeclared","145","[c]","27280","27570"
"Leaver Dept.","2021","EO","Unknown","790","[c]","27280","27570"
"Leaver Dept.","2021","G6","Heterosexual / straight","300","[c]","66050","65490"
"Leaver Dept.","2021","G6","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2021","G6","Undeclared","45","[c]","65860","65170"
"Leaver Dept.","2021","G6","Unknown","200","[c]","66370","64970"
"Leaver Dept.","2021","G7","Heterosexual / straight","900","[c]","54560","54080"
"Leaver Dept.","2021","G7","LGBO","95","[c]","53730","53380"
"Leaver Dept.","2021","G7","Undeclared","125","[c]","55500","54310"
"Leaver Dept.","2021","G7","Unknown","625","[c]","53750","53500"
"Leaver Dept.","2021","HEO","Heterosexual / straight","1480","[c]","32660","32620"
"Leaver Dept.","2021","HEO","LGBO","175","[c]","32800","32560"
"Leaver Dept.","2021","HEO","Undeclared","145","[c]","33230","32830"
"Leaver Dept.","2021","HEO","Unknown","1315","[c]","32130","32000"
"Leaver Dept.","2021","SCS level","Heterosexual / straight","190","[c]","88740","80000"
"Leaver Dept.","2021","SCS level","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS level","Undeclared","20","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS level","Unknown","120","[c]","84510","77080"
"Leaver Dept.","2021","SEO","Heterosexual / straight","790","[c]","40360","40320"
"Leaver Dept.","2021","SEO","LGBO","65","[c]","40060","39900"
"Leaver Dept.","2021","SEO","Undeclared","105","[c]","40850","40810"
"Leaver Dept.","2021","SEO","Unknown","490","[c]","40300","39510"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","95","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","110","[c]","[c]","[c]"
"New entrant CS","2021","AA","Heterosexual / straight","1440","[c]","19800","20060"
"New entrant CS","2021","AA","LGBO","150","[c]","19690","20060"
"New entrant CS","2021","AA","Undeclared","100","[c]","19650","20060"
"New entrant CS","2021","AA","Unknown","1155","[c]","19740","20060"
"New entrant CS","2021","AO","Heterosexual / straight","9890","[c]","21920","21010"
"New entrant CS","2021","AO","LGBO","985","[c]","21740","21010"
"New entrant CS","2021","AO","Undeclared","670","[c]","21600","21010"
"New entrant CS","2021","AO","Unknown","6180","[c]","21760","20880"
"New entrant CS","2021","EO","Heterosexual / straight","12400","[c]","27920","27570"
"New entrant CS","2021","EO","LGBO","1385","[c]","27700","27570"
"New entrant CS","2021","EO","Undeclared","835","[c]","27700","27570"
"New entrant CS","2021","EO","Unknown","4060","[c]","26620","27130"
"New entrant CS","2021","G6","Heterosexual / straight","355","[c]","68370","66230"
"New entrant CS","2021","G6","LGBO","20","[c]","[c]","[c]"
"New entrant CS","2021","G6","Undeclared","50","[c]","70780","69780"
"New entrant CS","2021","G6","Unknown","310","[c]","71210","66270"
"New entrant CS","2021","G7","Heterosexual / straight","1790","[c]","54560","53360"
"New entrant CS","2021","G7","LGBO","135","[c]","54690","53360"
"New entrant CS","2021","G7","Undeclared","175","[c]","55470","54000"
"New entrant CS","2021","G7","Unknown","930","[c]","54740","53360"
"New entrant CS","2021","HEO","Heterosexual / straight","4250","[c]","32660","32540"
"New entrant CS","2021","HEO","LGBO","495","[c]","32060","32000"
"New entrant CS","2021","HEO","Undeclared","425","[c]","32550","32350"
"New entrant CS","2021","HEO","Unknown","2620","[c]","31450","31810"
"New entrant CS","2021","SCS level","Heterosexual / straight","195","[c]","95680","90000"
"New entrant CS","2021","SCS level","LGBO","15","[c]","[c]","[c]"
"New entrant CS","2021","SCS level","Undeclared","30","[c]","[c]","[c]"
"New entrant CS","2021","SCS level","Unknown","280","[c]","89250","74000"
"New entrant CS","2021","SEO","Heterosexual / straight","2355","[c]","39940","39680"
"New entrant CS","2021","SEO","LGBO","195","[c]","39530","39030"
"New entrant CS","2021","SEO","Undeclared","225","[c]","39640","39590"
"New entrant CS","2021","SEO","Unknown","1085","[c]","40140","40000"
"New entrant CS","2021","Unknown","Heterosexual / straight","1095","[c]","25530","22920"
"New entrant CS","2021","Unknown","LGBO","95","[c]","23160","22920"
"New entrant CS","2021","Unknown","Undeclared","55","[c]","25350","22920"
"New entrant CS","2021","Unknown","Unknown","770","[c]","23510","22920"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Responsibility_level_ungrouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","",""
"","Responsibility_level_ungrouped shows the mapped grades at a higher level of detail, however not all Government Departments / bodies have distinct grades that map exactly to these levels so figures should be considered as approximations and treated with caution.","","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
