"Status","Year","Disability","Ethnicity","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Inspector of Education and Training","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Heterosexual / straight","55","50","50590","50130"
"In post","2021","Declared disabled","Asian","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Medicine","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Medicine","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Delivery","Heterosexual / straight","740","675","28140","25630"
"In post","2021","Declared disabled","Asian","Operational Delivery","LGBO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Delivery","Undeclared","65","60","27130","25590"
"In post","2021","Declared disabled","Asian","Operational Delivery","Unknown","50","45","25410","24390"
"In post","2021","Declared disabled","Asian","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other","Heterosexual / straight","45","40","28330","26560"
"In post","2021","Declared disabled","Asian","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning Inspectors","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Policy","Heterosexual / straight","145","140","41410","36320"
"In post","2021","Declared disabled","Asian","Policy","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Policy","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Heterosexual / straight","65","65","40580","38600"
"In post","2021","Declared disabled","Asian","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Psychology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Social Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Statistics","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Tax","Heterosexual / straight","75","70","33960","31810"
"In post","2021","Declared disabled","Asian","Tax","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Tax","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Tax","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Heterosexual / straight","875","790","29080","27570"
"In post","2021","Declared disabled","Asian","Unknown","LGBO","40","35","30230","27570"
"In post","2021","Declared disabled","Asian","Unknown","Undeclared","75","65","26140","26670"
"In post","2021","Declared disabled","Asian","Unknown","Unknown","100","85","26530","27570"
"In post","2021","Declared disabled","Asian","Veterinarian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data and Technology","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Human Resources","Heterosexual / straight","35","30","41010","35400"
"In post","2021","Declared disabled","Black","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Inspector of Education and Training","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Intelligence Analysis","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","International Trade","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Legal","Heterosexual / straight","35","30","47660","51120"
"In post","2021","Declared disabled","Black","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Medicine","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Medicine","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Operational Delivery","Heterosexual / straight","555","525","29550","27490"
"In post","2021","Declared disabled","Black","Operational Delivery","LGBO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Black","Operational Delivery","Undeclared","45","40","29110","28430"
"In post","2021","Declared disabled","Black","Operational Delivery","Unknown","25","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Other","Heterosexual / straight","50","45","30910","28250"
"In post","2021","Declared disabled","Black","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Planning","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Planning Inspectors","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Policy","Heterosexual / straight","120","115","36840","34080"
"In post","2021","Declared disabled","Black","Policy","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Policy","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Project Delivery","Heterosexual / straight","40","40","39370","35070"
"In post","2021","Declared disabled","Black","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Property","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Psychology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Science and Engineering","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Security","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Social Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Statistics","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Tax","Heterosexual / straight","40","35","34450","35000"
"In post","2021","Declared disabled","Black","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","Heterosexual / straight","485","450","30010","30500"
"In post","2021","Declared disabled","Black","Unknown","LGBO","35","35","32890","29530"
"In post","2021","Declared disabled","Black","Unknown","Undeclared","50","45","30400","30330"
"In post","2021","Declared disabled","Black","Unknown","Unknown","65","60","28440","30330"
"In post","2021","Declared disabled","Black","Veterinarian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Inspector of Education and Training","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Intelligence Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
