"Status","Year","Disability","Ethnicity","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Human Resources","35","35","38830","36220"
"In post","2021","Declared disabled","Asian","Human Resources","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Internal Audit","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Legal","60","55","51350","50500"
"In post","2021","Declared disabled","Asian","Legal","Operational Delivery","40","35","30320","25070"
"In post","2021","Declared disabled","Asian","Legal","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","International Trade","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Operational Delivery","510","465","27160","24000"
"In post","2021","Declared disabled","Asian","No function","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Policy","125","120","40790","35390"
"In post","2021","Declared disabled","Asian","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Science and Engineering","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Tax","70","65","35230","32520"
"In post","2021","Declared disabled","Asian","No function","Unknown","35","35","34240","29970"
"In post","2021","Declared disabled","Asian","No function","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Operational Delivery","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Policy","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Project Delivery","55","55","41130","38940"
"In post","2021","Declared disabled","Asian","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Operational Delivery","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Property","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Security","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Finance","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Human Resources","10","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Intelligence Analysis","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Medicine","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Operational Delivery","270","240","28730","28650"
"In post","2021","Declared disabled","Asian","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Other","30","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Policy","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Project Delivery","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Science and Engineering","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Security","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Unknown","1005","900","27850","27570"
"In post","2021","Declared disabled","Asian","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Statistics","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Commercial","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Communications","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Tax","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
