"Status","Year","Region_ITL1","Region_ITL2","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Scotland","Southern Scotland","East Ayrshire and North Ayrshire mainland","Female","515","440","26050","27570"
"In post","2021","Scotland","Southern Scotland","East Ayrshire and North Ayrshire mainland","Male","445","435","27460","26160"
"In post","2021","Scotland","Southern Scotland","Scottish Borders","Female","255","225","28640","27570"
"In post","2021","Scotland","Southern Scotland","Scottish Borders","Male","225","215","30380","27570"
"In post","2021","Scotland","Southern Scotland","South Ayrshire","Female","200","180","27800","27570"
"In post","2021","Scotland","Southern Scotland","South Ayrshire","Male","120","115","28270","27570"
"In post","2021","Scotland","Southern Scotland","South Lanarkshire","Female","2285","1980","29490","25560"
"In post","2021","Scotland","Southern Scotland","South Lanarkshire","Male","1415","1335","31520","26120"
"In post","2021","Scotland","West Central Scotland","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Female","840","765","27910","26670"
"In post","2021","Scotland","West Central Scotland","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Male","1580","1545","31950","29420"
"In post","2021","Scotland","West Central Scotland","Glasgow City","Female","6320","5715","31190","27570"
"In post","2021","Scotland","West Central Scotland","Glasgow City","Male","5335","5135","32570","27570"
"In post","2021","Scotland","West Central Scotland","Inverclyde, East Renfrewshire and Renfrewshire","Female","585","515","28080","27570"
"In post","2021","Scotland","West Central Scotland","Inverclyde, East Renfrewshire and Renfrewshire","Male","455","430","31640","27570"
"In post","2021","Scotland","West Central Scotland","North Lanarkshire","Female","1750","1470","25360","21440"
"In post","2021","Scotland","West Central Scotland","North Lanarkshire","Male","1055","980","27540","25560"
"In post","2021","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Female","1365","1260","32720","29290"
"In post","2021","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Male","1590","1560","35820","33170"
"In post","2021","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Female","980","915","31030","28670"
"In post","2021","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Male","700","685","33710","31810"
"In post","2021","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Female","995","925","30420","27570"
"In post","2021","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Male","1215","1190","34090","31800"
"In post","2021","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Female","1445","1315","31500","27570"
"In post","2021","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Male","1305","1275","32850","30400"
"In post","2021","South East (England)","Hampshire and Isle of Wight","Central Hampshire","Female","1865","1765","33500","33000"
"In post","2021","South East (England)","Hampshire and Isle of Wight","Central Hampshire","Male","2320","2275","38340","37320"
"In post","2021","South East (England)","Hampshire and Isle of Wight","Isle of Wight","Female","395","350","25840","25790"
"In post","2021","South East (England)","Hampshire and Isle of Wight","Isle of Wight","Male","505","480","28820","27380"
"In post","2021","South East (England)","Hampshire and Isle of Wight","North Hampshire","Female","600","555","29400","26870"
"In post","2021","South East (England)","Hampshire and Isle of Wight","North Hampshire","Male","420","410","37610","32060"
"In post","2021","South East (England)","Hampshire and Isle of Wight","Portsmouth","Female","1945","1735","29240","26670"
"In post","2021","South East (England)","Hampshire and Isle of Wight","Portsmouth","Male","1960","1895","31940","28130"
"In post","2021","South East (England)","Hampshire and Isle of Wight","South Hampshire","Female","2065","1740","29850","27570"
"In post","2021","South East (England)","Hampshire and Isle of Wight","South Hampshire","Male","1975","1770","30180","27570"
"In post","2021","South East (England)","Hampshire and Isle of Wight","South Hampshire","Unknown","10","10","[c]","[c]"
"In post","2021","South East (England)","Hampshire and Isle of Wight","Southampton","Female","715","630","29440","27570"
"In post","2021","South East (England)","Hampshire and Isle of Wight","Southampton","Male","575","555","37030","31040"
"In post","2021","South East (England)","Kent","East Kent","Female","2060","1840","27960","25980"
"In post","2021","South East (England)","Kent","East Kent","Male","2170","2055","28400","27240"
"In post","2021","South East (England)","Kent","Kent Thames Gateway","Female","755","705","28550","29290"
"In post","2021","South East (England)","Kent","Kent Thames Gateway","Male","850","825","31590","31650"
"In post","2021","South East (England)","Kent","Medway","Female","775","720","29570","29290"
"In post","2021","South East (England)","Kent","Medway","Male","635","625","32860","30400"
"In post","2021","South East (England)","Kent","Mid Kent","Female","505","455","29710","29290"
"In post","2021","South East (England)","Kent","Mid Kent","Male","375","370","31030","29290"
"In post","2021","South East (England)","Kent","West Kent","Female","125","115","32890","29290"
"In post","2021","South East (England)","Kent","West Kent","Male","270","260","38140","37320"
"In post","2021","South East (England)","Surrey, East and West Sussex","Brighton and Hove","Female","420","370","30640","27570"
"In post","2021","South East (England)","Surrey, East and West Sussex","Brighton and Hove","Male","235","220","30520","27570"
"In post","2021","South East (England)","Surrey, East and West Sussex","East Surrey","Female","515","480","33020","31880"
"In post","2021","South East (England)","Surrey, East and West Sussex","East Surrey","Male","475","455","33880","33880"
"In post","2021","South East (England)","Surrey, East and West Sussex","East Sussex CC","Female","1180","1010","26080","26350"
"In post","2021","South East (England)","Surrey, East and West Sussex","East Sussex CC","Male","820","785","27860","27570"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Surrey","Female","1225","1120","31860","29290"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Surrey","Male","890","865","34120","30780"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Sussex (North East)","Female","645","570","30360","27570"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Sussex (North East)","Male","585","530","31130","28350"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Sussex (South West)","Female","720","630","28900","27570"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Sussex (South West)","Male","600","565","31660","28130"
"In post","2021","South West (England)","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Female","920","795","26230","26590"
"In post","2021","South West (England)","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Male","730","700","27040","26670"
"In post","2021","South West (England)","Devon","Devon CC","Female","2710","2365","29700","27570"
"In post","2021","South West (England)","Devon","Devon CC","Male","2870","2750","33560","31580"
"In post","2021","South West (England)","Devon","Plymouth","Female","1420","1255","29110","27130"
"In post","2021","South West (England)","Devon","Plymouth","Male","1685","1630","32880","30640"
"In post","2021","South West (England)","Devon","Torbay","Female","225","180","25920","25190"
"In post","2021","South West (England)","Devon","Torbay","Male","115","105","25850","27570"
"In post","2021","South West (England)","Dorset and Somerset","Bournemouth and Poole","Female","415","355","27030","27570"
"In post","2021","South West (England)","Dorset and Somerset","Bournemouth and Poole","Male","300","285","26620","27290"
"In post","2021","South West (England)","Dorset and Somerset","Dorset CC","Female","950","865","27860","26670"
"In post","2021","South West (England)","Dorset and Somerset","Dorset CC","Male","1190","1150","30160","28220"
"In post","2021","South West (England)","Dorset and Somerset","Somerset","Female","1135","1005","29250","27570"
"In post","2021","South West (England)","Dorset and Somerset","Somerset","Male","1215","1185","32550","32160"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","5370","4980","34700","32660"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","7985","7850","39800","37990"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Female","3525","3170","34380","29870"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Male","3085","2965","37550","31860"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","Female","830","725","28130","27130"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","Male","570","535","30890","27570"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","Female","295","265","30880","27570"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","Male","175","170","34670","27570"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Female","3640","3400","34080","31780"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Male","3840","3770","38410","37320"
"In post","2021","Unknown","Unknown","Unknown","Female","1200","1130","33020","29250"
"In post","2021","Unknown","Unknown","Unknown","Male","2530","2515","36930","32700"
"In post","2021","Wales","East Wales","Cardiff and Vale of Glamorgan","Female","6510","5885","32300","27570"
"In post","2021","Wales","East Wales","Cardiff and Vale of Glamorgan","Male","5555","5380","33710","28850"
"In post","2021","Wales","East Wales","Flintshire and Wrexham","Female","1095","1000","27130","25200"
"In post","2021","Wales","East Wales","Flintshire and Wrexham","Male","1060","1035","28500","27460"
"In post","2021","Wales","East Wales","Monmouthshire and Newport","Female","3090","2810","31370","28030"
"In post","2021","Wales","East Wales","Monmouthshire and Newport","Male","2490","2415","36810","32820"
"In post","2021","Wales","East Wales","Monmouthshire and Newport","Unknown","20","20","[c]","[c]"
"In post","2021","Wales","East Wales","Powys","Female","290","270","29690","27570"
"In post","2021","Wales","East Wales","Powys","Male","260","250","28380","26670"
