"Status","Year","Function_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Overseas","SEO","15","15","46760","42820"
"In post","2021","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","G7","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","AO","75","70","24380","24400"
"In post","2021","Communications","London","EO","395","385","26290","27350"
"In post","2021","Communications","London","G6","190","185","69050","69230"
"In post","2021","Communications","London","G7","515","495","56080","54760"
"In post","2021","Communications","London","HEO","590","585","35010","34640"
"In post","2021","Communications","London","SCS level","115","115","90370","83110"
"In post","2021","Communications","London","SEO","565","555","42830","42470"
"In post","2021","Communications","Outside London","AA","30","25","19730","20070"
"In post","2021","Communications","Outside London","AO","400","350","21020","21050"
"In post","2021","Communications","Outside London","EO","2805","2695","25710","25560"
"In post","2021","Communications","Outside London","G6","95","90","63980","64670"
"In post","2021","Communications","Outside London","G7","265","260","51760","52580"
"In post","2021","Communications","Outside London","HEO","1455","1415","31850","31810"
"In post","2021","Communications","Outside London","SCS level","20","20","78170","76440"
"In post","2021","Communications","Outside London","SEO","680","660","38890","38630"
"In post","2021","Communications","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","AO","135","125","25040","25630"
"In post","2021","Counter Fraud","London","EO","735","705","30120","29570"
"In post","2021","Counter Fraud","London","G6","100","95","70700","71290"
"In post","2021","Counter Fraud","London","G7","265","255","58340","59160"
"In post","2021","Counter Fraud","London","HEO","700","675","36360","36160"
"In post","2021","Counter Fraud","London","SCS level","25","25","86710","79930"
"In post","2021","Counter Fraud","London","SEO","355","345","42420","41760"
"In post","2021","Counter Fraud","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","AO","715","615","20820","20640"
"In post","2021","Counter Fraud","Outside London","EO","2675","2500","26120","25560"
"In post","2021","Counter Fraud","Outside London","G6","180","175","64260","64670"
"In post","2021","Counter Fraud","Outside London","G7","555","530","52350","52580"
"In post","2021","Counter Fraud","Outside London","HEO","2285","2155","32310","31810"
"In post","2021","Counter Fraud","Outside London","SCS level","15","15","80630","79280"
"In post","2021","Counter Fraud","Outside London","SEO","870","825","38960","38630"
"In post","2021","Counter Fraud","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","London","AO","385","340","24870","24670"
"In post","2021","Debt","London","EO","125","115","30940","32310"
"In post","2021","Debt","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Debt","London","G7","10","10","56870","59160"
"In post","2021","Debt","London","HEO","20","20","37320","36540"
"In post","2021","Debt","London","SEO","15","10","44900","44610"
"In post","2021","Debt","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Outside London","AO","3030","2730","20450","20140"
"In post","2021","Debt","Outside London","EO","830","755","26210","25560"
"In post","2021","Debt","Outside London","G6","10","10","[c]","[c]"
"In post","2021","Debt","Outside London","G7","25","25","49790","52580"
"In post","2021","Debt","Outside London","HEO","160","150","32110","31810"
"In post","2021","Debt","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Outside London","SEO","50","50","38310","38630"
"In post","2021","Digital, Data & Technology","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","London","AO","55","55","24640","24340"
"In post","2021","Digital, Data & Technology","London","EO","335","325","29190","29200"
"In post","2021","Digital, Data & Technology","London","G6","270","270","69440","68760"
"In post","2021","Digital, Data & Technology","London","G7","1215","1190","58180","56400"
"In post","2021","Digital, Data & Technology","London","HEO","650","640","34990","34550"
"In post","2021","Digital, Data & Technology","London","SCS level","130","125","93040","86870"
"In post","2021","Digital, Data & Technology","London","SEO","725","715","42900","41760"
"In post","2021","Digital, Data & Technology","London","Unknown","15","15","37060","33050"
"In post","2021","Digital, Data & Technology","Outside London","AA","55","50","20250","19730"
"In post","2021","Digital, Data & Technology","Outside London","AO","340","325","21650","21490"
"In post","2021","Digital, Data & Technology","Outside London","EO","1940","1860","27140","26670"
"In post","2021","Digital, Data & Technology","Outside London","G6","470","455","65000","64670"
"In post","2021","Digital, Data & Technology","Outside London","G7","1710","1670","52800","52580"
"In post","2021","Digital, Data & Technology","Outside London","HEO","2770","2675","33110","32100"
"In post","2021","Digital, Data & Technology","Outside London","SCS level","125","125","88500","83230"
"In post","2021","Digital, Data & Technology","Outside London","SEO","2665","2590","40530","39650"
"In post","2021","Digital, Data & Technology","Outside London","Unknown","85","85","37170","36500"
"In post","2021","Digital, Data & Technology","Overseas","EO","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Overseas","HEO","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","G7","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","HEO","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","London","AA","5","5","[c]","[c]"
"In post","2021","Finance","London","AO","75","75","24180","24120"
"In post","2021","Finance","London","EO","325","315","28620","28840"
"In post","2021","Finance","London","G6","265","260","69670","70280"
"In post","2021","Finance","London","G7","625","615","58190","58130"
"In post","2021","Finance","London","HEO","540","530","35420","34510"
"In post","2021","Finance","London","SCS level","170","165","91800","86050"
"In post","2021","Finance","London","SEO","540","530","43160","41990"
"In post","2021","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Outside London","AA","150","130","19830","20070"
"In post","2021","Finance","Outside London","AO","1255","1055","21070","21130"
"In post","2021","Finance","Outside London","EO","1350","1270","25900","26200"
"In post","2021","Finance","Outside London","G6","300","295","65750","64670"
"In post","2021","Finance","Outside London","G7","875","855","53120","52580"
"In post","2021","Finance","Outside London","HEO","1380","1320","32430","31810"
"In post","2021","Finance","Outside London","SCS level","110","110","90190","82450"
"In post","2021","Finance","Outside London","SEO","1350","1300","40760","39780"
"In post","2021","Finance","Outside London","Unknown","50","50","49560","40720"
"In post","2021","Finance","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","EO","15","15","28310","26670"
"In post","2021","Finance","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","HEO","10","10","35680","33630"
"In post","2021","Finance","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Outside London","AO","955","855","21010","21050"
"In post","2021","Grants Management","Outside London","EO","540","495","25520","25190"
"In post","2021","Grants Management","Outside London","G6","15","15","59840","59960"
"In post","2021","Grants Management","Outside London","G7","40","40","49670","49350"
"In post","2021","Grants Management","Outside London","HEO","235","220","30630","30360"
"In post","2021","Grants Management","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Grants Management","Outside London","SEO","95","90","37870","37230"
"In post","2021","Human Resources","London","AA","10","10","22170","22100"
"In post","2021","Human Resources","London","AO","80","75","24430","24290"
"In post","2021","Human Resources","London","EO","405","390","28540","27850"
"In post","2021","Human Resources","London","G6","240","230","68690","67930"
"In post","2021","Human Resources","London","G7","625","605","57300","56870"
"In post","2021","Human Resources","London","HEO","665","650","34780","34640"
"In post","2021","Human Resources","London","SCS level","160","155","89270","82010"
"In post","2021","Human Resources","London","SEO","480","470","43480","42490"
"In post","2021","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Outside London","AA","85","80","19420","19560"
"In post","2021","Human Resources","Outside London","AO","1430","1290","21280","21030"
"In post","2021","Human Resources","Outside London","EO","1350","1260","26130","26120"
"In post","2021","Human Resources","Outside London","G6","240","235","64740","64670"
"In post","2021","Human Resources","Outside London","G7","780","755","52730","52580"
"In post","2021","Human Resources","Outside London","HEO","1590","1500","32160","31860"
"In post","2021","Human Resources","Outside London","SCS level","65","65","88860","82750"
"In post","2021","Human Resources","Outside London","SEO","1100","1050","40360","39230"
"In post","2021","Human Resources","Outside London","Unknown","225","215","37720","32710"
"In post","2021","Human Resources","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","EO","5","5","[c]","[c]"
"In post","2021","Human Resources","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","HEO","5","5","[c]","[c]"
"In post","2021","Human Resources","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","EO","10","10","[c]","[c]"
"In post","2021","Human Resources","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","G7","5","5","[c]","[c]"
"In post","2021","Human Resources","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","SEO","5","5","[c]","[c]"
"In post","2021","Internal Audit","London","AO","15","15","32150","35900"
"In post","2021","Internal Audit","London","EO","10","10","31580","32160"
"In post","2021","Internal Audit","London","G6","30","25","71660","70360"
"In post","2021","Internal Audit","London","G7","50","45","57330","56590"
"In post","2021","Internal Audit","London","HEO","35","35","37770","37640"
"In post","2021","Internal Audit","London","SCS level","20","20","90380","88000"
"In post","2021","Internal Audit","London","SEO","65","60","48350","49300"
"In post","2021","Internal Audit","Outside London","AO","10","10","24560","21840"
"In post","2021","Internal Audit","Outside London","EO","40","35","27500","26720"
"In post","2021","Internal Audit","Outside London","G6","45","45","64470","64220"
"In post","2021","Internal Audit","Outside London","G7","80","75","52310","52030"
"In post","2021","Internal Audit","Outside London","HEO","125","120","33280","33300"
"In post","2021","Internal Audit","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Internal Audit","Outside London","SEO","235","220","42840","42200"
"In post","2021","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","London","AA","10","10","[c]","[c]"
"In post","2021","Legal","London","AO","445","415","23500","23520"
"In post","2021","Legal","London","EO","770","735","28920","29280"
"In post","2021","Legal","London","G6","1100","1015","69760","67950"
"In post","2021","Legal","London","G7","1960","1825","56620","54770"
"In post","2021","Legal","London","HEO","470","460","36550","36160"
"In post","2021","Legal","London","SCS level","360","345","89160","82500"
"In post","2021","Legal","London","SEO","280","260","42770","41760"
"In post","2021","Legal","London","Unknown","5","5","[c]","[c]"
"In post","2021","Legal","Outside London","AA","300","250","20060","20070"
"In post","2021","Legal","Outside London","AO","1830","1655","22080","21950"
"In post","2021","Legal","Outside London","EO","1675","1535","27660","28430"
"In post","2021","Legal","Outside London","G6","285","275","70790","70350"
"In post","2021","Legal","Outside London","G7","2670","2440","56100","55610"
"In post","2021","Legal","Outside London","HEO","1180","1130","33040","32460"
"In post","2021","Legal","Outside London","SCS level","100","95","87780","83290"
"In post","2021","Legal","Outside London","SEO","1390","1260","43000","42110"
"In post","2021","Legal","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Overseas","G7","10","10","[c]","[c]"
"In post","2021","Legal","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","No function","London","AA","1120","1040","22360","22650"
"In post","2021","No function","London","AO","5655","5355","27070","24680"
"In post","2021","No function","London","EO","5990","5780","29880","29300"
"In post","2021","No function","London","G6","3075","2980","67920","66230"
"In post","2021","No function","London","G7","8005","7805","55780","54400"
"In post","2021","No function","London","HEO","9800","9610","34580","33960"
"In post","2021","No function","London","SCS level","2030","1930","89270","79170"
"In post","2021","No function","London","SEO","5340","5195","42350","40920"
"In post","2021","No function","London","Unknown","1550","1490","33490","32090"
"In post","2021","No function","Outside London","AA","9480","8270","19780","20600"
"In post","2021","No function","Outside London","AO","54205","49090","23270","21590"
"In post","2021","No function","Outside London","EO","27065","25245","27830","26880"
"In post","2021","No function","Outside London","G6","2185","2065","68760","65270"
"In post","2021","No function","Outside London","G7","7050","6785","53680","52580"
"In post","2021","No function","Outside London","HEO","18445","17440","32900","31810"
"In post","2021","No function","Outside London","SCS level","680","640","95650","92370"
"In post","2021","No function","Outside London","SEO","10400","9895","42240","39470"
"In post","2021","No function","Outside London","Unknown","10460","9600","29340","28200"
"In post","2021","No function","Overseas","AO","25","25","23240","23000"
"In post","2021","No function","Overseas","EO","45","45","28860","28680"
"In post","2021","No function","Overseas","G6","245","245","64980","64640"
"In post","2021","No function","Overseas","G7","455","450","56130","55010"
"In post","2021","No function","Overseas","HEO","540","540","35250","34220"
"In post","2021","No function","Overseas","SCS level","240","240","86720","76330"
"In post","2021","No function","Overseas","SEO","250","250","50070","43040"
"In post","2021","No function","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","AO","15","15","21180","20920"
"In post","2021","No function","Unknown","EO","20","20","30460","29040"
"In post","2021","No function","Unknown","G6","15","15","65210","64500"
"In post","2021","No function","Unknown","G7","50","50","54400","54700"
"In post","2021","No function","Unknown","HEO","440","435","32120","32000"
"In post","2021","No function","Unknown","SCS level","10","10","80900","74420"
"In post","2021","No function","Unknown","SEO","40","40","45790","45760"
"In post","2021","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","London","AO","90","90","24820","25390"
"In post","2021","Project Delivery","London","EO","410","395","29300","29570"
"In post","2021","Project Delivery","London","G6","870","835","69050","69800"
"In post","2021","Project Delivery","London","G7","1485","1440","56200","56210"
"In post","2021","Project Delivery","London","HEO","960","940","35570","35980"
"In post","2021","Project Delivery","London","SCS level","420","410","94030","85370"
"In post","2021","Project Delivery","London","SEO","875","855","42120","41760"
"In post","2021","Project Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Outside London","AA","60","55","18070","18140"
"In post","2021","Project Delivery","Outside London","AO","465","430","21480","21400"
"In post","2021","Project Delivery","Outside London","EO","4180","3970","24420","25560"
"In post","2021","Project Delivery","Outside London","G6","1090","1065","65580","64670"
"In post","2021","Project Delivery","Outside London","G7","3460","3375","52040","52580"
"In post","2021","Project Delivery","Outside London","HEO","5855","5630","31690","32000"
"In post","2021","Project Delivery","Outside London","SCS level","245","240","88690","82970"
"In post","2021","Project Delivery","Outside London","SEO","5915","5710","40130","40250"
"In post","2021","Project Delivery","Outside London","Unknown","1330","1305","42370","40370"
"In post","2021","Project Delivery","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Overseas","EO","15","15","27930","26800"
"In post","2021","Project Delivery","Overseas","G6","175","175","67610","67030"
"In post","2021","Project Delivery","Overseas","G7","285","285","54960","55060"
"In post","2021","Project Delivery","Overseas","HEO","50","50","36340","35000"
"In post","2021","Project Delivery","Overseas","SCS level","25","25","78780","77950"
"In post","2021","Project Delivery","Overseas","SEO","70","70","43670","42200"
"In post","2021","Project Delivery","Overseas","Unknown","20","20","39230","38920"
"In post","2021","Project Delivery","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","HEO","10","10","[c]","[c]"
"In post","2021","Project Delivery","Unknown","SEO","15","10","42840","44500"
"In post","2021","Project Delivery","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Property","London","AA","35","35","19480","18730"
"In post","2021","Property","London","AO","105","95","25360","25000"
"In post","2021","Property","London","EO","290","275","29850","29630"
"In post","2021","Property","London","G6","85","85","69030","68500"
"In post","2021","Property","London","G7","250","245","58910","59540"
"In post","2021","Property","London","HEO","270","260","36050","36160"
"In post","2021","Property","London","SCS level","45","40","100370","93410"
"In post","2021","Property","London","SEO","225","215","44920","45460"
"In post","2021","Property","London","Unknown","5","5","[c]","[c]"
"In post","2021","Property","Outside London","AA","785","740","18470","18760"
"In post","2021","Property","Outside London","AO","1425","1325","22950","21130"
"In post","2021","Property","Outside London","EO","1635","1535","27020","26500"
"In post","2021","Property","Outside London","G6","195","195","65560","65050"
"In post","2021","Property","Outside London","G7","690","670","53280","54540"
"In post","2021","Property","Outside London","HEO","1625","1565","32920","33300"
"In post","2021","Property","Outside London","SCS level","45","45","85940","76590"
"In post","2021","Property","Outside London","SEO","1360","1295","41440","41230"
"In post","2021","Property","Outside London","Unknown","35","35","26040","21600"
"In post","2021","Property","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2021","Property","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Overseas","EO","30","30","27410","26950"
"In post","2021","Property","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Property","Overseas","G7","20","20","56090","54770"
"In post","2021","Property","Overseas","HEO","85","85","35170","33300"
"In post","2021","Property","Overseas","SEO","50","50","42800","40610"
"In post","2021","Property","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Property","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Property","Unknown","HEO","5","5","[c]","[c]"
"In post","2021","Property","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Security","London","AA","130","130","21990","22650"
"In post","2021","Security","London","AO","175","175","31750","29370"
"In post","2021","Security","London","EO","150","145","31590","30410"
"In post","2021","Security","London","G6","60","60","71570","69900"
"In post","2021","Security","London","G7","140","135","58250","57400"
"In post","2021","Security","London","HEO","235","230","36530","35830"
"In post","2021","Security","London","SCS level","30","30","86030","78810"
"In post","2021","Security","London","SEO","165","160","47830","45200"
"In post","2021","Security","London","Unknown","10","10","39660","41060"
"In post","2021","Security","Outside London","AA","2225","2170","19950","19560"
"In post","2021","Security","Outside London","AO","2965","2900","31720","31750"
"In post","2021","Security","Outside London","EO","1015","995","32500","26980"
"In post","2021","Security","Outside London","G6","25","25","72900","69530"
"In post","2021","Security","Outside London","G7","135","130","55920","54490"
"In post","2021","Security","Outside London","HEO","715","695","36650","33300"
"In post","2021","Security","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Security","Outside London","SEO","340","335","44800","40580"
"In post","2021","Security","Outside London","Unknown","45","45","35440","37170"
"In post","2021","Security","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Overseas","EO","5","5","[c]","[c]"
"In post","2021","Security","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Security","Overseas","G7","15","15","55210","55020"
"In post","2021","Security","Overseas","HEO","85","85","33850","34260"
"In post","2021","Security","Overseas","SCS level","5","5","[c]","[c]"
"In post","2021","Security","Overseas","SEO","10","10","46200","41380"
"In post","2021","Security","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","AO","15","15","21930","20800"
"In post","2021","Security","Unknown","EO","10","10","[c]","[c]"
"In post","2021","Security","Unknown","G7","5","5","[c]","[c]"
"In post","2021","Security","Unknown","HEO","30","30","33980","33300"
"In post","2021","Security","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","London","AA","445","400","22090","22210"
"In post","2021","Unknown","London","AO","3490","3145","24960","25110"
"In post","2021","Unknown","London","EO","10940","10200","30400","31060"
"In post","2021","Unknown","London","G6","1225","1175","70100","68940"
"In post","2021","Unknown","London","G7","2875","2800","58090","57460"
"In post","2021","Unknown","London","HEO","3975","3855","36170","35680"
"In post","2021","Unknown","London","SCS level","720","695","90330","83240"
"In post","2021","Unknown","London","SEO","3245","3160","43110","42280"
"In post","2021","Unknown","London","Unknown","45","45","35260","33950"
"In post","2021","Unknown","Outside London","AA","4105","3800","19770","19560"
"In post","2021","Unknown","Outside London","AO","40795","35780","21250","21010"
"In post","2021","Unknown","Outside London","EO","58465","53175","27420","27570"
"In post","2021","Unknown","Outside London","G6","2215","2135","69650","69160"
"In post","2021","Unknown","Outside London","G7","5535","5290","56640","54670"
"In post","2021","Unknown","Outside London","HEO","15400","14605","33450","33000"
"In post","2021","Unknown","Outside London","SCS level","600","590","89780","83230"
"In post","2021","Unknown","Outside London","SEO","8590","8235","41290","40490"
"In post","2021","Unknown","Outside London","Unknown","290","285","41450","40620"
"In post","2021","Unknown","Overseas","AO","20","20","21710","21430"
"In post","2021","Unknown","Overseas","EO","150","145","27880","27370"
"In post","2021","Unknown","Overseas","G6","25","25","72170","69630"
"In post","2021","Unknown","Overseas","G7","80","80","62720","59730"
"In post","2021","Unknown","Overseas","HEO","270","265","40830","41600"
"In post","2021","Unknown","Overseas","SCS level","10","10","91990","84810"
"In post","2021","Unknown","Overseas","SEO","60","60","46410","42700"
"In post","2021","Unknown","Overseas","Unknown","230","230","35860","27540"
"In post","2021","Unknown","Unknown","AA","10","10","20720","20230"
"In post","2021","Unknown","Unknown","AO","185","165","22560","21130"
"In post","2021","Unknown","Unknown","EO","535","505","28000","27570"
"In post","2021","Unknown","Unknown","G6","30","25","65800","62560"
"In post","2021","Unknown","Unknown","G7","55","50","52290","49950"
"In post","2021","Unknown","Unknown","HEO","115","110","33550","32170"
"In post","2021","Unknown","Unknown","SCS level","10","5","[c]","[c]"
"In post","2021","Unknown","Unknown","SEO","65","65","38280","36940"
"In post","2021","Unknown","Unknown","Unknown","1905","1900","37260","33570"
"Leaver CS","2021","Analysis","London","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","London","AO","60","[c]","23070","24300"
"Leaver CS","2021","Analysis","London","EO","20","[c]","25850","26410"
"Leaver CS","2021","Analysis","London","G6","10","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","London","G7","25","[c]","59420","59260"
"Leaver CS","2021","Analysis","London","HEO","25","[c]","33300","33190"
"Leaver CS","2021","Analysis","London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","London","SEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Outside London","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Outside London","AO","35","[c]","19300","19130"
"Leaver CS","2021","Analysis","Outside London","EO","10","[c]","25370","24970"
"Leaver CS","2021","Analysis","Outside London","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Outside London","G7","15","[c]","55650","53370"
"Leaver CS","2021","Analysis","Outside London","HEO","30","[c]","30790","29750"
"Leaver CS","2021","Analysis","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Outside London","SEO","25","[c]","38890","37520"
"Leaver CS","2021","Commercial","London","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","London","AO","5","[c]","[c]","[c]"
