"Status","Year","Function_of_post","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Finance","Other","Male","45","45","54430","46200"
"In post","2021","Finance","Policy","Female","20","20","[c]","[c]"
"In post","2021","Finance","Policy","Male","20","20","[c]","[c]"
"In post","2021","Finance","Project Delivery","Female","35","35","43610","40340"
"In post","2021","Finance","Project Delivery","Male","40","40","45360","40270"
"In post","2021","Finance","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Statistics","Female","5","5","[c]","[c]"
"In post","2021","Finance","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Tax","Female","30","30","32220","31810"
"In post","2021","Finance","Tax","Male","35","30","34470","31810"
"In post","2021","Finance","Unknown","Female","155","150","41220","37530"
"In post","2021","Finance","Unknown","Male","175","175","46630","40290"
"In post","2021","Grants Management","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Operational Delivery","Female","1090","945","25060","21050"
"In post","2021","Grants Management","Operational Delivery","Male","795","775","25980","24920"
"In post","2021","Grants Management","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","Female","10","10","[c]","[c]"
"In post","2021","Human Resources","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data and Technology","Male","5","5","[c]","[c]"
"In post","2021","Human Resources","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Female","4940","4625","37860","33300"
"In post","2021","Human Resources","Human Resources","Male","1985","1945","39350","35000"
"In post","2021","Human Resources","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Operational Delivery","Female","655","590","29380","25560"
"In post","2021","Human Resources","Operational Delivery","Male","285","275","30260","25560"
"In post","2021","Human Resources","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other","Female","30","25","[c]","[c]"
"In post","2021","Human Resources","Other","Male","25","25","[c]","[c]"
"In post","2021","Human Resources","Policy","Female","55","55","36150","36030"
"In post","2021","Human Resources","Policy","Male","30","30","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","Female","15","15","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","Male","10","10","[c]","[c]"
"In post","2021","Human Resources","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Security","Female","5","5","[c]","[c]"
"In post","2021","Human Resources","Security","Male","15","15","[c]","[c]"
"In post","2021","Human Resources","Tax","Female","90","85","36330","31810"
"In post","2021","Human Resources","Tax","Male","85","80","35670","31810"
"In post","2021","Human Resources","Unknown","Female","865","815","39560","35590"
"In post","2021","Human Resources","Unknown","Male","460","455","38940","34550"
"In post","2021","Internal Audit","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Internal Audit","Female","385","360","43830","41340"
"In post","2021","Internal Audit","Internal Audit","Male","365","355","48160","45390"
"In post","2021","Internal Audit","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Policy","Male","5","5","[c]","[c]"
"In post","2021","Internal Audit","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Knowledge and Information Management","Female","10","10","[c]","[c]"
"In post","2021","Legal","Knowledge and Information Management","Male","5","5","[c]","[c]"
"In post","2021","Legal","Legal","Female","5520","4990","53330","52490"
"In post","2021","Legal","Legal","Male","3125","3020","56240","55610"
"In post","2021","Legal","Operational Delivery","Female","3610","3235","26990","25480"
"In post","2021","Legal","Operational Delivery","Male","1565","1510","28070","25560"
"In post","2021","Legal","Other","Female","240","230","31110","27580"
"In post","2021","Legal","Other","Male","120","120","30770","27350"
"In post","2021","Legal","Policy","Female","40","35","43070","35230"
"In post","2021","Legal","Policy","Male","35","35","57190","54320"
"In post","2021","Legal","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Tax","Female","170","155","37570","33680"
"In post","2021","Legal","Tax","Male","185","180","40090","37390"
"In post","2021","Legal","Unknown","Female","105","100","55110","59160"
"In post","2021","Legal","Unknown","Male","95","95","60190","59160"
"In post","2021","No function","Commercial","Female","135","130","41800","36780"
"In post","2021","No function","Commercial","Male","150","150","46450","43000"
"In post","2021","No function","Communications","Female","75","70","42640","39200"
"In post","2021","No function","Communications","Male","50","50","39810","38540"
"In post","2021","No function","Corporate Finance","Female","10","10","[c]","[c]"
"In post","2021","No function","Corporate Finance","Male","15","15","[c]","[c]"
"In post","2021","No function","Counter Fraud","Female","20","15","[c]","[c]"
"In post","2021","No function","Counter Fraud","Male","25","25","[c]","[c]"
"In post","2021","No function","Digital, Data and Technology","Female","100","95","37500","32140"
"In post","2021","No function","Digital, Data and Technology","Male","130","125","41090","36960"
"In post","2021","No function","Economics","Female","190","185","47630","51610"
"In post","2021","No function","Economics","Male","280","280","48310","48410"
"In post","2021","No function","Finance","Female","210","195","41040","37100"
"In post","2021","No function","Finance","Male","195","195","45380","40230"
"In post","2021","No function","Human Resources","Female","50","50","42190","38390"
"In post","2021","No function","Human Resources","Male","15","15","[c]","[c]"
"In post","2021","No function","Inspector of Education and Training","Female","605","585","63550","64500"
"In post","2021","No function","Inspector of Education and Training","Male","255","250","73380","75500"
"In post","2021","No function","Intelligence Analysis","Female","305","295","29880","27380"
"In post","2021","No function","Intelligence Analysis","Male","175","175","34130","32040"
"In post","2021","No function","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","No function","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","No function","International Trade","Female","645","630","45850","39590"
"In post","2021","No function","International Trade","Male","820","815","47820","42470"
"In post","2021","No function","Knowledge and Information Management","Female","635","580","37380","34010"
"In post","2021","No function","Knowledge and Information Management","Male","340","335","40320","36800"
"In post","2021","No function","Legal","Female","5","5","[c]","[c]"
"In post","2021","No function","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","No function","Medicine","Female","285","240","96970","96860"
"In post","2021","No function","Medicine","Male","170","150","106540","105470"
"In post","2021","No function","Operational Delivery","Female","69115","61615","27500","24360"
"In post","2021","No function","Operational Delivery","Male","57665","55095","30130","27460"
"In post","2021","No function","Operational Delivery","Unknown","10","10","[c]","[c]"
"In post","2021","No function","Operational Research","Female","130","125","42950","46080"
"In post","2021","No function","Operational Research","Male","170","165","45790","46090"
"In post","2021","No function","Other","Female","1265","1195","35760","30850"
"In post","2021","No function","Other","Male","1060","1005","44550","35740"
"In post","2021","No function","Planning","Female","75","70","46620","42140"
"In post","2021","No function","Planning","Male","70","70","46190","40590"
"In post","2021","No function","Planning Inspectors","Female","125","110","57850","58810"
"In post","2021","No function","Planning Inspectors","Male","215","190","57960","58810"
"In post","2021","No function","Policy","Female","11040","10625","45570","40220"
"In post","2021","No function","Policy","Male","9600","9520","48450","46660"
"In post","2021","No function","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Project Delivery","Female","110","105","41030","36770"
"In post","2021","No function","Project Delivery","Male","105","105","42660","36800"
"In post","2021","No function","Property","Female","10","10","[c]","[c]"
"In post","2021","No function","Property","Male","10","10","[c]","[c]"
"In post","2021","No function","Psychology","Female","1220","1160","35420","31180"
"In post","2021","No function","Psychology","Male","170","165","36350","30450"
"In post","2021","No function","Science and Engineering","Female","3165","2910","38220","36730"
"In post","2021","No function","Science and Engineering","Male","3800","3690","41780","39940"
"In post","2021","No function","Security","Female","75","75","45830","42890"
"In post","2021","No function","Security","Male","115","115","45410","44030"
"In post","2021","No function","Social Research","Female","30","25","49420","49840"
"In post","2021","No function","Social Research","Male","15","15","[c]","[c]"
"In post","2021","No function","Statistics","Female","10","10","[c]","[c]"
"In post","2021","No function","Statistics","Male","20","20","[c]","[c]"
"In post","2021","No function","Tax","Female","5690","5215","32760","31810"
"In post","2021","No function","Tax","Male","6250","5975","35460","31810"
"In post","2021","No function","Unknown","Female","3780","3655","35910","30880"
"In post","2021","No function","Unknown","Male","3490","3455","36290","31810"
"In post","2021","No function","Veterinarian","Female","245","230","44110","38390"
"In post","2021","No function","Veterinarian","Male","185","180","46590","46450"
"In post","2021","Project Delivery","Commercial","Female","410","385","36930","34090"
"In post","2021","Project Delivery","Commercial","Male","395","390","40390","37400"
"In post","2021","Project Delivery","Communications","Female","20","20","[c]","[c]"
"In post","2021","Project Delivery","Communications","Male","10","10","[c]","[c]"
"In post","2021","Project Delivery","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Digital, Data and Technology","Female","110","100","37820","37320"
"In post","2021","Project Delivery","Digital, Data and Technology","Male","330","325","44380","44400"
"In post","2021","Project Delivery","Economics","Female","45","40","50910","55060"
"In post","2021","Project Delivery","Economics","Male","65","65","56830","56610"
"In post","2021","Project Delivery","Finance","Female","225","215","42330","39860"
"In post","2021","Project Delivery","Finance","Male","175","175","44040","41000"
"In post","2021","Project Delivery","Human Resources","Female","25","20","[c]","[c]"
"In post","2021","Project Delivery","Human Resources","Male","5","5","[c]","[c]"
"In post","2021","Project Delivery","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Knowledge and Information Management","Female","65","65","37270","37320"
"In post","2021","Project Delivery","Knowledge and Information Management","Male","125","125","37230","35790"
"In post","2021","Project Delivery","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Medicine","Female","25","25","[c]","[c]"
"In post","2021","Project Delivery","Medicine","Male","30","30","46000","32850"
"In post","2021","Project Delivery","Operational Delivery","Female","1120","1030","33650","30630"
"In post","2021","Project Delivery","Operational Delivery","Male","785","760","38550","36110"
"In post","2021","Project Delivery","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Other","Female","1355","1255","33570","28520"
"In post","2021","Project Delivery","Other","Male","2000","1965","35000","30810"
"In post","2021","Project Delivery","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Policy","Female","1320","1245","50600","52580"
"In post","2021","Project Delivery","Policy","Male","1130","1100","53870","54400"
"In post","2021","Project Delivery","Project Delivery","Female","7020","6700","40120","37320"
"In post","2021","Project Delivery","Project Delivery","Male","7020","6910","44120","40580"
