"Status","Year","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Counter Fraud","G6/G7","Heterosexual / straight","80","75","62080","59050"
"In post","2021","Counter Fraud","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Unknown","30","30","61760","60380"
"In post","2021","Counter Fraud","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Heterosexual / straight","330","315","37400","37910"
"In post","2021","Counter Fraud","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Undeclared","35","30","37330","36440"
"In post","2021","Counter Fraud","SEO/HEO","Unknown","145","140","38150","39170"
"In post","2021","Digital, Data and Technology","AA/AO","Heterosexual / straight","265","255","22040","21580"
"In post","2021","Digital, Data and Technology","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Undeclared","45","45","22200","21590"
"In post","2021","Digital, Data and Technology","AA/AO","Unknown","110","110","21520","21590"
"In post","2021","Digital, Data and Technology","EO","Heterosexual / straight","1335","1285","27550","26670"
"In post","2021","Digital, Data and Technology","EO","LGBO","85","85","26870","26350"
"In post","2021","Digital, Data and Technology","EO","Undeclared","245","235","28320","27940"
"In post","2021","Digital, Data and Technology","EO","Unknown","555","540","27110","26370"
"In post","2021","Digital, Data and Technology","G6/G7","Heterosexual / straight","2205","2160","58410","57280"
"In post","2021","Digital, Data and Technology","G6/G7","LGBO","135","130","58890","57430"
"In post","2021","Digital, Data and Technology","G6/G7","Undeclared","315","310","58970","57680"
"In post","2021","Digital, Data and Technology","G6/G7","Unknown","810","800","57790","55710"
"In post","2021","Digital, Data and Technology","SCS level","Heterosexual / straight","165","165","92200","85350"
"In post","2021","Digital, Data and Technology","SCS level","LGBO","10","10","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS level","Undeclared","10","5","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS level","Unknown","40","40","88680","85000"
"In post","2021","Digital, Data and Technology","SEO/HEO","Heterosexual / straight","4265","4145","37960","37740"
"In post","2021","Digital, Data and Technology","SEO/HEO","LGBO","240","235","36520","36780"
"In post","2021","Digital, Data and Technology","SEO/HEO","Undeclared","710","685","38310","38450"
"In post","2021","Digital, Data and Technology","SEO/HEO","Unknown","1660","1625","37170","36800"
"In post","2021","Digital, Data and Technology","Unknown","Heterosexual / straight","45","45","38100","38050"
"In post","2021","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Undeclared","10","5","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Economics","AA/AO","Heterosexual / straight","50","50","23010","23210"
"In post","2021","Economics","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2021","Economics","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2021","Economics","AA/AO","Unknown","25","25","[c]","[c]"
"In post","2021","Economics","EO","Heterosexual / straight","70","70","27320","27680"
"In post","2021","Economics","EO","LGBO","10","10","[c]","[c]"
"In post","2021","Economics","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","Economics","EO","Unknown","35","35","26660","26330"
"In post","2021","Economics","G6/G7","Heterosexual / straight","630","605","59730","58030"
"In post","2021","Economics","G6/G7","LGBO","50","50","58760","57940"
"In post","2021","Economics","G6/G7","Undeclared","75","70","60210","59540"
"In post","2021","Economics","G6/G7","Unknown","195","190","59150","57250"
"In post","2021","Economics","SCS level","Heterosexual / straight","70","65","87430","81750"
"In post","2021","Economics","SCS level","LGBO","5","5","[c]","[c]"
"In post","2021","Economics","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS level","Unknown","15","15","[c]","[c]"
"In post","2021","Economics","SEO/HEO","Heterosexual / straight","575","570","34920","33930"
"In post","2021","Economics","SEO/HEO","LGBO","55","55","34780","33960"
"In post","2021","Economics","SEO/HEO","Undeclared","70","65","35810","34470"
"In post","2021","Economics","SEO/HEO","Unknown","210","210","34760","33880"
"In post","2021","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Heterosexual / straight","720","615","21540","21440"
"In post","2021","Finance","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2021","Finance","AA/AO","Undeclared","125","100","21530","21440"
"In post","2021","Finance","AA/AO","Unknown","300","250","21070","20770"
"In post","2021","Finance","EO","Heterosexual / straight","1225","1155","26510","26670"
"In post","2021","Finance","EO","LGBO","35","35","25840","25620"
"In post","2021","Finance","EO","Undeclared","155","145","27300","26930"
"In post","2021","Finance","EO","Unknown","210","205","26470","26350"
"In post","2021","Finance","G6/G7","Heterosexual / straight","1540","1505","59220","58120"
"In post","2021","Finance","G6/G7","LGBO","80","80","58300","57460"
"In post","2021","Finance","G6/G7","Undeclared","215","210","59780","58390"
"In post","2021","Finance","G6/G7","Unknown","305","300","58100","55220"
"In post","2021","Finance","SCS level","Heterosexual / straight","220","215","90840","83860"
"In post","2021","Finance","SCS level","LGBO","15","15","[c]","[c]"
"In post","2021","Finance","SCS level","Undeclared","20","20","[c]","[c]"
"In post","2021","Finance","SCS level","Unknown","25","25","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Heterosexual / straight","2760","2665","37900","37410"
"In post","2021","Finance","SEO/HEO","LGBO","95","95","37020","36960"
"In post","2021","Finance","SEO/HEO","Undeclared","380","360","38660","38150"
"In post","2021","Finance","SEO/HEO","Unknown","585","570","36860","36540"
"In post","2021","Finance","Unknown","Heterosexual / straight","115","110","41410","39860"
"In post","2021","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Heterosexual / straight","915","835","21700","21130"
"In post","2021","Human Resources","AA/AO","LGBO","45","40","21720","21130"
"In post","2021","Human Resources","AA/AO","Undeclared","125","115","21490","21140"
"In post","2021","Human Resources","AA/AO","Unknown","130","120","21430","20920"
"In post","2021","Human Resources","EO","Heterosexual / straight","1020","955","27040","26670"
"In post","2021","Human Resources","EO","LGBO","50","50","26680","26840"
"In post","2021","Human Resources","EO","Undeclared","115","110","28040","27380"
"In post","2021","Human Resources","EO","Unknown","195","185","27070","26930"
"In post","2021","Human Resources","G6/G7","Heterosexual / straight","1305","1260","58420","57460"
"In post","2021","Human Resources","G6/G7","LGBO","95","90","58520","58590"
"In post","2021","Human Resources","G6/G7","Undeclared","90","90","58800","57190"
"In post","2021","Human Resources","G6/G7","Unknown","175","170","57110","55250"
"In post","2021","Human Resources","SCS level","Heterosexual / straight","160","155","89900","84030"
"In post","2021","Human Resources","SCS level","LGBO","15","15","[c]","[c]"
"In post","2021","Human Resources","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2021","Human Resources","SCS level","Unknown","10","10","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Heterosexual / straight","2570","2450","36930","36460"
"In post","2021","Human Resources","SEO/HEO","LGBO","150","150","36590","36010"
"In post","2021","Human Resources","SEO/HEO","Undeclared","265","250","37760","37450"
"In post","2021","Human Resources","SEO/HEO","Unknown","390","370","35760","34830"
"In post","2021","Human Resources","Unknown","Heterosexual / straight","35","35","42500","41560"
"In post","2021","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","G6/G7","Heterosexual / straight","430","420","75450","75500"
"In post","2021","Inspector of Education and Training","G6/G7","LGBO","40","40","75470","75500"
"In post","2021","Inspector of Education and Training","G6/G7","Undeclared","30","30","75710","75500"
"In post","2021","Inspector of Education and Training","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","Inspector of Education and Training","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Inspector of Education and Training","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SEO/HEO","Heterosexual / straight","285","275","51060","51360"
"In post","2021","Inspector of Education and Training","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2021","Inspector of Education and Training","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Inspector of Education and Training","SEO/HEO","Unknown","25","25","[c]","[c]"
"In post","2021","Intelligence Analysis","AA/AO","Heterosexual / straight","105","95","23050","21580"
"In post","2021","Intelligence Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","AA/AO","Undeclared","15","15","[c]","[c]"
"In post","2021","Intelligence Analysis","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","Intelligence Analysis","EO","Heterosexual / straight","1185","1120","27730","27370"
"In post","2021","Intelligence Analysis","EO","LGBO","60","55","27270","26880"
"In post","2021","Intelligence Analysis","EO","Undeclared","200","185","28000","27370"
"In post","2021","Intelligence Analysis","EO","Unknown","120","115","28340","27380"
"In post","2021","Intelligence Analysis","G6/G7","Heterosexual / straight","235","230","58440","57860"
"In post","2021","Intelligence Analysis","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2021","Intelligence Analysis","G6/G7","Undeclared","35","35","60230","59730"
"In post","2021","Intelligence Analysis","G6/G7","Unknown","125","125","58060","54010"
"In post","2021","Intelligence Analysis","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Intelligence Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","SCS level","Unknown","5","5","[c]","[c]"
"In post","2021","Intelligence Analysis","SEO/HEO","Heterosexual / straight","930","905","36980","36140"
"In post","2021","Intelligence Analysis","SEO/HEO","LGBO","45","45","36020","36150"
"In post","2021","Intelligence Analysis","SEO/HEO","Undeclared","175","170","37200","36460"
"In post","2021","Intelligence Analysis","SEO/HEO","Unknown","125","120","37050","36360"
"In post","2021","Intelligence Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","Internal Audit","EO","Heterosexual / straight","35","35","28220","26980"
"In post","2021","Internal Audit","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Heterosexual / straight","160","155","58510","56610"
"In post","2021","Internal Audit","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","Internal Audit","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Internal Audit","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Heterosexual / straight","370","350","40600","40530"
"In post","2021","Internal Audit","SEO/HEO","LGBO","25","25","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Undeclared","55","50","41170","40580"
"In post","2021","Internal Audit","SEO/HEO","Unknown","35","35","38830","39890"
"In post","2021","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","EO","Heterosexual / straight","60","60","26570","26250"
"In post","2021","International Trade","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","International Trade","EO","Unknown","30","30","27210","26510"
"In post","2021","International Trade","G6/G7","Heterosexual / straight","350","345","55850","53550"
"In post","2021","International Trade","G6/G7","LGBO","35","35","55960","54600"
"In post","2021","International Trade","G6/G7","Undeclared","30","30","55000","51970"
"In post","2021","International Trade","G6/G7","Unknown","175","175","55180","52940"
"In post","2021","International Trade","SCS level","Heterosexual / straight","70","70","86960","75570"
"In post","2021","International Trade","SCS level","LGBO","10","10","[c]","[c]"
"In post","2021","International Trade","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2021","International Trade","SCS level","Unknown","25","25","[c]","[c]"
"In post","2021","International Trade","SEO/HEO","Heterosexual / straight","350","345","35450","35060"
"In post","2021","International Trade","SEO/HEO","LGBO","30","30","35120","33420"
"In post","2021","International Trade","SEO/HEO","Undeclared","45","45","35720","35560"
"In post","2021","International Trade","SEO/HEO","Unknown","230","230","35370","34770"
"In post","2021","Knowledge and Information Management","AA/AO","Heterosexual / straight","245","235","22130","21130"
"In post","2021","Knowledge and Information Management","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2021","Knowledge and Information Management","AA/AO","Undeclared","40","40","22570","21870"
"In post","2021","Knowledge and Information Management","AA/AO","Unknown","35","35","21440","21130"
"In post","2021","Knowledge and Information Management","EO","Heterosexual / straight","335","320","26860","26670"
"In post","2021","Knowledge and Information Management","EO","LGBO","20","20","[c]","[c]"
"In post","2021","Knowledge and Information Management","EO","Undeclared","70","65","27210","26670"
"In post","2021","Knowledge and Information Management","EO","Unknown","80","70","27030","26670"
"In post","2021","Knowledge and Information Management","G6/G7","Heterosexual / straight","275","260","57710","55550"
"In post","2021","Knowledge and Information Management","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2021","Knowledge and Information Management","G6/G7","Undeclared","50","50","58610","57370"
"In post","2021","Knowledge and Information Management","G6/G7","Unknown","70","65","55800","54740"
"In post","2021","Knowledge and Information Management","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Knowledge and Information Management","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SEO/HEO","Heterosexual / straight","720","695","36850","36520"
"In post","2021","Knowledge and Information Management","SEO/HEO","LGBO","40","40","35730","35400"
"In post","2021","Knowledge and Information Management","SEO/HEO","Undeclared","150","145","37030","37430"
"In post","2021","Knowledge and Information Management","SEO/HEO","Unknown","145","135","36950","36590"
"In post","2021","Knowledge and Information Management","Unknown","Heterosexual / straight","40","40","42080","40330"
"In post","2021","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Heterosexual / straight","185","170","21540","21440"
"In post","2021","Legal","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2021","Legal","AA/AO","Undeclared","25","20","[c]","[c]"
"In post","2021","Legal","AA/AO","Unknown","90","75","21470","21240"
"In post","2021","Legal","EO","Heterosexual / straight","1140","1095","27400","25820"
"In post","2021","Legal","EO","LGBO","75","75","28050","25560"
"In post","2021","Legal","EO","Undeclared","150","145","27730","27230"
"In post","2021","Legal","EO","Unknown","575","555","27230","25560"
"In post","2021","Legal","G6/G7","Heterosexual / straight","3890","3610","58660","57000"
"In post","2021","Legal","G6/G7","LGBO","225","215","60150","58040"
"In post","2021","Legal","G6/G7","Undeclared","380","355","60990","60830"
"In post","2021","Legal","G6/G7","Unknown","1430","1295","60970","59930"
"In post","2021","Legal","SCS level","Heterosexual / straight","245","235","89020","83230"
"In post","2021","Legal","SCS level","LGBO","25","25","[c]","[c]"
"In post","2021","Legal","SCS level","Undeclared","30","30","87170","81850"
"In post","2021","Legal","SCS level","Unknown","90","85","87480","82100"
"In post","2021","Legal","SEO/HEO","Heterosexual / straight","2270","2125","38620","38000"
"In post","2021","Legal","SEO/HEO","LGBO","110","110","38480","38000"
"In post","2021","Legal","SEO/HEO","Undeclared","435","405","39650","39800"
"In post","2021","Legal","SEO/HEO","Unknown","760","725","36860","36160"
"In post","2021","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","AA/AO","Heterosexual / straight","230","220","22430","22640"
"In post","2021","Medicine","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","AA/AO","Undeclared","25","25","[c]","[c]"
"In post","2021","Medicine","AA/AO","Unknown","85","80","21050","21140"
"In post","2021","Medicine","EO","Heterosexual / straight","250","225","30510","30620"
"In post","2021","Medicine","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Medicine","EO","Undeclared","30","25","[c]","[c]"
"In post","2021","Medicine","EO","Unknown","50","45","30640","30620"
"In post","2021","Medicine","G6/G7","Heterosexual / straight","460","405","73960","74490"
"In post","2021","Medicine","G6/G7","LGBO","15","10","[c]","[c]"
"In post","2021","Medicine","G6/G7","Undeclared","60","50","80490","83530"
"In post","2021","Medicine","G6/G7","Unknown","135","115","73060","76160"
"In post","2021","Medicine","SCS level","Heterosexual / straight","245","210","103980","98580"
"In post","2021","Medicine","SCS level","LGBO","10","10","[c]","[c]"
"In post","2021","Medicine","SCS level","Undeclared","60","45","104200","104560"
"In post","2021","Medicine","SCS level","Unknown","105","95","116000","112850"
"In post","2021","Medicine","SEO/HEO","Heterosexual / straight","525","480","38690","37890"
"In post","2021","Medicine","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2021","Medicine","SEO/HEO","Undeclared","60","55","40040","38490"
"In post","2021","Medicine","SEO/HEO","Unknown","135","120","37810","37890"
"In post","2021","Medicine","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","AA/AO","Heterosexual / straight","49415","44495","22960","21440"
"In post","2021","Operational Delivery","AA/AO","LGBO","2890","2765","23490","21590"
"In post","2021","Operational Delivery","AA/AO","Undeclared","7620","6630","22570","21440"
"In post","2021","Operational Delivery","AA/AO","Unknown","21010","18800","23020","21440"
"In post","2021","Operational Delivery","EO","Heterosexual / straight","30010","27880","27600","26780"
"In post","2021","Operational Delivery","EO","LGBO","1530","1480","27530","26410"
"In post","2021","Operational Delivery","EO","Undeclared","5065","4600","27910","27230"
"In post","2021","Operational Delivery","EO","Unknown","8485","7880","28240","27130"
"In post","2021","Operational Delivery","G6/G7","Heterosexual / straight","4600","4475","58750","56400"
"In post","2021","Operational Delivery","G6/G7","LGBO","255","250","59310","57430"
"In post","2021","Operational Delivery","G6/G7","Undeclared","660","640","59560","57460"
"In post","2021","Operational Delivery","G6/G7","Unknown","1030","995","58200","55460"
"In post","2021","Operational Delivery","SCS level","Heterosexual / straight","490","480","92090","84340"
"In post","2021","Operational Delivery","SCS level","LGBO","30","30","[c]","[c]"
"In post","2021","Operational Delivery","SCS level","Undeclared","40","40","90870","89640"
"In post","2021","Operational Delivery","SCS level","Unknown","95","95","99710","93000"
"In post","2021","Operational Delivery","SEO/HEO","Heterosexual / straight","21805","20770","36870","35630"
"In post","2021","Operational Delivery","SEO/HEO","LGBO","1145","1125","36390","35070"
"In post","2021","Operational Delivery","SEO/HEO","Undeclared","3170","2995","37320","36030"
"In post","2021","Operational Delivery","SEO/HEO","Unknown","4560","4320","36460","35060"
"In post","2021","Operational Delivery","Unknown","Heterosexual / straight","9690","8970","30090","30210"
"In post","2021","Operational Delivery","Unknown","LGBO","580","560","29120","26810"
"In post","2021","Operational Delivery","Unknown","Undeclared","930","860","31860","32090"
"In post","2021","Operational Delivery","Unknown","Unknown","1005","895","26940","24020"
"In post","2021","Operational Research","AA/AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Operational Research","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2021","Operational Research","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","Operational Research","EO","Heterosexual / straight","35","35","28010","26670"
"In post","2021","Operational Research","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","EO","Unknown","15","15","[c]","[c]"
"In post","2021","Operational Research","G6/G7","Heterosexual / straight","385","365","53910","52580"
"In post","2021","Operational Research","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2021","Operational Research","G6/G7","Undeclared","45","40","56950","57660"
"In post","2021","Operational Research","G6/G7","Unknown","60","60","54730","55240"
"In post","2021","Operational Research","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Operational Research","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","SCS level","Undeclared","[c]","[c]","[c]","[c]"
