"Status","Year","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Digital, Data & Technology","Foreign, Commonwealth and Development Office","370","360","41150","39190"
"In post","2021","Digital, Data & Technology","HM Land Registry","670","640","38030","38450"
"In post","2021","Digital, Data & Technology","HM Revenue and Customs","2695","2595","39310","36160"
"In post","2021","Digital, Data & Technology","HM Treasury","65","65","49620","43150"
"In post","2021","Digital, Data & Technology","Ministry of Defence","995","970","34000","33290"
"In post","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","150","145","44240","40720"
"In post","2021","Digital, Data & Technology","Ministry of Justice","1070","1055","46390","43960"
"In post","2021","Digital, Data & Technology","National Crime Agency","260","255","41070","37750"
"In post","2021","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office for Standards in Education","80","80","45050","39850"
"In post","2021","Digital, Data & Technology","Office of Gas and Electricity Markets","60","60","51940","50000"
"In post","2021","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","20","20","44370","40410"
"In post","2021","Digital, Data & Technology","Office of Rail and Road","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other Cabinet Office Agencies","135","130","43770","40300"
"In post","2021","Digital, Data & Technology","Scottish Government","235","235","39080","35720"
"In post","2021","Digital, Data & Technology","The National Archives","105","100","40120","39390"
"In post","2021","Digital, Data & Technology","UK Export Finance","30","30","55790","52500"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","595","585","40840","36840"
"In post","2021","Digital, Data & Technology","Water Services Regulation Authority","25","25","48730","47000"
"In post","2021","Digital, Data & Technology","Welsh Government","10","10","[c]","[c]"
"In post","2021","Finance","Attorney General's Departments","150","140","36780","31330"
"In post","2021","Finance","Cabinet Office","90","90","46340","41820"
"In post","2021","Finance","Chancellor's other departments","40","40","49790","46090"
"In post","2021","Finance","Charity Commission","10","5","[c]","[c]"
"In post","2021","Finance","Competition and Markets Authority","15","15","46260","43490"
"In post","2021","Finance","Department for Business, Energy and Industrial Strategy","320","305","44650","41870"
"In post","2021","Finance","Department for Digital, Culture, Media and Sport","70","70","57470","61730"
"In post","2021","Finance","Department for Education","535","520","43250","41150"
"In post","2021","Finance","Department for Environment, Food and Rural Affairs","420","405","42710","38060"
"In post","2021","Finance","Department for International Trade","90","90","47730","44030"
"In post","2021","Finance","Department for Transport","420","400","39840","37570"
"In post","2021","Finance","Department for Work and Pensions","25","25","48770","45770"
"In post","2021","Finance","Department of Health and Social Care","605","595","41250","36820"
"In post","2021","Finance","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","50","50","41000","37910"
"In post","2021","Finance","Foreign, Commonwealth and Development Office","295","285","42670","38890"
"In post","2021","Finance","HM Land Registry","55","55","48870","46800"
"In post","2021","Finance","HM Revenue and Customs","2485","2225","32910","28130"
"In post","2021","Finance","HM Treasury","120","115","50180","52500"
"In post","2021","Finance","Ministry of Defence","2150","2065","38260","33300"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government","135","130","50660","51010"
"In post","2021","Finance","Ministry of Justice","785","760","42270","37910"
"In post","2021","Finance","National Crime Agency","50","45","38330","36740"
"In post","2021","Finance","Northern Ireland Office","10","10","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education","35","35","41620","32010"
"In post","2021","Finance","Office of Gas and Electricity Markets","30","30","49790","45810"
"In post","2021","Finance","Office of Qualifications and Examinations Regulation","5","5","[c]","[c]"
"In post","2021","Finance","Office of Rail and Road","5","5","[c]","[c]"
"In post","2021","Finance","Other Cabinet Office Agencies","65","65","44090","39000"
"In post","2021","Finance","Scottish Government","190","180","34510","33650"
"In post","2021","Finance","The National Archives","10","10","44410","43540"
"In post","2021","Finance","UK Export Finance","45","45","49110","38920"
"In post","2021","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Finance","United Kingdom Statistics Authority","60","55","37140","29840"
"In post","2021","Finance","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Water Services Regulation Authority","10","10","45190","40800"
"In post","2021","Finance","Welsh Government","10","10","[c]","[c]"
"In post","2021","Grants Management","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Department for Environment, Food and Rural Affairs","1890","1725","25510","21050"
"In post","2021","Grants Management","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Attorney General's Departments","215","210","39830","33930"
"In post","2021","Human Resources","Cabinet Office","1120","1070","39180","35590"
"In post","2021","Human Resources","Chancellor's other departments","15","15","44060","45490"
"In post","2021","Human Resources","Charity Commission","10","10","32360","29160"
"In post","2021","Human Resources","Competition and Markets Authority","35","35","50820","45980"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy","405","385","40040","38200"
"In post","2021","Human Resources","Department for Digital, Culture, Media and Sport","65","60","49570","38540"
"In post","2021","Human Resources","Department for Education","150","145","36220","30200"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs","265","250","42740","38600"
"In post","2021","Human Resources","Department for International Trade","125","125","43250","38540"
"In post","2021","Human Resources","Department for Transport","420","400","36540","32810"
"In post","2021","Human Resources","Department for Work and Pensions","85","80","39880","35910"
"In post","2021","Human Resources","Department of Health and Social Care","290","285","42950","36820"
"In post","2021","Human Resources","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Food Standards Agency","35","30","40810","38610"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office","280","270","43530","38860"
"In post","2021","Human Resources","HM Land Registry","95","85","40290","33840"
"In post","2021","Human Resources","HM Revenue and Customs","1665","1550","35590","31810"
"In post","2021","Human Resources","HM Treasury","105","100","42540","39200"
"In post","2021","Human Resources","Ministry of Defence","2185","2055","32330","26670"
"In post","2021","Human Resources","Ministry of Housing, Communities and Local Government","85","85","40860","36340"
"In post","2021","Human Resources","Ministry of Justice","975","945","41700","36800"
"In post","2021","Human Resources","National Crime Agency","185","175","40160","39240"
"In post","2021","Human Resources","Northern Ireland Office","5","5","[c]","[c]"
"In post","2021","Human Resources","Office for Standards in Education","55","55","39210","32010"
"In post","2021","Human Resources","Office of Gas and Electricity Markets","25","25","43020","40530"
"In post","2021","Human Resources","Office of Qualifications and Examinations Regulation","10","10","[c]","[c]"
"In post","2021","Human Resources","Office of Rail and Road","10","10","45200","45850"
"In post","2021","Human Resources","Other Cabinet Office Agencies","45","45","38990","33750"
"In post","2021","Human Resources","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Scottish Government","305","295","34150","33650"
"In post","2021","Human Resources","The National Archives","20","15","34890","29120"
"In post","2021","Human Resources","UK Export Finance","30","25","45620","41000"
"In post","2021","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","United Kingdom Statistics Authority","215","205","37360","32540"
"In post","2021","Human Resources","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Water Services Regulation Authority","15","10","42810","40530"
"In post","2021","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2021","Internal Audit","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Transport","15","15","38250","35410"
"In post","2021","Internal Audit","Food Standards Agency","10","10","[c]","[c]"
"In post","2021","Internal Audit","Foreign, Commonwealth and Development Office","70","70","41330","37480"
"In post","2021","Internal Audit","HM Land Registry","5","5","[c]","[c]"
"In post","2021","Internal Audit","HM Revenue and Customs","75","70","44180","41350"
"In post","2021","Internal Audit","HM Treasury","350","335","50540","48780"
"In post","2021","Internal Audit","Ministry of Defence","145","140","38660","34630"
"In post","2021","Internal Audit","Ministry of Justice","65","65","48010","48800"
"In post","2021","Internal Audit","Scottish Government","10","5","[c]","[c]"
"In post","2021","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Attorney General's Departments","8720","8090","45470","49580"
"In post","2021","Legal","Cabinet Office","55","55","79760","79760"
"In post","2021","Legal","Charity Commission","25","20","51080","51830"
"In post","2021","Legal","Competition and Markets Authority","160","155","69080","72430"
"In post","2021","Legal","Department for Business, Energy and Industrial Strategy","90","85","51950","52960"
"In post","2021","Legal","Department for Education","65","60","54640","55000"
"In post","2021","Legal","Department for International Trade","10","10","60350","53920"
"In post","2021","Legal","Department for Transport","5","5","[c]","[c]"
"In post","2021","Legal","Department for Work and Pensions","20","20","49730","55700"
"In post","2021","Legal","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2021","Legal","Food Standards Agency","20","20","48660","48540"
"In post","2021","Legal","Foreign, Commonwealth and Development Office","125","100","58300","58470"
"In post","2021","Legal","HM Land Registry","260","240","50540","57000"
"In post","2021","Legal","HM Revenue and Customs","1280","1205","40270","32030"
"In post","2021","Legal","HM Treasury","5","5","[c]","[c]"
"In post","2021","Legal","Ministry of Defence","40","40","53100","53500"
"In post","2021","Legal","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Justice","1440","1310","42410","43090"
"In post","2021","Legal","National Crime Agency","50","50","55660","59160"
"In post","2021","Legal","Office for Standards in Education","15","15","59150","62810"
"In post","2021","Legal","Office of Gas and Electricity Markets","80","80","63840","63540"
"In post","2021","Legal","Office of Qualifications and Examinations Regulation","10","10","56880","57350"
"In post","2021","Legal","Office of Rail and Road","10","10","65840","58830"
"In post","2021","Legal","Scottish Government","2265","2065","34540","29350"
"In post","2021","Legal","UK Export Finance","20","20","70930","76270"
"In post","2021","Legal","UK Supreme Court","45","40","39100","36240"
"In post","2021","Legal","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Water Services Regulation Authority","15","15","69870","68770"
"In post","2021","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","No function","Attorney General's Departments","90","85","41110","38450"
"In post","2021","No function","Cabinet Office","4170","4135","40710","32000"
"In post","2021","No function","Chancellor's other departments","110","110","53710","45130"
"In post","2021","No function","Charity Commission","30","25","33450","29160"
"In post","2021","No function","Department for Business, Energy and Industrial Strategy","8615","8245","40470","36730"
"In post","2021","No function","Department for Digital, Culture, Media and Sport","1185","1165","47990","51730"
"In post","2021","No function","Department for Education","4155","4005","43080","37510"
"In post","2021","No function","Department for Environment, Food and Rural Affairs","5530","5290","37380","33120"
"In post","2021","No function","Department for International Trade","1885","1865","46340","39960"
"In post","2021","No function","Department for Transport","11970","10955","30460","26700"
"In post","2021","No function","Department for Work and Pensions","2200","2070","43600","41480"
"In post","2021","No function","Department of Health and Social Care","8400","7770","44810","38890"
"In post","2021","No function","ESTYN","85","80","62680","74730"
"In post","2021","No function","Food Standards Agency","950","925","35400","30810"
"In post","2021","No function","Foreign, Commonwealth and Development Office","3675","3635","47920","39770"
"In post","2021","No function","HM Land Registry","5030","4515","28310","27130"
"In post","2021","No function","HM Revenue and Customs","31530","28395","28440","25560"
"In post","2021","No function","HM Treasury","1620","1595","47540","52500"
"In post","2021","No function","Ministry of Defence","3145","3030","39140","37320"
"In post","2021","No function","Ministry of Housing, Communities and Local Government","2525","2415","45280","41980"
"In post","2021","No function","Ministry of Justice","71190","66525","28260","26300"
"In post","2021","No function","National Crime Agency","4725","4625","39700","37560"
"In post","2021","No function","Northern Ireland Office","125","125","44760","38680"
"In post","2021","No function","Office for Standards in Education","1340","1290","51840","51360"
"In post","2021","No function","Office of Gas and Electricity Markets","860","850","41550","35720"
"In post","2021","No function","Office of Qualifications and Examinations Regulation","195","190","46050","40940"
"In post","2021","No function","Office of Rail and Road","225","215","55610","55870"
"In post","2021","No function","Other Cabinet Office Agencies","190","185","40460","35520"
"In post","2021","No function","Scottish Government","6130","5730","30540","30080"
"In post","2021","No function","The National Archives","335","325","34280","30830"
"In post","2021","No function","United Kingdom Statistics Authority","2570","2095","25880","22660"
"In post","2021","No function","Wales Office","30","30","43740","34420"
"In post","2021","No function","Water Services Regulation Authority","115","110","57630","52650"
"In post","2021","Project Delivery","Attorney General's Departments","40","40","46640","38850"
"In post","2021","Project Delivery","Cabinet Office","190","185","69400","62550"
"In post","2021","Project Delivery","Chancellor's other departments","15","15","45840","49860"
"In post","2021","Project Delivery","Charity Commission","15","15","32930","29160"
"In post","2021","Project Delivery","Competition and Markets Authority","375","360","60880","56360"
"In post","2021","Project Delivery","Department for Business, Energy and Industrial Strategy","905","875","44120","40220"
"In post","2021","Project Delivery","Department for Digital, Culture, Media and Sport","210","205","48480","51730"
"In post","2021","Project Delivery","Department for Education","530","515","47490","50130"
"In post","2021","Project Delivery","Department for Environment, Food and Rural Affairs","505","480","38300","35900"
"In post","2021","Project Delivery","Department for International Trade","45","45","50560","51970"
"In post","2021","Project Delivery","Department for Transport","615","605","49850","44030"
"In post","2021","Project Delivery","Department for Work and Pensions","45","40","38640","35910"
"In post","2021","Project Delivery","Department of Health and Social Care","20","20","51790","54150"
"In post","2021","Project Delivery","ESTYN","5","5","[c]","[c]"
"In post","2021","Project Delivery","Food Standards Agency","25","20","41020","37910"
"In post","2021","Project Delivery","Foreign, Commonwealth and Development Office","2055","2000","51380","53000"
"In post","2021","Project Delivery","HM Land Registry","140","140","40870","38550"
"In post","2021","Project Delivery","HM Revenue and Customs","4565","4315","43760","38630"
"In post","2021","Project Delivery","HM Treasury","35","30","48300","50220"
"In post","2021","Project Delivery","Ministry of Defence","16450","15945","37790","35130"
"In post","2021","Project Delivery","Ministry of Housing, Communities and Local Government","145","145","45810","40720"
"In post","2021","Project Delivery","Ministry of Justice","715","705","40680","36800"
"In post","2021","Project Delivery","National Crime Agency","95","90","46620","45480"
"In post","2021","Project Delivery","Office for Standards in Education","30","30","43520","39850"
"In post","2021","Project Delivery","Office of Gas and Electricity Markets","15","15","49020","42810"
"In post","2021","Project Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Other Cabinet Office Agencies","60","60","48010","46920"
"In post","2021","Project Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Scottish Government","295","275","36330","35330"
"In post","2021","Project Delivery","UK Export Finance","15","15","48190","41920"
"In post","2021","Project Delivery","United Kingdom Statistics Authority","230","220","40440","36030"
"In post","2021","Project Delivery","Water Services Regulation Authority","10","10","48250","45810"
"In post","2021","Property","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Property","Cabinet Office","105","100","50780","52720"
"In post","2021","Property","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Property","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2021","Property","Department for Business, Energy and Industrial Strategy","80","80","33990","27690"
"In post","2021","Property","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2021","Property","Department for Education","270","260","49500","50630"
"In post","2021","Property","Department for Environment, Food and Rural Affairs","390","370","36760","32560"
"In post","2021","Property","Department for International Trade","5","5","[c]","[c]"
"In post","2021","Property","Department for Transport","160","145","33580","31040"
"In post","2021","Property","Department for Work and Pensions","15","10","31830","30920"
"In post","2021","Property","Department of Health and Social Care","40","40","40780","36290"
"In post","2021","Property","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Property","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Property","Foreign, Commonwealth and Development Office","465","460","41470","39410"
"In post","2021","Property","HM Land Registry","20","20","41960","39980"
"In post","2021","Property","HM Revenue and Customs","3505","3245","33390","30000"
"In post","2021","Property","HM Treasury","5","5","[c]","[c]"
"In post","2021","Property","Ministry of Defence","2735","2655","32270","33300"
"In post","2021","Property","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Property","Ministry of Justice","360","350","40300","35040"
"In post","2021","Property","National Crime Agency","30","30","43170","39510"
"In post","2021","Property","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office for Standards in Education","15","15","31410","25880"
"In post","2021","Property","Office of Gas and Electricity Markets","5","5","[c]","[c]"
"In post","2021","Property","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Property","Other Cabinet Office Agencies","45","45","50860","49700"
"In post","2021","Property","Scottish Government","1015","985","30540","28870"
"In post","2021","Property","The National Archives","10","10","39600","36720"
"In post","2021","Property","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Property","United Kingdom Statistics Authority","15","15","37400","36030"
"In post","2021","Property","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Security","Attorney General's Departments","25","25","39360","35650"
"In post","2021","Security","Cabinet Office","870","835","33080","33300"
"In post","2021","Security","Chancellor's other departments","10","10","40700","39440"
"In post","2021","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Business, Energy and Industrial Strategy","30","30","43690","39930"
"In post","2021","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Education","30","30","38400","36640"
"In post","2021","Security","Department for International Trade","25","25","41700","38540"
"In post","2021","Security","Department for Transport","130","125","30940","26410"
"In post","2021","Security","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Security","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Security","Food Standards Agency","5","5","[c]","[c]"
"In post","2021","Security","Foreign, Commonwealth and Development Office","565","555","39920","34770"
"In post","2021","Security","HM Revenue and Customs","185","180","40830","38630"
"In post","2021","Security","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Security","Ministry of Defence","6090","5975","29160","25540"
"In post","2021","Security","Ministry of Housing, Communities and Local Government","5","5","[c]","[c]"
"In post","2021","Security","Ministry of Justice","675","670","39330","36720"
"In post","2021","Security","National Crime Agency","40","35","34390","33490"
"In post","2021","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Security","Scottish Government","20","15","41790","36780"
"In post","2021","Security","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Security","United Kingdom Statistics Authority","35","35","39190","36030"
"In post","2021","Security","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Attorney General's Departments","55","50","56040","56150"
"In post","2021","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Charity Commission","245","235","32470","29160"
"In post","2021","Unknown","Department for Business, Energy and Industrial Strategy","40","35","52380","46100"
"In post","2021","Unknown","Department for Education","595","575","52160","46170"
