"Status","Year","Ethnicity","Function_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","London","Heterosexual / straight","165","160","38160","33610"
"In post","2021","Asian","Communications","London","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Communications","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Communications","London","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","Communications","Outside London","Heterosexual / straight","255","250","29220","25560"
"In post","2021","Asian","Communications","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Communications","Outside London","Unknown","25","25","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","Heterosexual / straight","205","195","36240","32520"
"In post","2021","Asian","Counter Fraud","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","Unknown","50","45","32930","32520"
"In post","2021","Asian","Counter Fraud","Outside London","Heterosexual / straight","255","245","30080","30810"
"In post","2021","Asian","Counter Fraud","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outside London","Unknown","70","65","28780","25560"
"In post","2021","Asian","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","London","Heterosexual / straight","65","55","26740","25630"
"In post","2021","Asian","Debt","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Debt","London","Unknown","55","45","28250","25630"
"In post","2021","Asian","Debt","Outside London","Heterosexual / straight","150","130","21410","20140"
"In post","2021","Asian","Debt","Outside London","LGBO","10","5","[c]","[c]"
"In post","2021","Asian","Debt","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2021","Asian","Debt","Outside London","Unknown","40","35","22510","21420"
"In post","2021","Asian","Digital, Data & Technology","London","Heterosexual / straight","350","345","45650","41760"
"In post","2021","Asian","Digital, Data & Technology","London","LGBO","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","London","Undeclared","20","20","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","London","Unknown","45","45","46140","42200"
"In post","2021","Asian","Digital, Data & Technology","Outside London","Heterosexual / straight","290","285","36020","31870"
"In post","2021","Asian","Digital, Data & Technology","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Outside London","Unknown","60","60","36810","34050"
"In post","2021","Asian","Digital, Data & Technology","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","London","Heterosexual / straight","345","340","42910","39160"
"In post","2021","Asian","Finance","London","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Finance","London","Undeclared","25","25","[c]","[c]"
"In post","2021","Asian","Finance","London","Unknown","25","20","[c]","[c]"
"In post","2021","Asian","Finance","Outside London","Heterosexual / straight","275","265","33790","31370"
"In post","2021","Asian","Finance","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Finance","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Finance","Outside London","Unknown","50","45","28110","21440"
"In post","2021","Asian","Finance","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","Grants Management","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","London","Heterosexual / straight","245","240","40600","35970"
"In post","2021","Asian","Human Resources","London","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Human Resources","London","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Human Resources","Outside London","Heterosexual / straight","165","160","31700","29100"
"In post","2021","Asian","Human Resources","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Human Resources","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","London","Heterosexual / straight","40","40","50800","50500"
"In post","2021","Asian","Internal Audit","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Outside London","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Asian","Internal Audit","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","London","Heterosexual / straight","510","485","45490","50500"
"In post","2021","Asian","Legal","London","LGBO","20","20","[c]","[c]"
"In post","2021","Asian","Legal","London","Undeclared","20","20","[c]","[c]"
"In post","2021","Asian","Legal","London","Unknown","85","75","47760","51070"
"In post","2021","Asian","Legal","Outside London","Heterosexual / straight","415","390","38210","37300"
"In post","2021","Asian","Legal","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Legal","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Legal","Outside London","Unknown","70","60","39670","40760"
"In post","2021","Asian","Legal","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","London","Heterosexual / straight","3310","3170","37880","33740"
"In post","2021","Asian","No function","London","LGBO","110","105","39510","33570"
"In post","2021","Asian","No function","London","Undeclared","220","205","35870","32530"
"In post","2021","Asian","No function","London","Unknown","350","330","39650","36160"
"In post","2021","Asian","No function","Outside London","Heterosexual / straight","4300","3985","28180","23840"
"In post","2021","Asian","No function","Outside London","LGBO","115","105","25680","21710"
"In post","2021","Asian","No function","Outside London","Undeclared","280","250","27200","22570"
"In post","2021","Asian","No function","Outside London","Unknown","545","490","29260","24130"
"In post","2021","Asian","No function","Overseas","Heterosexual / straight","60","60","47940","43860"
"In post","2021","Asian","No function","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","No function","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","London","Heterosexual / straight","435","425","45400","40050"
"In post","2021","Asian","Project Delivery","London","LGBO","15","15","[c]","[c]"
"In post","2021","Asian","Project Delivery","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Project Delivery","London","Unknown","50","45","48050","41760"
"In post","2021","Asian","Project Delivery","Outside London","Heterosexual / straight","525","515","37460","34300"
"In post","2021","Asian","Project Delivery","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Project Delivery","Outside London","Undeclared","30","25","[c]","[c]"
"In post","2021","Asian","Project Delivery","Outside London","Unknown","30","30","37770","33930"
"In post","2021","Asian","Project Delivery","Overseas","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","Project Delivery","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","London","Heterosexual / straight","125","120","37720","33880"
"In post","2021","Asian","Property","London","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Property","London","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Property","London","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","Property","Outside London","Heterosexual / straight","105","100","32510","27000"
"In post","2021","Asian","Property","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Property","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Property","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","London","Heterosexual / straight","95","95","36440","34550"
"In post","2021","Asian","Security","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Security","London","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Security","Outside London","Heterosexual / straight","95","95","27510","22920"
"In post","2021","Asian","Security","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Security","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","London","Heterosexual / straight","4860","4555","33400","31060"
"In post","2021","Asian","Unknown","London","LGBO","75","70","33560","31060"
"In post","2021","Asian","Unknown","London","Undeclared","445","395","30750","29370"
"In post","2021","Asian","Unknown","London","Unknown","530","455","31950","31060"
"In post","2021","Asian","Unknown","Outside London","Heterosexual / straight","5235","4810","26920","27570"
"In post","2021","Asian","Unknown","Outside London","LGBO","100","90","25870","27570"
"In post","2021","Asian","Unknown","Outside London","Undeclared","380","335","25530","25110"
"In post","2021","Asian","Unknown","Outside London","Unknown","925","775","25520","27570"
"In post","2021","Asian","Unknown","Overseas","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Asian","Unknown","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Heterosexual / straight","100","90","28500","27570"
"In post","2021","Asian","Unknown","Unknown","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Unknown","20","15","[c]","[c]"
"In post","2021","Black","Analysis","London","Heterosexual / straight","110","110","39660","36800"
"In post","2021","Black","Analysis","London","LGBO","5","5","[c]","[c]"
"In post","2021","Black","Analysis","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","London","Unknown","10","10","[c]","[c]"
"In post","2021","Black","Analysis","Outside London","Heterosexual / straight","30","30","37420","33410"
"In post","2021","Black","Analysis","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Black","Analysis","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","London","Heterosexual / straight","100","100","43440","39440"
"In post","2021","Black","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Black","Commercial","London","Unknown","10","10","[c]","[c]"
"In post","2021","Black","Commercial","Outside London","Heterosexual / straight","55","55","36550","35240"
"In post","2021","Black","Commercial","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Black","Commercial","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","London","Heterosexual / straight","95","90","37700","35860"
"In post","2021","Black","Communications","London","LGBO","5","5","[c]","[c]"
"In post","2021","Black","Communications","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Black","Communications","London","Unknown","10","10","[c]","[c]"
"In post","2021","Black","Communications","Outside London","Heterosexual / straight","70","70","27350","25560"
"In post","2021","Black","Communications","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Black","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","London","Heterosexual / straight","130","130","33120","30360"
"In post","2021","Black","Counter Fraud","London","LGBO","5","5","[c]","[c]"
"In post","2021","Black","Counter Fraud","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Black","Counter Fraud","London","Unknown","30","30","31730","29570"
"In post","2021","Black","Counter Fraud","Outside London","Heterosexual / straight","65","60","28020","25560"
"In post","2021","Black","Counter Fraud","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Outside London","Unknown","10","5","[c]","[c]"
"In post","2021","Black","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","London","Heterosexual / straight","60","55","27620","25630"
"In post","2021","Black","Debt","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","London","Unknown","30","30","27750","25630"
"In post","2021","Black","Debt","Outside London","Heterosexual / straight","40","40","21290","20140"
"In post","2021","Black","Debt","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","Outside London","Unknown","10","5","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","London","Heterosexual / straight","195","195","40780","36670"
"In post","2021","Black","Digital, Data & Technology","London","LGBO","5","5","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","London","Unknown","20","20","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Outside London","Heterosexual / straight","120","120","35890","32030"
"In post","2021","Black","Digital, Data & Technology","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","London","Heterosexual / straight","225","220","41680","38610"
"In post","2021","Black","Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Black","Finance","London","Unknown","20","15","[c]","[c]"
"In post","2021","Black","Finance","Outside London","Heterosexual / straight","90","85","35540","34090"
"In post","2021","Black","Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Black","Finance","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","Outside London","Heterosexual / straight","10","5","[c]","[c]"
