"Status","Year","Region_ITL1","Region_ITL2","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East of England","Essex","Essex Haven Gateway","Outside London","1135","1070","32320","29290"
"In post","2021","East of England","Essex","Essex Thames Gateway","Outside London","940","835","27660","28730"
"In post","2021","East of England","Essex","Heart of Essex","Outside London","1115","1050","31990","29290"
"In post","2021","East of England","Essex","Southend-on-Sea","Outside London","1345","1210","32090","29360"
"In post","2021","East of England","Essex","Thurrock","Outside London","365","345","26380","25310"
"In post","2021","East of England","Essex","West Essex","Outside London","700","625","30400","28590"
"In post","2021","London","Inner London - East","Hackney and Newham","London","3045","2825","34600","31060"
"In post","2021","London","Inner London - East","Haringey and Islington","London","1505","1435","31110","31060"
"In post","2021","London","Inner London - East","Lambeth","London","4380","4145","43650","39410"
"In post","2021","London","Inner London - East","Lewisham and Southwark","London","1390","1330","33830","31060"
"In post","2021","London","Inner London - East","Tower Hamlets","London","6875","6645","48370","42070"
"In post","2021","London","Inner London - West","Camden and City of London","London","3640","3485","38270","32520"
"In post","2021","London","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","London","850","815","32650","31060"
"In post","2021","London","Inner London - West","Wandsworth","London","955","915","32060","31060"
"In post","2021","London","Inner London - West","Westminster","London","55700","54270","48070","43360"
"In post","2021","London","Outer London - East and North East","Barking & Dagenham and Havering","London","600","545","30460","31060"
"In post","2021","London","Outer London - East and North East","Bexley and Greenwich","London","1765","1685","31820","31060"
"In post","2021","London","Outer London - East and North East","Enfield","London","360","335","30130","31060"
"In post","2021","London","Outer London - East and North East","Redbridge and Waltham Forest","London","1060","965","28990","30780"
"In post","2021","London","Outer London - South","Bromley","London","460","420","29400","31060"
"In post","2021","London","Outer London - South","Croydon","London","9625","9135","38350","35070"
"In post","2021","London","Outer London - South","Merton, Kingston upon Thames and Sutton","London","660","625","31120","31060"
"In post","2021","London","Outer London - West and North West","Barnet","London","1680","1585","39880","32650"
"In post","2021","London","Outer London - West and North West","Brent","London","605","560","31430","31060"
"In post","2021","London","Outer London - West and North West","Ealing","London","515","485","31310","31060"
"In post","2021","London","Outer London - West and North West","Harrow and Hillingdon","London","3405","3085","31170","29250"
"In post","2021","London","Outer London - West and North West","Hounslow and Richmond upon Thames","London","2860","2705","32620","31060"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Northumberland","Outside London","395","355","28320","27570"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Sunderland","Outside London","4430","3755","25080","21440"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Tyneside","Outside London","16545","15020","29160","25560"
"In post","2021","North East (England)","Tees Valley and Durham","Darlington","Outside London","975","925","35680","30900"
"In post","2021","North East (England)","Tees Valley and Durham","Durham CC","Outside London","5595","5025","27020","25310"
"In post","2021","North East (England)","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","Outside London","1550","1410","27240","27570"
"In post","2021","North East (England)","Tees Valley and Durham","South Teesside","Outside London","1125","1010","26410","25310"
"In post","2021","North West (England)","Cheshire","Cheshire East","Outside London","755","705","30050","27570"
"In post","2021","North West (England)","Cheshire","Cheshire West and Chester","Outside London","455","420","26080","27300"
"In post","2021","North West (England)","Cheshire","Warrington","Outside London","2690","2560","32520","30640"
"In post","2021","North West (England)","Cumbria","East Cumbria","Outside London","940","855","27620","24920"
"In post","2021","North West (England)","Cumbria","West Cumbria","Outside London","1200","1095","28270","25190"
"In post","2021","North West (England)","Greater Manchester","Greater Manchester North East","Outside London","1205","1125","27610","27570"
"In post","2021","North West (England)","Greater Manchester","Greater Manchester North West","Outside London","1985","1780","25310","24440"
"In post","2021","North West (England)","Greater Manchester","Greater Manchester South East","Outside London","1390","1275","25630","22080"
"In post","2021","North West (England)","Greater Manchester","Greater Manchester South West","Outside London","6145","5790","30490","27100"
"In post","2021","North West (England)","Greater Manchester","Manchester","Outside London","8990","8530","33780","29730"
"In post","2021","North West (England)","Lancashire","Blackburn with Darwen","Outside London","495","445","26790","27570"
"In post","2021","North West (England)","Lancashire","Blackpool","Outside London","5140","4700","29050","27570"
"In post","2021","North West (England)","Lancashire","Chorley and West Lancashire","Outside London","1330","1230","29700","27570"
"In post","2021","North West (England)","Lancashire","East Lancashire","Outside London","480","430","25810","27570"
"In post","2021","North West (England)","Lancashire","Lancaster and Wyre","Outside London","1055","980","28560","26670"
"In post","2021","North West (England)","Lancashire","Mid Lancashire","Outside London","5605","5030","27450","24980"
"In post","2021","North West (England)","Merseyside","East Merseyside","Outside London","1040","930","27640","27570"
"In post","2021","North West (England)","Merseyside","Liverpool","Outside London","10235","9455","29090","25310"
"In post","2021","North West (England)","Merseyside","Sefton","Outside London","6060","5510","29020","25560"
"In post","2021","North West (England)","Merseyside","Wirral","Outside London","2145","1870","26230","26120"
"In post","2021","Northern Ireland","Northern Ireland","Antrim and Newtownabbey","Outside London","200","195","24570","20310"
"In post","2021","Northern Ireland","Northern Ireland","Ards and North Down","Outside London","225","220","25880","21270"
"In post","2021","Northern Ireland","Northern Ireland","Armagh City, Banbridge and Craigavon","Outside London","5","5","[c]","[c]"
"In post","2021","Northern Ireland","Northern Ireland","Belfast","Outside London","2815","2625","28890","25560"
"In post","2021","Northern Ireland","Northern Ireland","Causeway Coast and Glens","Outside London","70","70","20720","20310"
"In post","2021","Northern Ireland","Northern Ireland","Derry City and Strabane","Outside London","10","10","21710","21110"
"In post","2021","Northern Ireland","Northern Ireland","Fermanagh and Omagh","Outside London","20","20","20330","20310"
"In post","2021","Northern Ireland","Northern Ireland","Lisburn and Castlereagh","Outside London","400","385","27540","24890"
"In post","2021","Northern Ireland","Northern Ireland","Mid and East Antrim","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Northern Ireland","Newry, Mourne and Down","Outside London","65","60","21280","20310"
"In post","2021","Overseas","Overseas","Overseas","Overseas","3755","3740","49990","49760"
"In post","2021","Scotland","Eastern Scotland","Angus and Dundee City","Outside London","1900","1750","26230","22080"
"In post","2021","Scotland","Eastern Scotland","City of Edinburgh","Outside London","12800","12200","37390","32140"
"In post","2021","Scotland","Eastern Scotland","Clackmannanshire and Fife","Outside London","1350","1250","29960","27570"
"In post","2021","Scotland","Eastern Scotland","East Lothian and Midlothian","Outside London","110","105","27940","27570"
"In post","2021","Scotland","Eastern Scotland","Falkirk","Outside London","1815","1600","27580","27570"
"In post","2021","Scotland","Eastern Scotland","Perth and Kinross and Stirling","Outside London","1350","1265","30970","29140"
"In post","2021","Scotland","Eastern Scotland","West Lothian","Outside London","510","475","32720","27570"
"In post","2021","Scotland","Highlands and Islands","Caithness and Sutherland and Ross and Cromarty","Outside London","215","200","29320","27570"
"In post","2021","Scotland","Highlands and Islands","Inverness and Nairn and Moray, Badenoch and Strathspey","Outside London","1135","1070","29090","27570"
"In post","2021","Scotland","Highlands and Islands","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Outside London","330","310","28440","27570"
"In post","2021","Scotland","Highlands and Islands","Na h-Eileanan Siar","Outside London","175","160","25840","22230"
"In post","2021","Scotland","Highlands and Islands","Orkney Islands","Outside London","40","35","31750","29190"
"In post","2021","Scotland","Highlands and Islands","Shetland Islands","Outside London","60","55","30130","27570"
"In post","2021","Scotland","North Eastern Scotland","Aberdeen City and Aberdeenshire","Outside London","1865","1755","36180","30650"
"In post","2021","Scotland","Southern Scotland","Dumfries and Galloway","Outside London","565","520","29320","27570"
"In post","2021","Scotland","Southern Scotland","East Ayrshire and North Ayrshire mainland","Outside London","960","870","26710","26570"
"In post","2021","Scotland","Southern Scotland","Scottish Borders","Outside London","480","440","29450","27570"
"In post","2021","Scotland","Southern Scotland","South Ayrshire","Outside London","320","295","27970","27570"
"In post","2021","Scotland","Southern Scotland","South Lanarkshire","Outside London","3700","3315","30270","26120"
"In post","2021","Scotland","West Central Scotland","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Outside London","2420","2310","30550","27570"
"In post","2021","Scotland","West Central Scotland","Glasgow City","Outside London","11650","10850","31820","27570"
"In post","2021","Scotland","West Central Scotland","Inverclyde, East Renfrewshire and Renfrewshire","Outside London","1040","940","29630","27570"
"In post","2021","Scotland","West Central Scotland","North Lanarkshire","Outside London","2800","2450","26180","22820"
"In post","2021","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","2955","2820","34390","30890"
"In post","2021","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Outside London","1680","1600","32150","29750"
"In post","2021","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","2210","2115","32440","28550"
"In post","2021","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Outside London","2750","2585","32140","29530"
"In post","2021","South East (England)","Hampshire and Isle of Wight","Central Hampshire","Outside London","4185","4035","36180","33300"
"In post","2021","South East (England)","Hampshire and Isle of Wight","Isle of Wight","Outside London","900","825","27520","26810"
"In post","2021","South East (England)","Hampshire and Isle of Wight","North Hampshire","Outside London","1020","970","32770","27570"
"In post","2021","South East (England)","Hampshire and Isle of Wight","Portsmouth","Outside London","3910","3635","30590","27570"
"In post","2021","South East (England)","Hampshire and Isle of Wight","South Hampshire","Outside London","4055","3520","30010","27570"
"In post","2021","South East (England)","Hampshire and Isle of Wight","Southampton","Outside London","1285","1185","32820","27570"
"In post","2021","South East (England)","Kent","East Kent","Outside London","4230","3895","28190","26670"
"In post","2021","South East (England)","Kent","Kent Thames Gateway","Outside London","1605","1525","30150","30400"
"In post","2021","South East (England)","Kent","Medway","Outside London","1410","1345","31050","29750"
"In post","2021","South East (England)","Kent","Mid Kent","Outside London","880","825","30270","29290"
"In post","2021","South East (England)","Kent","West Kent","Outside London","400","375","36460","37320"
"In post","2021","South East (England)","Surrey, East and West Sussex","Brighton and Hove","Outside London","655","590","30600","27570"
"In post","2021","South East (England)","Surrey, East and West Sussex","East Surrey","Outside London","990","935","33430","33590"
"In post","2021","South East (England)","Surrey, East and West Sussex","East Sussex CC","Outside London","1995","1795","26810","27570"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Surrey","Outside London","2115","1990","32810","29290"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Sussex (North East)","Outside London","1235","1100","30730","27570"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Sussex (South West)","Outside London","1315","1195","30150","27570"
"In post","2021","South West (England)","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","1645","1500","26590","26670"
"In post","2021","South West (England)","Devon","Devon CC","Outside London","5575","5115","31680","27570"
"In post","2021","South West (England)","Devon","Plymouth","Outside London","3105","2890","31160","27570"
"In post","2021","South West (England)","Devon","Torbay","Outside London","335","285","25900","26120"
"In post","2021","South West (England)","Dorset and Somerset","Bournemouth and Poole","Outside London","715","640","26860","27370"
"In post","2021","South West (England)","Dorset and Somerset","Dorset CC","Outside London","2140","2010","29140","27130"
"In post","2021","South West (England)","Dorset and Somerset","Somerset","Outside London","2350","2185","30960","27570"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","13355","12825","37750","34370"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Outside London","6610","6135","35860","31810"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","Outside London","1400","1260","29260","27570"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","Outside London","470","440","32310","27570"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Outside London","7480","7170","36300","33300"
"In post","2021","Unknown","Unknown","Unknown","Unknown","3730","3645","35670","32100"
"In post","2021","Wales","East Wales","Cardiff and Vale of Glamorgan","Outside London","12065","11265","32950","27570"
"In post","2021","Wales","East Wales","Flintshire and Wrexham","Outside London","2155","2035","27810","26300"
"In post","2021","Wales","East Wales","Monmouthshire and Newport","Outside London","5605","5250","33790","29540"
"In post","2021","Wales","East Wales","Powys","Outside London","550","515","29070","27570"
"In post","2021","Wales","West Wales and The Valleys","Bridgend and Neath Port Talbot","Outside London","710","630","27110","27570"
"In post","2021","Wales","West Wales and The Valleys","Central Valleys","Outside London","1710","1590","34570","28850"
"In post","2021","Wales","West Wales and The Valleys","Conwy and Denbighshire","Outside London","685","640","35060","30210"
"In post","2021","Wales","West Wales and The Valleys","Gwent Valleys","Outside London","1085","980","28350","27570"
"In post","2021","Wales","West Wales and The Valleys","Gwynedd","Outside London","745","680","25100","21050"
"In post","2021","Wales","West Wales and The Valleys","Isle of Anglesey","Outside London","245","235","27690","26670"
"In post","2021","Wales","West Wales and The Valleys","South West Wales","Outside London","1470","1360","30230","27570"
"In post","2021","Wales","West Wales and The Valleys","Swansea","Outside London","9070","8085","27290","21590"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","Outside London","435","420","27930","26670"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Warwickshire","Outside London","1300","1190","26820","24890"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Worcestershire","Outside London","2250","2125","28730","26780"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Shropshire CC","Outside London","1170","1110","29090","27570"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Staffordshire CC","Outside London","3965","3735","29880","27570"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Stoke-on-Trent","Outside London","1245","1115","25180","21170"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Telford and Wrekin","Outside London","1930","1780","33330","27570"
"In post","2021","West Midlands (England)","West Midlands","Birmingham","Outside London","11600","10800","31170","27570"
"In post","2021","West Midlands (England)","West Midlands","Coventry","Outside London","2425","2295","36870","32300"
"In post","2021","West Midlands (England)","West Midlands","Dudley","Outside London","1145","990","25080","26080"
"In post","2021","West Midlands (England)","West Midlands","Sandwell","Outside London","440","405","27170","27570"
"In post","2021","West Midlands (England)","West Midlands","Solihull","Outside London","1105","1020","28910","26620"
"In post","2021","West Midlands (England)","West Midlands","Walsall","Outside London","605","525","25100","26120"
"In post","2021","West Midlands (England)","West Midlands","Wolverhampton","Outside London","885","770","24990","26110"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Outside London","1890","1785","28640","26810"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Outside London","2005","1800","27990","27130"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","Outside London","810","725","25790","26470"
"In post","2021","Yorkshire and The Humber","North Yorkshire","North Yorkshire CC","Outside London","1935","1830","29610","27570"
"In post","2021","Yorkshire and The Humber","North Yorkshire","York","Outside London","2790","2640","36200","31710"
"In post","2021","Yorkshire and The Humber","South Yorkshire","Barnsley, Doncaster and Rotherham","Outside London","2995","2670","27170","27150"
"In post","2021","Yorkshire and The Humber","South Yorkshire","Sheffield","Outside London","6935","6400","33200","29360"
"In post","2021","Yorkshire and The Humber","West Yorkshire","Bradford","Outside London","3100","2745","27200","25560"
"In post","2021","Yorkshire and The Humber","West Yorkshire","Calderdale and Kirklees","Outside London","1055","940","27030","27570"
"In post","2021","Yorkshire and The Humber","West Yorkshire","Leeds","Outside London","11410","10740","33110","28790"
"In post","2021","Yorkshire and The Humber","West Yorkshire","Wakefield","Outside London","1680","1545","30270","27570"
"Leaver CS","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Derby","Outside London","60","[c]","23820","21010"
"Leaver CS","2021","East Midlands (England)","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","25","[c]","23980","21010"
"Leaver CS","2021","East Midlands (England)","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","65","[c]","30690","27570"
"Leaver CS","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Nottingham","Outside London","375","[c]","27620","24000"
"Leaver CS","2021","East Midlands (England)","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","55","[c]","30170","27570"
"Leaver CS","2021","East Midlands (England)","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","50","[c]","28280","26910"
"Leaver CS","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicester","Outside London","175","[c]","26090","22350"
"Leaver CS","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","Outside London","170","[c]","27790","26500"
"Leaver CS","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","Outside London","35","[c]","24610","25080"
"Leaver CS","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","Outside London","255","[c]","23380","20100"
"Leaver CS","2021","East Midlands (England)","Lincolnshire","Lincolnshire","Outside London","325","[c]","29040","28000"
"Leaver CS","2021","East of England","Bedfordshire and Hertfordshire","Bedford","Outside London","85","[c]","31870","26890"
"Leaver CS","2021","East of England","Bedfordshire and Hertfordshire","Central Bedfordshire","Outside London","15","[c]","25980","26670"
"Leaver CS","2021","East of England","Bedfordshire and Hertfordshire","Hertfordshire","Outside London","255","[c]","32230","29290"
"Leaver CS","2021","East of England","Bedfordshire and Hertfordshire","Luton","Outside London","115","[c]","22400","21010"
"Leaver CS","2021","East of England","East Anglia","Breckland and South Norfolk","Outside London","70","[c]","36770","33260"
"Leaver CS","2021","East of England","East Anglia","Cambridgeshire CC","Outside London","205","[c]","38510","31150"
"Leaver CS","2021","East of England","East Anglia","North and West Norfolk","Outside London","45","[c]","25740","21580"
"Leaver CS","2021","East of England","East Anglia","Norwich and East Norfolk","Outside London","130","[c]","27300","21130"
"Leaver CS","2021","East of England","East Anglia","Peterborough","Outside London","200","[c]","25430","21430"
"Leaver CS","2021","East of England","East Anglia","Suffolk","Outside London","345","[c]","28430","26220"
"Leaver CS","2021","East of England","Essex","Essex Haven Gateway","Outside London","85","[c]","31450","28330"
"Leaver CS","2021","East of England","Essex","Essex Thames Gateway","Outside London","55","[c]","25820","24180"
"Leaver CS","2021","East of England","Essex","Heart of Essex","Outside London","75","[c]","30820","24590"
"Leaver CS","2021","East of England","Essex","Southend-on-Sea","Outside London","80","[c]","25530","24340"
"Leaver CS","2021","East of England","Essex","Thurrock","Outside London","10","[c]","25150","25970"
"Leaver CS","2021","East of England","Essex","West Essex","Outside London","35","[c]","29510","29290"
"Leaver CS","2021","London","Inner London - East","Hackney and Newham","London","95","[c]","29490","29440"
"Leaver CS","2021","London","Inner London - East","Haringey and Islington","London","100","[c]","25590","24800"
"Leaver CS","2021","London","Inner London - East","Lambeth","London","255","[c]","44460","39270"
"Leaver CS","2021","London","Inner London - East","Lewisham and Southwark","London","110","[c]","33780","31060"
"Leaver CS","2021","London","Inner London - East","Tower Hamlets","London","460","[c]","46180","40150"
"Leaver CS","2021","London","Inner London - West","Camden and City of London","London","430","[c]","36000","26410"
"Leaver CS","2021","London","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","London","70","[c]","33930","31060"
"Leaver CS","2021","London","Inner London - West","Wandsworth","London","85","[c]","26000","25110"
"Leaver CS","2021","London","Inner London - West","Westminster","London","2495","[c]","45000","38700"
"Leaver CS","2021","London","Outer London - East and North East","Barking & Dagenham and Havering","London","30","[c]","30280","31060"
"Leaver CS","2021","London","Outer London - East and North East","Bexley and Greenwich","London","130","[c]","30220","30780"
"Leaver CS","2021","London","Outer London - East and North East","Enfield","London","20","[c]","26680","25110"
"Leaver CS","2021","London","Outer London - East and North East","Redbridge and Waltham Forest","London","40","[c]","29400","31060"
"Leaver CS","2021","London","Outer London - South","Bromley","London","30","[c]","29380","30250"
"Leaver CS","2021","London","Outer London - South","Croydon","London","370","[c]","36490","29810"
"Leaver CS","2021","London","Outer London - South","Merton, Kingston upon Thames and Sutton","London","35","[c]","28580","30140"
"Leaver CS","2021","London","Outer London - West and North West","Barnet","London","145","[c]","38340","32330"
"Leaver CS","2021","London","Outer London - West and North West","Brent","London","30","[c]","29630","29160"
"Leaver CS","2021","London","Outer London - West and North West","Ealing","London","110","[c]","30410","31060"
"Leaver CS","2021","London","Outer London - West and North West","Harrow and Hillingdon","London","130","[c]","31300","29730"
"Leaver CS","2021","London","Outer London - West and North West","Hounslow and Richmond upon Thames","London","145","[c]","29390","28040"
"Leaver CS","2021","North East (England)","Northumberland and Tyne and Wear","Northumberland","Outside London","25","[c]","27390","21010"
"Leaver CS","2021","North East (England)","Northumberland and Tyne and Wear","Sunderland","Outside London","235","[c]","24250","23010"
"Leaver CS","2021","North East (England)","Northumberland and Tyne and Wear","Tyneside","Outside London","805","[c]","26830","21010"
"Leaver CS","2021","North East (England)","Tees Valley and Durham","Darlington","Outside London","40","[c]","35580","36070"
"Leaver CS","2021","North East (England)","Tees Valley and Durham","Durham CC","Outside London","285","[c]","25290","21430"
"Leaver CS","2021","North East (England)","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","Outside London","245","[c]","26330","21010"
"Leaver CS","2021","North East (England)","Tees Valley and Durham","South Teesside","Outside London","40","[c]","26160","26250"
"Leaver CS","2021","North West (England)","Cheshire","Cheshire East","Outside London","65","[c]","29380","26500"
"Leaver CS","2021","North West (England)","Cheshire","Cheshire West and Chester","Outside London","15","[c]","23420","21010"
"Leaver CS","2021","North West (England)","Cheshire","Warrington","Outside London","115","[c]","28910","26780"
"Leaver CS","2021","North West (England)","Cumbria","East Cumbria","Outside London","50","[c]","23830","21050"
"Leaver CS","2021","North West (England)","Cumbria","West Cumbria","Outside London","70","[c]","28540","25190"
"Leaver CS","2021","North West (England)","Greater Manchester","Greater Manchester North East","Outside London","85","[c]","26370","27570"
"Leaver CS","2021","North West (England)","Greater Manchester","Greater Manchester North West","Outside London","110","[c]","23600","21010"
"Leaver CS","2021","North West (England)","Greater Manchester","Greater Manchester South East","Outside London","90","[c]","25950","21010"
"Leaver CS","2021","North West (England)","Greater Manchester","Greater Manchester South West","Outside London","225","[c]","24480","21010"
"Leaver CS","2021","North West (England)","Greater Manchester","Manchester","Outside London","445","[c]","34910","27570"
"Leaver CS","2021","North West (England)","Lancashire","Blackburn with Darwen","Outside London","20","[c]","22980","21010"
"Leaver CS","2021","North West (England)","Lancashire","Blackpool","Outside London","265","[c]","26020","21010"
"Leaver CS","2021","North West (England)","Lancashire","Chorley and West Lancashire","Outside London","95","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Lancashire","East Lancashire","Outside London","25","[c]","23620","21010"
"Leaver CS","2021","North West (England)","Lancashire","Lancaster and Wyre","Outside London","65","[c]","27820","21570"
"Leaver CS","2021","North West (England)","Lancashire","Mid Lancashire","Outside London","255","[c]","26920","22350"
"Leaver CS","2021","North West (England)","Merseyside","East Merseyside","Outside London","50","[c]","24980","21590"
"Leaver CS","2021","North West (England)","Merseyside","Liverpool","Outside London","375","[c]","26350","23090"
"Leaver CS","2021","North West (England)","Merseyside","Sefton","Outside London","265","[c]","31900","27570"
"Leaver CS","2021","North West (England)","Merseyside","Wirral","Outside London","80","[c]","25450","22350"
"Leaver CS","2021","Northern Ireland","Northern Ireland","Antrim and Newtownabbey","Outside London","10","[c]","27190","22990"
"Leaver CS","2021","Northern Ireland","Northern Ireland","Ards and North Down","Outside London","10","[c]","29850","23390"
"Leaver CS","2021","Northern Ireland","Northern Ireland","Armagh City, Banbridge and Craigavon","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Northern Ireland","Belfast","Outside London","120","[c]","26690","21430"
"Leaver CS","2021","Northern Ireland","Northern Ireland","Causeway Coast and Glens","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Northern Ireland","Derry City and Strabane","Outside London","35","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Northern Ireland","Lisburn and Castlereagh","Outside London","20","[c]","30500","23820"
"Leaver CS","2021","Northern Ireland","Northern Ireland","Newry, Mourne and Down","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Overseas","Overseas","Overseas","135","[c]","42070","38290"
"Leaver CS","2021","Scotland","Eastern Scotland","Angus and Dundee City","Outside London","90","[c]","26240","21090"
"Leaver CS","2021","Scotland","Eastern Scotland","City of Edinburgh","Outside London","590","[c]","38200","32930"
"Leaver CS","2021","Scotland","Eastern Scotland","Clackmannanshire and Fife","Outside London","80","[c]","29410","27570"
"Leaver CS","2021","Scotland","Eastern Scotland","East Lothian and Midlothian","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Eastern Scotland","Falkirk","Outside London","65","[c]","28360","24570"
"Leaver CS","2021","Scotland","Eastern Scotland","Perth and Kinross and Stirling","Outside London","80","[c]","31410","30160"
"Leaver CS","2021","Scotland","Eastern Scotland","West Lothian","Outside London","210","[c]","31040","26120"
"Leaver CS","2021","Scotland","Highlands and Islands","Caithness and Sutherland and Ross and Cromarty","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Highlands and Islands","Inverness and Nairn and Moray, Badenoch and Strathspey","Outside London","60","[c]","29730","23490"
"Leaver CS","2021","Scotland","Highlands and Islands","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Outside London","15","[c]","27120","27570"
"Leaver CS","2021","Scotland","Highlands and Islands","Na h-Eileanan Siar","Outside London","[c]","[c]","[c]","[c]"
