"Status","Year","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","AO","Heterosexual / straight","145","140","22460","21590"
"In post","2021","Communications","AA/AO","AO","LGBO","10","10","[c]","[c]"
"In post","2021","Communications","AA/AO","AO","Undeclared","35","35","22140","21590"
"In post","2021","Communications","AA/AO","AO","Unknown","35","30","22380","21630"
"In post","2021","Communications","EO","EO","Heterosexual / straight","400","380","27420","26930"
"In post","2021","Communications","EO","EO","LGBO","25","25","[c]","[c]"
"In post","2021","Communications","EO","EO","Undeclared","45","45","27750","26930"
"In post","2021","Communications","EO","EO","Unknown","160","155","27450","27270"
"In post","2021","Communications","G6/G7","G6","Heterosexual / straight","155","150","67960","68700"
"In post","2021","Communications","G6/G7","G6","LGBO","15","15","[c]","[c]"
"In post","2021","Communications","G6/G7","G6","Undeclared","10","10","[c]","[c]"
"In post","2021","Communications","G6/G7","G6","Unknown","60","60","67590","66270"
"In post","2021","Communications","G6/G7","G7","Heterosexual / straight","445","425","54870","54420"
"In post","2021","Communications","G6/G7","G7","LGBO","35","35","55570","54540"
"In post","2021","Communications","G6/G7","G7","Undeclared","50","50","54050","54400"
"In post","2021","Communications","G6/G7","G7","Unknown","170","165","54380","53690"
"In post","2021","Communications","SCS level","SCS level","Heterosexual / straight","75","75","86670","81370"
"In post","2021","Communications","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS level","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS level","SCS level","Unknown","35","30","86730","79430"
"In post","2021","Communications","SEO/HEO","HEO","Heterosexual / straight","685","665","34480","33530"
"In post","2021","Communications","SEO/HEO","HEO","LGBO","50","50","33960","33170"
"In post","2021","Communications","SEO/HEO","HEO","Undeclared","90","90","35140","34450"
"In post","2021","Communications","SEO/HEO","HEO","Unknown","200","195","34090","33300"
"In post","2021","Communications","SEO/HEO","SEO","Heterosexual / straight","655","635","41430","40940"
"In post","2021","Communications","SEO/HEO","SEO","LGBO","60","60","42380","42240"
"In post","2021","Communications","SEO/HEO","SEO","Undeclared","70","65","42650","42050"
"In post","2021","Communications","SEO/HEO","SEO","Unknown","215","210","41440","41000"
"In post","2021","Communications","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","AO","Unknown","5","5","[c]","[c]"
"In post","2021","Corporate Finance","EO","EO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Corporate Finance","EO","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","G7","Heterosexual / straight","45","40","54130","54110"
"In post","2021","Corporate Finance","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","G7","Unknown","10","10","[c]","[c]"
"In post","2021","Corporate Finance","SCS level","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Corporate Finance","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","SEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","SEO","Unknown","5","5","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","AO","Heterosexual / straight","30","30","21620","21430"
"In post","2021","Counter Fraud","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","EO","Heterosexual / straight","140","130","26450","25580"
"In post","2021","Counter Fraud","EO","EO","LGBO","10","10","[c]","[c]"
"In post","2021","Counter Fraud","EO","EO","Undeclared","15","15","[c]","[c]"
"In post","2021","Counter Fraud","EO","EO","Unknown","25","25","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","G6","Heterosexual / straight","30","30","70040","68260"
"In post","2021","Counter Fraud","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","G6","Unknown","10","10","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","G7","Heterosexual / straight","45","45","56540","57670"
"In post","2021","Counter Fraud","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","G7","Unknown","20","20","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","HEO","Heterosexual / straight","195","185","34320","34010"
"In post","2021","Counter Fraud","SEO/HEO","HEO","LGBO","15","15","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","HEO","Undeclared","20","20","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","HEO","Unknown","95","90","35820","35070"
"In post","2021","Counter Fraud","SEO/HEO","SEO","Heterosexual / straight","135","130","41870","41080"
"In post","2021","Counter Fraud","SEO/HEO","SEO","LGBO","5","5","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","SEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","SEO","Unknown","50","45","42820","42020"
"In post","2021","Digital, Data and Technology","AA/AO","AA","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","AA","Unknown","30","25","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","AO","Heterosexual / straight","240","230","22160","21580"
"In post","2021","Digital, Data and Technology","AA/AO","AO","LGBO","20","20","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","AO","Undeclared","45","45","22250","21590"
"In post","2021","Digital, Data and Technology","AA/AO","AO","Unknown","85","80","22140","21590"
"In post","2021","Digital, Data and Technology","EO","EO","Heterosexual / straight","1335","1285","27550","26670"
"In post","2021","Digital, Data and Technology","EO","EO","LGBO","85","85","26870","26350"
"In post","2021","Digital, Data and Technology","EO","EO","Undeclared","245","235","28320","27940"
"In post","2021","Digital, Data and Technology","EO","EO","Unknown","555","540","27110","26370"
"In post","2021","Digital, Data and Technology","G6/G7","G6","Heterosexual / straight","455","445","68240","67000"
"In post","2021","Digital, Data and Technology","G6/G7","G6","LGBO","25","25","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","G6","Undeclared","60","60","68090","68230"
"In post","2021","Digital, Data and Technology","G6/G7","G6","Unknown","165","165","68020","66230"
"In post","2021","Digital, Data and Technology","G6/G7","G7","Heterosexual / straight","1750","1715","55860","54190"
"In post","2021","Digital, Data and Technology","G6/G7","G7","LGBO","110","105","56570","55100"
"In post","2021","Digital, Data and Technology","G6/G7","G7","Undeclared","255","250","56820","55370"
"In post","2021","Digital, Data and Technology","G6/G7","G7","Unknown","645","635","55150","53210"
"In post","2021","Digital, Data and Technology","SCS level","SCS level","Heterosexual / straight","165","165","92200","85350"
"In post","2021","Digital, Data and Technology","SCS level","SCS level","LGBO","10","10","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS level","SCS level","Undeclared","10","5","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS level","SCS level","Unknown","40","40","88680","85000"
"In post","2021","Digital, Data and Technology","SEO/HEO","HEO","Heterosexual / straight","2045","1970","33720","33290"
"In post","2021","Digital, Data and Technology","SEO/HEO","HEO","LGBO","120","120","32880","31810"
"In post","2021","Digital, Data and Technology","SEO/HEO","HEO","Undeclared","355","340","34130","33300"
"In post","2021","Digital, Data and Technology","SEO/HEO","HEO","Unknown","860","840","33470","32790"
"In post","2021","Digital, Data and Technology","SEO/HEO","SEO","Heterosexual / straight","2220","2170","41860","41230"
"In post","2021","Digital, Data and Technology","SEO/HEO","SEO","LGBO","120","115","40260","39120"
"In post","2021","Digital, Data and Technology","SEO/HEO","SEO","Undeclared","355","345","42470","42220"
"In post","2021","Digital, Data and Technology","SEO/HEO","SEO","Unknown","800","790","41140","40430"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","Heterosexual / straight","45","45","38100","38050"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","Undeclared","10","5","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Economics","AA/AO","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","AO","Heterosexual / straight","50","50","23030","23300"
"In post","2021","Economics","AA/AO","AO","LGBO","5","5","[c]","[c]"
"In post","2021","Economics","AA/AO","AO","Undeclared","10","10","[c]","[c]"
"In post","2021","Economics","AA/AO","AO","Unknown","25","25","[c]","[c]"
"In post","2021","Economics","EO","EO","Heterosexual / straight","70","70","27320","27680"
"In post","2021","Economics","EO","EO","LGBO","10","10","[c]","[c]"
"In post","2021","Economics","EO","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","Economics","EO","EO","Unknown","35","35","26660","26330"
"In post","2021","Economics","G6/G7","G6","Heterosexual / straight","165","160","69760","69240"
"In post","2021","Economics","G6/G7","G6","LGBO","10","10","[c]","[c]"
"In post","2021","Economics","G6/G7","G6","Undeclared","15","15","[c]","[c]"
"In post","2021","Economics","G6/G7","G6","Unknown","45","45","71380","68960"
"In post","2021","Economics","G6/G7","G7","Heterosexual / straight","460","450","56090","55840"
"In post","2021","Economics","G6/G7","G7","LGBO","40","40","56100","56620"
"In post","2021","Economics","G6/G7","G7","Undeclared","55","55","57280","57850"
"In post","2021","Economics","G6/G7","G7","Unknown","150","145","55480","54760"
"In post","2021","Economics","SCS level","SCS level","Heterosexual / straight","70","65","87430","81750"
"In post","2021","Economics","SCS level","SCS level","LGBO","5","5","[c]","[c]"
"In post","2021","Economics","SCS level","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS level","SCS level","Unknown","15","15","[c]","[c]"
"In post","2021","Economics","SEO/HEO","HEO","Heterosexual / straight","485","480","33750","33620"
"In post","2021","Economics","SEO/HEO","HEO","LGBO","50","50","33600","33880"
"In post","2021","Economics","SEO/HEO","HEO","Undeclared","60","55","34580","34200"
"In post","2021","Economics","SEO/HEO","HEO","Unknown","180","180","33920","33120"
"In post","2021","Economics","SEO/HEO","SEO","Heterosexual / straight","90","85","41290","41950"
"In post","2021","Economics","SEO/HEO","SEO","LGBO","5","5","[c]","[c]"
"In post","2021","Economics","SEO/HEO","SEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Economics","SEO/HEO","SEO","Unknown","30","30","39450","40130"
"In post","2021","Economics","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","AA","Heterosexual / straight","40","30","19750","20070"
"In post","2021","Finance","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","AA","Undeclared","10","5","[c]","[c]"
"In post","2021","Finance","AA/AO","AA","Unknown","30","25","[c]","[c]"
"In post","2021","Finance","AA/AO","AO","Heterosexual / straight","680","585","21640","21440"
"In post","2021","Finance","AA/AO","AO","LGBO","20","20","[c]","[c]"
"In post","2021","Finance","AA/AO","AO","Undeclared","115","95","21730","21440"
"In post","2021","Finance","AA/AO","AO","Unknown","270","225","21190","20920"
"In post","2021","Finance","EO","EO","Heterosexual / straight","1225","1155","26510","26670"
"In post","2021","Finance","EO","EO","LGBO","35","35","25840","25620"
"In post","2021","Finance","EO","EO","Undeclared","155","145","27300","26930"
"In post","2021","Finance","EO","EO","Unknown","210","205","26470","26350"
"In post","2021","Finance","G6/G7","G6","Heterosexual / straight","435","425","68070","67480"
"In post","2021","Finance","G6/G7","G6","LGBO","20","20","[c]","[c]"
"In post","2021","Finance","G6/G7","G6","Undeclared","55","55","67660","67370"
"In post","2021","Finance","G6/G7","G6","Unknown","85","80","68100","67220"
"In post","2021","Finance","G6/G7","G7","Heterosexual / straight","1105","1080","55760","55080"
"In post","2021","Finance","G6/G7","G7","LGBO","60","60","55250","54620"
"In post","2021","Finance","G6/G7","G7","Undeclared","160","160","57140","56800"
"In post","2021","Finance","G6/G7","G7","Unknown","220","215","54260","53040"
"In post","2021","Finance","SCS level","SCS level","Heterosexual / straight","220","215","90840","83860"
"In post","2021","Finance","SCS level","SCS level","LGBO","15","15","[c]","[c]"
"In post","2021","Finance","SCS level","SCS level","Undeclared","20","20","[c]","[c]"
"In post","2021","Finance","SCS level","SCS level","Unknown","25","25","[c]","[c]"
"In post","2021","Finance","SEO/HEO","HEO","Heterosexual / straight","1355","1300","33600","33300"
"In post","2021","Finance","SEO/HEO","HEO","LGBO","45","45","32590","31810"
"In post","2021","Finance","SEO/HEO","HEO","Undeclared","190","180","34460","33350"
"In post","2021","Finance","SEO/HEO","HEO","Unknown","310","305","33190","32790"
"In post","2021","Finance","SEO/HEO","SEO","Heterosexual / straight","1405","1360","42040","41090"
"In post","2021","Finance","SEO/HEO","SEO","LGBO","50","50","40920","40610"
"In post","2021","Finance","SEO/HEO","SEO","Undeclared","185","180","42960","42520"
"In post","2021","Finance","SEO/HEO","SEO","Unknown","270","265","41060","40620"
"In post","2021","Finance","Unknown","Unknown","Heterosexual / straight","115","110","41410","39860"
"In post","2021","Finance","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Human Resources","AA/AO","AA","Heterosexual / straight","50","45","19930","19560"
"In post","2021","Human Resources","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","AA","Undeclared","10","10","[c]","[c]"
"In post","2021","Human Resources","AA/AO","AA","Unknown","10","10","[c]","[c]"
"In post","2021","Human Resources","AA/AO","AO","Heterosexual / straight","865","785","21810","21130"
"In post","2021","Human Resources","AA/AO","AO","LGBO","40","40","21880","21130"
"In post","2021","Human Resources","AA/AO","AO","Undeclared","115","105","21650","21440"
"In post","2021","Human Resources","AA/AO","AO","Unknown","120","115","21560","21010"
"In post","2021","Human Resources","EO","EO","Heterosexual / straight","1020","955","27040","26670"
"In post","2021","Human Resources","EO","EO","LGBO","50","50","26680","26840"
"In post","2021","Human Resources","EO","EO","Undeclared","115","110","28040","27380"
"In post","2021","Human Resources","EO","EO","Unknown","195","185","27070","26930"
"In post","2021","Human Resources","G6/G7","G6","Heterosexual / straight","355","345","67360","66230"
"In post","2021","Human Resources","G6/G7","G6","LGBO","25","25","[c]","[c]"
"In post","2021","Human Resources","G6/G7","G6","Undeclared","15","15","[c]","[c]"
"In post","2021","Human Resources","G6/G7","G6","Unknown","40","40","65950","65200"
"In post","2021","Human Resources","G6/G7","G7","Heterosexual / straight","950","915","55100","54540"
"In post","2021","Human Resources","G6/G7","G7","LGBO","70","70","55730","55020"
"In post","2021","Human Resources","G6/G7","G7","Undeclared","75","75","56970","54600"
"In post","2021","Human Resources","G6/G7","G7","Unknown","130","130","54300","53350"
"In post","2021","Human Resources","SCS level","SCS level","Heterosexual / straight","160","155","89900","84030"
"In post","2021","Human Resources","SCS level","SCS level","LGBO","15","15","[c]","[c]"
"In post","2021","Human Resources","SCS level","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2021","Human Resources","SCS level","SCS level","Unknown","10","10","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","HEO","Heterosexual / straight","1450","1380","33050","33010"
"In post","2021","Human Resources","SEO/HEO","HEO","LGBO","90","85","32570","32000"
"In post","2021","Human Resources","SEO/HEO","HEO","Undeclared","150","140","33750","33300"
"In post","2021","Human Resources","SEO/HEO","HEO","Unknown","240","225","33100","32730"
"In post","2021","Human Resources","SEO/HEO","SEO","Heterosexual / straight","1120","1070","41960","41060"
"In post","2021","Human Resources","SEO/HEO","SEO","LGBO","65","60","42280","42200"
"In post","2021","Human Resources","SEO/HEO","SEO","Undeclared","115","110","43000","42170"
"In post","2021","Human Resources","SEO/HEO","SEO","Unknown","150","145","40090","39320"
"In post","2021","Human Resources","Unknown","Unknown","Heterosexual / straight","35","35","42500","41560"
"In post","2021","Human Resources","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","G6/G7","G6","Heterosexual / straight","120","115","80460","85550"
"In post","2021","Inspector of Education and Training","G6/G7","G6","LGBO","10","10","[c]","[c]"
"In post","2021","Inspector of Education and Training","G6/G7","G6","Undeclared","10","10","[c]","[c]"
"In post","2021","Inspector of Education and Training","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","G6/G7","G7","Heterosexual / straight","310","305","73480","75500"
"In post","2021","Inspector of Education and Training","G6/G7","G7","LGBO","30","30","[c]","[c]"
"In post","2021","Inspector of Education and Training","G6/G7","G7","Undeclared","20","20","[c]","[c]"
"In post","2021","Inspector of Education and Training","G6/G7","G7","Unknown","10","10","[c]","[c]"
"In post","2021","Inspector of Education and Training","SCS level","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Inspector of Education and Training","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SCS level","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SEO/HEO","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SEO/HEO","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SEO/HEO","SEO","Heterosexual / straight","285","275","51120","51360"
"In post","2021","Inspector of Education and Training","SEO/HEO","SEO","LGBO","15","15","[c]","[c]"
"In post","2021","Inspector of Education and Training","SEO/HEO","SEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Inspector of Education and Training","SEO/HEO","SEO","Unknown","25","25","[c]","[c]"
"In post","2021","Intelligence Analysis","AA/AO","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","AA/AO","AO","Heterosexual / straight","105","95","23070","21580"
"In post","2021","Intelligence Analysis","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","AA/AO","AO","Undeclared","15","15","[c]","[c]"
"In post","2021","Intelligence Analysis","AA/AO","AO","Unknown","5","5","[c]","[c]"
"In post","2021","Intelligence Analysis","EO","EO","Heterosexual / straight","1185","1120","27730","27370"
"In post","2021","Intelligence Analysis","EO","EO","LGBO","60","55","27270","26880"
"In post","2021","Intelligence Analysis","EO","EO","Undeclared","200","185","28000","27370"
"In post","2021","Intelligence Analysis","EO","EO","Unknown","120","115","28340","27380"
"In post","2021","Intelligence Analysis","G6/G7","G6","Heterosexual / straight","50","45","67540","68200"
"In post","2021","Intelligence Analysis","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","G6/G7","G6","Undeclared","5","5","[c]","[c]"
"In post","2021","Intelligence Analysis","G6/G7","G6","Unknown","45","40","66410","66230"
"In post","2021","Intelligence Analysis","G6/G7","G7","Heterosexual / straight","190","185","56110","55680"
"In post","2021","Intelligence Analysis","G6/G7","G7","LGBO","10","10","[c]","[c]"
"In post","2021","Intelligence Analysis","G6/G7","G7","Undeclared","30","30","[c]","[c]"
"In post","2021","Intelligence Analysis","G6/G7","G7","Unknown","85","80","53780","53360"
"In post","2021","Intelligence Analysis","SCS level","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Intelligence Analysis","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","SCS level","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","SCS level","SCS level","Unknown","5","5","[c]","[c]"
"In post","2021","Intelligence Analysis","SEO/HEO","HEO","Heterosexual / straight","610","595","34040","33300"
"In post","2021","Intelligence Analysis","SEO/HEO","HEO","LGBO","35","30","34410","34860"
"In post","2021","Intelligence Analysis","SEO/HEO","HEO","Undeclared","115","110","34640","34610"
"In post","2021","Intelligence Analysis","SEO/HEO","HEO","Unknown","80","80","34540","34170"
"In post","2021","Intelligence Analysis","SEO/HEO","SEO","Heterosexual / straight","315","310","42670","42410"
"In post","2021","Intelligence Analysis","SEO/HEO","SEO","LGBO","10","10","[c]","[c]"
"In post","2021","Intelligence Analysis","SEO/HEO","SEO","Undeclared","60","60","42000","41970"
"In post","2021","Intelligence Analysis","SEO/HEO","SEO","Unknown","40","40","42080","42200"
"In post","2021","Intelligence Analysis","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","AO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","AO","Unknown","5","5","[c]","[c]"
"In post","2021","Internal Audit","EO","EO","Heterosexual / straight","35","35","28220","26980"
"In post","2021","Internal Audit","EO","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","EO","Undeclared","10","10","[c]","[c]"
