"Status","Year","Function_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Debt","Male","Heterosexual / straight","880","845","23970","20640"
"In post","2021","Debt","Male","LGBO","90","85","23140","20140"
"In post","2021","Debt","Male","Undeclared","125","115","24640","21440"
"In post","2021","Debt","Male","Unknown","930","895","22410","20140"
"In post","2021","Debt","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Female","Heterosexual / straight","3060","2905","40610","37100"
"In post","2021","Digital, Data & Technology","Female","LGBO","230","225","39360","36530"
"In post","2021","Digital, Data & Technology","Female","Undeclared","435","415","40150","37170"
"In post","2021","Digital, Data & Technology","Female","Unknown","1265","1205","39870","37930"
"In post","2021","Digital, Data & Technology","Male","Heterosexual / straight","4860","4795","43010","38630"
"In post","2021","Digital, Data & Technology","Male","LGBO","290","285","43790","38650"
"In post","2021","Digital, Data & Technology","Male","Undeclared","790","775","41410","38630"
"In post","2021","Digital, Data & Technology","Male","Unknown","2655","2605","40970","38630"
"In post","2021","Digital, Data & Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Heterosexual / straight","3650","3375","37690","33300"
"In post","2021","Finance","Female","LGBO","110","105","38550","33050"
"In post","2021","Finance","Female","Undeclared","500","450","36470","32790"
"In post","2021","Finance","Female","Unknown","1025","930","33790","29920"
"In post","2021","Finance","Male","Heterosexual / straight","2785","2740","43480","39000"
"In post","2021","Finance","Male","LGBO","140","140","42860","38600"
"In post","2021","Finance","Male","Undeclared","370","360","42660","39800"
"In post","2021","Finance","Male","Unknown","825","800","37300","32790"
"In post","2021","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Female","Heterosexual / straight","470","400","26080","25100"
"In post","2021","Grants Management","Female","LGBO","35","30","25670","24920"
"In post","2021","Grants Management","Female","Undeclared","30","25","25430","25060"
"In post","2021","Grants Management","Female","Unknown","560","495","24160","21050"
"In post","2021","Grants Management","Male","Heterosexual / straight","325","315","27430","25360"
"In post","2021","Grants Management","Male","LGBO","20","20","[c]","[c]"
"In post","2021","Grants Management","Male","Undeclared","30","30","26390","25190"
"In post","2021","Grants Management","Male","Unknown","425","415","25090","21050"
"In post","2021","Grants Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Heterosexual / straight","5140","4800","37840","33300"
"In post","2021","Human Resources","Female","LGBO","200","195","37560","32150"
"In post","2021","Human Resources","Female","Undeclared","445","410","35230","31810"
"In post","2021","Human Resources","Female","Unknown","895","835","34540","31190"
"In post","2021","Human Resources","Male","Heterosexual / straight","1965","1930","39010","34240"
"In post","2021","Human Resources","Male","LGBO","255","250","41500","38350"
"In post","2021","Human Resources","Male","Undeclared","235","225","37110","32960"
"In post","2021","Human Resources","Male","Unknown","450","440","34580","31810"
"In post","2021","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","Heterosexual / straight","295","280","43600","41550"
"In post","2021","Internal Audit","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Internal Audit","Female","Undeclared","50","50","45450","41760"
"In post","2021","Internal Audit","Female","Unknown","30","25","[c]","[c]"
"In post","2021","Internal Audit","Male","Heterosexual / straight","290","285","49060","47170"
"In post","2021","Internal Audit","Male","LGBO","20","15","[c]","[c]"
"In post","2021","Internal Audit","Male","Undeclared","30","30","46600","43560"
"In post","2021","Internal Audit","Male","Unknown","30","30","43720","40580"
"In post","2021","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Heterosexual / straight","5895","5380","44210","43530"
"In post","2021","Legal","Female","LGBO","220","210","41720","33460"
"In post","2021","Legal","Female","Undeclared","1605","1430","33640","29350"
"In post","2021","Legal","Female","Unknown","1985","1750","45550","48830"
"In post","2021","Legal","Male","Heterosexual / straight","2945","2855","47900","49710"
"In post","2021","Legal","Male","LGBO","345","340","49360","51250"
"In post","2021","Legal","Male","Undeclared","775","735","36300","29350"
"In post","2021","Legal","Male","Unknown","1070","1040","49210","52640"
"In post","2021","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Female","Heterosexual / straight","64560","58750","32120","27960"
"In post","2021","No function","Female","LGBO","4205","4075","32230","29180"
"In post","2021","No function","Female","Undeclared","8380","7405","31240","27130"
"In post","2021","No function","Female","Unknown","22210","19995","29890","25790"
"In post","2021","No function","Male","Heterosexual / straight","52345","50590","35030","31650"
"In post","2021","No function","Male","LGBO","3745","3660","36300","31810"
"In post","2021","No function","Male","Undeclared","7515","7155","35240","31650"
"In post","2021","No function","Male","Unknown","21960","20955","32200","29320"
"In post","2021","No function","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Heterosexual / straight","9085","8600","39990","36500"
"In post","2021","Project Delivery","Female","LGBO","385","375","39150","35290"
"In post","2021","Project Delivery","Female","Undeclared","1095","1030","39460","35290"
"In post","2021","Project Delivery","Female","Unknown","2055","1940","40930","38600"
"In post","2021","Project Delivery","Male","Heterosexual / straight","11170","10980","42150","39800"
"In post","2021","Project Delivery","Male","LGBO","545","540","43410","38850"
"In post","2021","Project Delivery","Male","Undeclared","1830","1770","42040","40000"
"In post","2021","Project Delivery","Male","Unknown","2230","2195","42360","38910"
"In post","2021","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Heterosexual / straight","2545","2355","33380","31100"
"In post","2021","Property","Female","LGBO","95","90","32260","29560"
"In post","2021","Property","Female","Undeclared","345","315","34120","33140"
"In post","2021","Property","Female","Unknown","895","815","28840","25930"
"In post","2021","Property","Male","Heterosexual / straight","3355","3275","37270","33300"
"In post","2021","Property","Male","LGBO","130","130","36720","33000"
"In post","2021","Property","Male","Undeclared","515","500","38110","34770"
"In post","2021","Property","Male","Unknown","1430","1395","31940","28870"
"In post","2021","Property","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Female","Heterosexual / straight","1370","1315","32050","29250"
"In post","2021","Security","Female","LGBO","125","125","31240","27990"
"In post","2021","Security","Female","Undeclared","185","180","33180","33300"
"In post","2021","Security","Female","Unknown","380","365","31710","27700"
"In post","2021","Security","Male","Heterosexual / straight","4650","4570","30760","26670"
"In post","2021","Security","Male","LGBO","150","150","33690","31920"
"In post","2021","Security","Male","Undeclared","765","750","35240","39070"
"In post","2021","Security","Male","Unknown","1135","1125","31560","28890"
"In post","2021","Security","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Heterosexual / straight","68860","61490","30050","27570"
"In post","2021","Unknown","Female","LGBO","2790","2650","30170","27570"
"In post","2021","Unknown","Female","Undeclared","8360","7345","29670","27570"
"In post","2021","Unknown","Female","Unknown","18355","15575","28830","27570"
"In post","2021","Unknown","Male","Heterosexual / straight","45730","44200","32040","27570"
"In post","2021","Unknown","Male","LGBO","3325","3240","31490","27570"
"In post","2021","Unknown","Male","Undeclared","6555","6275","32390","27570"
"In post","2021","Unknown","Male","Unknown","12735","12275","32240","27570"
"In post","2021","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Heterosexual / straight","65","[c]","34850","29180"
"Leaver CS","2021","Analysis","Female","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Unknown","45","[c]","31730","26630"
"Leaver CS","2021","Analysis","Male","Heterosexual / straight","75","[c]","40950","34870"
"Leaver CS","2021","Analysis","Male","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Unknown","65","[c]","32590","28000"
"Leaver CS","2021","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Heterosexual / straight","65","[c]","39680","34440"
"Leaver CS","2021","Commercial","Female","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Unknown","40","[c]","56400","50700"
"Leaver CS","2021","Commercial","Male","Heterosexual / straight","80","[c]","44120","40020"
"Leaver CS","2021","Commercial","Male","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Unknown","45","[c]","67830","57710"
"Leaver CS","2021","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","Heterosexual / straight","70","[c]","36800","33840"
"Leaver CS","2021","Communications","Female","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","Unknown","45","[c]","36500","36430"
"Leaver CS","2021","Communications","Male","Heterosexual / straight","60","[c]","36750","30830"
"Leaver CS","2021","Communications","Male","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","Unknown","35","[c]","42170","35920"
"Leaver CS","2021","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Female","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Male","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Female","Heterosexual / straight","65","[c]","42760","38360"
"Leaver CS","2021","Digital, Data & Technology","Female","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Female","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Female","Unknown","50","[c]","39790","36180"
"Leaver CS","2021","Digital, Data & Technology","Male","Heterosexual / straight","145","[c]","43760","39600"
"Leaver CS","2021","Digital, Data & Technology","Male","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Male","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Male","Unknown","110","[c]","40880","38220"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","Heterosexual / straight","75","[c]","36260","32430"
"Leaver CS","2021","Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","Heterosexual / straight","75","[c]","45310","43520"
"Leaver CS","2021","Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Female","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Female","Unknown","45","[c]","24460","22800"
"Leaver CS","2021","Grants Management","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Male","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Male","Unknown","45","[c]","25490","21050"
"Leaver CS","2021","Grants Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","Heterosexual / straight","135","[c]","36820","31830"
"Leaver CS","2021","Human Resources","Female","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","Unknown","40","[c]","43260","39550"
"Leaver CS","2021","Human Resources","Male","Heterosexual / straight","80","[c]","41670","36860"
"Leaver CS","2021","Human Resources","Male","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Female","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Female","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Female","Heterosexual / straight","210","[c]","44710","46100"
"Leaver CS","2021","Legal","Female","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Female","Undeclared","85","[c]","32870","26550"
"Leaver CS","2021","Legal","Female","Unknown","90","[c]","47830","48830"
"Leaver CS","2021","Legal","Male","Heterosexual / straight","135","[c]","46720","48710"
"Leaver CS","2021","Legal","Male","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Male","Undeclared","65","[c]","36770","26550"
"Leaver CS","2021","Legal","Male","Unknown","65","[c]","49050","55000"
"Leaver CS","2021","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","Female","Heterosexual / straight","2555","[c]","30200","23500"
"Leaver CS","2021","No function","Female","LGBO","205","[c]","28270","21970"
"Leaver CS","2021","No function","Female","Undeclared","415","[c]","30160","23140"
"Leaver CS","2021","No function","Female","Unknown","1455","[c]","28920","22680"
"Leaver CS","2021","No function","Male","Heterosexual / straight","2425","[c]","35530","27910"
"Leaver CS","2021","No function","Male","LGBO","125","[c]","35390","26860"
"Leaver CS","2021","No function","Male","Undeclared","385","[c]","34470","29730"
"Leaver CS","2021","No function","Male","Unknown","1585","[c]","33210","26590"
"Leaver CS","2021","No function","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","Heterosexual / straight","195","[c]","35820","32430"
"Leaver CS","2021","Project Delivery","Female","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","Undeclared","30","[c]","32040","31790"
"Leaver CS","2021","Project Delivery","Female","Unknown","65","[c]","34780","30680"
"Leaver CS","2021","Project Delivery","Male","Heterosexual / straight","370","[c]","40660","37390"
"Leaver CS","2021","Project Delivery","Male","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Male","Undeclared","55","[c]","43460","40120"
"Leaver CS","2021","Project Delivery","Male","Unknown","100","[c]","33790","30160"
"Leaver CS","2021","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Female","Heterosexual / straight","90","[c]","30230","26000"
"Leaver CS","2021","Property","Female","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2021","Property","Female","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2021","Property","Female","Unknown","75","[c]","26920","23340"
"Leaver CS","2021","Property","Male","Heterosexual / straight","185","[c]","33810","32430"
"Leaver CS","2021","Property","Male","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2021","Property","Male","Undeclared","35","[c]","39580","39910"
"Leaver CS","2021","Property","Male","Unknown","140","[c]","28130","25500"
"Leaver CS","2021","Property","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Female","Heterosexual / straight","35","[c]","31410","26670"
"Leaver CS","2021","Security","Female","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Female","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2021","Security","Female","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2021","Security","Male","Heterosexual / straight","210","[c]","30070","26800"
"Leaver CS","2021","Security","Male","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2021","Security","Male","Undeclared","35","[c]","38290","39070"
"Leaver CS","2021","Security","Male","Unknown","100","[c]","28230","25680"
"Leaver CS","2021","Security","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Heterosexual / straight","2730","[c]","28710","26120"
"Leaver CS","2021","Unknown","Female","LGBO","130","[c]","30410","26890"
"Leaver CS","2021","Unknown","Female","Undeclared","340","[c]","29030","26890"
"Leaver CS","2021","Unknown","Female","Unknown","4920","[c]","28400","27570"
"Leaver CS","2021","Unknown","Male","Heterosexual / straight","2175","[c]","31260","27570"
"Leaver CS","2021","Unknown","Male","LGBO","140","[c]","30970","27570"
"Leaver CS","2021","Unknown","Male","Undeclared","355","[c]","32730","27570"
"Leaver CS","2021","Unknown","Male","Unknown","3360","[c]","31970","27570"
"Leaver CS","2021","Unknown","Unknown","Heterosexual / straight","45","[c]","42980","40010"
"Leaver CS","2021","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Unknown","45","[c]","49690","40990"
"Leaver Dept.","2021","Analysis","Female","Heterosexual / straight","95","[c]","40450","35020"
"Leaver Dept.","2021","Analysis","Female","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Female","Undeclared","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Female","Unknown","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Male","Heterosexual / straight","90","[c]","43440","39240"
"Leaver Dept.","2021","Analysis","Male","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Male","Undeclared","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Male","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Female","Heterosexual / straight","55","[c]","38940","38450"
"Leaver Dept.","2021","Commercial","Female","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Female","Unknown","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Male","Heterosexual / straight","40","[c]","41520","38060"
"Leaver Dept.","2021","Commercial","Male","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Male","Unknown","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Female","Heterosexual / straight","65","[c]","41050","38320"
"Leaver Dept.","2021","Communications","Female","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Female","Undeclared","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Female","Unknown","40","[c]","38680","35640"
"Leaver Dept.","2021","Communications","Male","Heterosexual / straight","50","[c]","47700","43920"
"Leaver Dept.","2021","Communications","Male","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Male","Undeclared","[c]","[c]","[c]","[c]"
