"Status","Year","Region_ITL1","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Northern Ireland","Outside London","AA/AO","1685","1560","20770","20310"
"In post","2021","Northern Ireland","Outside London","EO","980","920","26560","25560"
"In post","2021","Northern Ireland","Outside London","G6/G7","235","225","55880","52580"
"In post","2021","Northern Ireland","Outside London","SCS level","15","15","80880","74780"
"In post","2021","Northern Ireland","Outside London","SEO/HEO","900","865","34840","32060"
"In post","2021","Northern Ireland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Overseas","AA/AO","55","55","22460","23000"
"In post","2021","Overseas","Overseas","EO","280","275","28020","27370"
"In post","2021","Overseas","Overseas","G6/G7","1335","1330","59920","58030"
"In post","2021","Overseas","Overseas","SCS level","285","285","85970","77460"
"In post","2021","Overseas","Overseas","SEO/HEO","1545","1540","39920","36960"
"In post","2021","Overseas","Overseas","Unknown","255","255","39460","36710"
"In post","2021","Scotland","Outside London","AA/AO","16850","15245","22110","21010"
"In post","2021","Scotland","Outside London","EO","13555","12550","28240","27570"
"In post","2021","Scotland","Outside London","G6/G7","4645","4460","60860","61010"
"In post","2021","Scotland","Outside London","SCS level","330","325","88180","83230"
"In post","2021","Scotland","Outside London","SEO/HEO","12095","11525","37910","35810"
"In post","2021","Scotland","Outside London","Unknown","115","115","40140","41170"
"In post","2021","South East (England)","Outside London","AA/AO","14155","12880","24070","21580"
"In post","2021","South East (England)","Outside London","EO","12740","11800","28090","27570"
"In post","2021","South East (England)","Outside London","G6/G7","3380","3230","57210","54540"
"In post","2021","South East (England)","Outside London","SCS level","190","185","91620","89850"
"In post","2021","South East (England)","Outside London","SEO/HEO","9785","9370","36670","35530"
"In post","2021","South East (England)","Outside London","Unknown","1520","1400","30530","30210"
"In post","2021","South West (England)","Outside London","AA/AO","9400","8590","22160","21010"
"In post","2021","South West (England)","Outside London","EO","10580","9775","26480","27130"
"In post","2021","South West (England)","Outside London","G6/G7","6195","5945","56070","54540"
"In post","2021","South West (England)","Outside London","SCS level","345","335","96180","91000"
"In post","2021","South West (England)","Outside London","SEO/HEO","16170","15450","36300","35900"
"In post","2021","South West (England)","Outside London","Unknown","2500","2370","37340","33420"
"In post","2021","Unknown","Unknown","AA/AO","240","220","22240","21010"
"In post","2021","Unknown","Unknown","EO","590","555","28030","27570"
"In post","2021","Unknown","Unknown","G6/G7","200","190","57540","54700"
"In post","2021","Unknown","Unknown","SCS level","25","25","92980","77380"
"In post","2021","Unknown","Unknown","SEO/HEO","765","750","34170","32000"
"In post","2021","Unknown","Unknown","Unknown","1915","1910","37270","33570"
"In post","2021","Wales","Outside London","AA/AO","12930","11410","21230","21050"
"In post","2021","Wales","Outside London","EO","9420","8735","26980","27570"
"In post","2021","Wales","Outside London","G6/G7","3215","3090","58660","58160"
"In post","2021","Wales","Outside London","SCS level","305","295","87460","79870"
"In post","2021","Wales","Outside London","SEO/HEO","9115","8695","36900","37020"
"In post","2021","Wales","Outside London","Unknown","1105","1035","29850","28750"
"In post","2021","West Midlands (England)","Outside London","AA/AO","10350","9375","21860","21010"
"In post","2021","West Midlands (England)","Outside London","EO","9360","8620","27050","27570"
"In post","2021","West Midlands (England)","Outside London","G6/G7","2365","2280","57000","52790"
"In post","2021","West Midlands (England)","Outside London","SCS level","210","200","96130","88360"
"In post","2021","West Midlands (England)","Outside London","SEO/HEO","6800","6505","35950","34290"
"In post","2021","West Midlands (England)","Outside London","Unknown","1410","1295","29610","28200"
"In post","2021","Yorkshire and The Humber","Outside London","AA/AO","11670","10490","22410","21010"
"In post","2021","Yorkshire and The Humber","Outside London","EO","10515","9650","27120","27570"
"In post","2021","Yorkshire and The Humber","Outside London","G6/G7","3855","3685","56310","52770"
"In post","2021","Yorkshire and The Humber","Outside London","SCS level","280","270","85540","77850"
"In post","2021","Yorkshire and The Humber","Outside London","SEO/HEO","8960","8510","35210","34090"
"In post","2021","Yorkshire and The Humber","Outside London","Unknown","1335","1215","29780","30210"
"Leaver CS","2021","East Midlands (England)","Outside London","AA/AO","825","[c]","20350","20180"
"Leaver CS","2021","East Midlands (England)","Outside London","EO","405","[c]","27050","27490"
"Leaver CS","2021","East Midlands (England)","Outside London","G6/G7","55","[c]","58360","55610"
"Leaver CS","2021","East Midlands (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Outside London","SEO/HEO","250","[c]","35990","34290"
"Leaver CS","2021","East Midlands (England)","Outside London","Unknown","45","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Outside London","AA/AO","850","[c]","21710","21010"
"Leaver CS","2021","East of England","Outside London","EO","420","[c]","27470","27570"
"Leaver CS","2021","East of England","Outside London","G6/G7","90","[c]","60230","56820"
"Leaver CS","2021","East of England","Outside London","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Outside London","SEO/HEO","360","[c]","37810","35960"
"Leaver CS","2021","East of England","Outside London","Unknown","70","[c]","[c]","[c]"
"Leaver CS","2021","London","London","AA/AO","1270","[c]","22940","22790"
"Leaver CS","2021","London","London","EO","1155","[c]","28680","28950"
"Leaver CS","2021","London","London","G6/G7","1080","[c]","60870","58490"
"Leaver CS","2021","London","London","SCS level","265","[c]","98840","92480"
"Leaver CS","2021","London","London","SEO/HEO","1430","[c]","37660","37290"
"Leaver CS","2021","London","London","Unknown","130","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Outside London","AA/AO","1015","[c]","20530","21010"
"Leaver CS","2021","North East (England)","Outside London","EO","345","[c]","26840","27570"
"Leaver CS","2021","North East (England)","Outside London","G6/G7","70","[c]","57120","55610"
"Leaver CS","2021","North East (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Outside London","SEO/HEO","200","[c]","36800","36330"
"Leaver CS","2021","North East (England)","Outside London","Unknown","45","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Outside London","AA/AO","1400","[c]","20590","21010"
"Leaver CS","2021","North West (England)","Outside London","EO","680","[c]","26420","27240"
"Leaver CS","2021","North West (England)","Outside London","G6/G7","160","[c]","59920","57000"
"Leaver CS","2021","North West (England)","Outside London","SCS level","15","[c]","99450","104580"
"Leaver CS","2021","North West (England)","Outside London","SEO/HEO","390","[c]","36190","34550"
"Leaver CS","2021","North West (England)","Outside London","Unknown","120","[c]","39770","37850"
"Leaver CS","2021","Northern Ireland","Outside London","AA/AO","105","[c]","20610","21010"
"Leaver CS","2021","Northern Ireland","Outside London","EO","50","[c]","28050","27100"
"Leaver CS","2021","Northern Ireland","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Outside London","SEO/HEO","45","[c]","37480","37910"
"Leaver CS","2021","Overseas","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Overseas","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Overseas","G6/G7","25","[c]","63950","64220"
"Leaver CS","2021","Overseas","Overseas","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Overseas","SEO/HEO","85","[c]","37580","36960"
"Leaver CS","2021","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Outside London","AA/AO","1090","[c]","22450","21010"
"Leaver CS","2021","Scotland","Outside London","EO","580","[c]","28540","27570"
"Leaver CS","2021","Scotland","Outside London","G6/G7","175","[c]","63890","61010"
"Leaver CS","2021","Scotland","Outside London","SCS level","25","[c]","93490","83970"
"Leaver CS","2021","Scotland","Outside London","SEO/HEO","460","[c]","39370","38000"
"Leaver CS","2021","Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Outside London","AA/AO","1365","[c]","21550","21000"
"Leaver CS","2021","South East (England)","Outside London","EO","590","[c]","27660","27570"
"Leaver CS","2021","South East (England)","Outside London","G6/G7","140","[c]","59050","56220"
"Leaver CS","2021","South East (England)","Outside London","SCS level","15","[c]","94410","85320"
"Leaver CS","2021","South East (England)","Outside London","SEO/HEO","480","[c]","36600","36030"
"Leaver CS","2021","South East (England)","Outside London","Unknown","95","[c]","26080","25590"
"Leaver CS","2021","South West (England)","Outside London","AA/AO","860","[c]","20590","20840"
"Leaver CS","2021","South West (England)","Outside London","EO","530","[c]","25750","26670"
"Leaver CS","2021","South West (England)","Outside London","G6/G7","220","[c]","58000","55610"
"Leaver CS","2021","South West (England)","Outside London","SCS level","35","[c]","99870","99540"
"Leaver CS","2021","South West (England)","Outside London","SEO/HEO","725","[c]","36130","34880"
"Leaver CS","2021","South West (England)","Outside London","Unknown","95","[c]","38830","36390"
"Leaver CS","2021","Unknown","Unknown","AA/AO","50","[c]","20970","21010"
"Leaver CS","2021","Unknown","Unknown","EO","35","[c]","27660","27570"
"Leaver CS","2021","Unknown","Unknown","G6/G7","50","[c]","65790","61790"
"Leaver CS","2021","Unknown","Unknown","SCS level","20","[c]","106010","99170"
"Leaver CS","2021","Unknown","Unknown","SEO/HEO","55","[c]","33360","32000"
"Leaver CS","2021","Unknown","Unknown","Unknown","480","[c]","34870","32400"
"Leaver CS","2021","Wales","Outside London","AA/AO","1060","[c]","20460","21010"
"Leaver CS","2021","Wales","Outside London","EO","400","[c]","27530","27570"
"Leaver CS","2021","Wales","Outside London","G6/G7","120","[c]","60300","59320"
"Leaver CS","2021","Wales","Outside London","SCS level","25","[c]","86660","78460"
"Leaver CS","2021","Wales","Outside London","SEO/HEO","320","[c]","36930","37020"
"Leaver CS","2021","Wales","Outside London","Unknown","45","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Outside London","AA/AO","925","[c]","20450","20500"
"Leaver CS","2021","West Midlands (England)","Outside London","EO","420","[c]","26580","27130"
"Leaver CS","2021","West Midlands (England)","Outside London","G6/G7","125","[c]","62200","59220"
"Leaver CS","2021","West Midlands (England)","Outside London","SCS level","20","[c]","100620","92800"
"Leaver CS","2021","West Midlands (England)","Outside London","SEO/HEO","310","[c]","37290","36660"
"Leaver CS","2021","West Midlands (England)","Outside London","Unknown","70","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Outside London","AA/AO","1090","[c]","21000","21010"
"Leaver CS","2021","Yorkshire and The Humber","Outside London","EO","550","[c]","26790","27550"
"Leaver CS","2021","Yorkshire and The Humber","Outside London","G6/G7","190","[c]","59650","57400"
"Leaver CS","2021","Yorkshire and The Humber","Outside London","SCS level","15","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Outside London","SEO/HEO","420","[c]","36590","35340"
"Leaver CS","2021","Yorkshire and The Humber","Outside London","Unknown","70","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Outside London","AA/AO","105","[c]","19770","19570"
"Leaver Dept.","2021","East Midlands (England)","Outside London","EO","75","[c]","24370","24890"
"Leaver Dept.","2021","East Midlands (England)","Outside London","G6/G7","15","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Outside London","SEO/HEO","65","[c]","34920","33480"
"Leaver Dept.","2021","East Midlands (England)","Outside London","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Outside London","AA/AO","45","[c]","22740","21430"
"Leaver Dept.","2021","East of England","Outside London","EO","60","[c]","26480","26570"
"Leaver Dept.","2021","East of England","Outside London","G6/G7","20","[c]","51680","52360"
"Leaver Dept.","2021","East of England","Outside London","SEO/HEO","70","[c]","35300","34340"
"Leaver Dept.","2021","East of England","Outside London","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","London","London","AA/AO","230","[c]","23780","23530"
"Leaver Dept.","2021","London","London","EO","805","[c]","28490","28000"
"Leaver Dept.","2021","London","London","G6/G7","1620","[c]","57710","55650"
"Leaver Dept.","2021","London","London","SCS level","275","[c]","88390","79490"
"Leaver Dept.","2021","London","London","SEO/HEO","2305","[c]","36710","35400"
"Leaver Dept.","2021","London","London","Unknown","95","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Outside London","AA/AO","285","[c]","20880","21010"
"Leaver Dept.","2021","North East (England)","Outside London","EO","160","[c]","26360","27570"
"Leaver Dept.","2021","North East (England)","Outside London","G6/G7","20","[c]","56270","57110"
"Leaver Dept.","2021","North East (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Outside London","SEO/HEO","125","[c]","33330","32000"
"Leaver Dept.","2021","North East (England)","Outside London","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Outside London","AA/AO","395","[c]","20840","21010"
"Leaver Dept.","2021","North West (England)","Outside London","EO","325","[c]","26010","26650"
"Leaver Dept.","2021","North West (England)","Outside London","G6/G7","80","[c]","54900","52630"
"Leaver Dept.","2021","North West (England)","Outside London","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Outside London","SEO/HEO","235","[c]","34260","32830"
"Leaver Dept.","2021","North West (England)","Outside London","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","Outside London","AA/AO","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","Outside London","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","Outside London","G6/G7","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","Outside London","SEO/HEO","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Overseas","EO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Overseas","G6/G7","50","[c]","57070","54970"
"Leaver Dept.","2021","Overseas","Overseas","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Overseas","SEO/HEO","50","[c]","36480","36900"
"Leaver Dept.","2021","Scotland","Outside London","AA/AO","245","[c]","20900","20920"
"Leaver Dept.","2021","Scotland","Outside London","EO","190","[c]","26560","27570"
"Leaver Dept.","2021","Scotland","Outside London","G6/G7","45","[c]","56320","54450"
"Leaver Dept.","2021","Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Outside London","SEO/HEO","125","[c]","35540","35110"
"Leaver Dept.","2021","Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Outside London","AA/AO","140","[c]","21090","20650"
"Leaver Dept.","2021","South East (England)","Outside London","EO","100","[c]","27670","27570"
"Leaver Dept.","2021","South East (England)","Outside London","G6/G7","45","[c]","58500","56350"
"Leaver Dept.","2021","South East (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Outside London","SEO/HEO","125","[c]","34470","33300"
"Leaver Dept.","2021","South East (England)","Outside London","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2021","South West (England)","Outside London","AA/AO","105","[c]","20480","20920"
"Leaver Dept.","2021","South West (England)","Outside London","EO","180","[c]","24730","25780"
"Leaver Dept.","2021","South West (England)","Outside London","G6/G7","140","[c]","53940","53410"
"Leaver Dept.","2021","South West (England)","Outside London","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2021","South West (England)","Outside London","SEO/HEO","360","[c]","33340","32940"
"Leaver Dept.","2021","South West (England)","Outside London","Unknown","20","[c]","43060","34210"
"Leaver Dept.","2021","Unknown","Unknown","AA/AO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","EO","25","[c]","27610","27570"
"Leaver Dept.","2021","Unknown","Unknown","G6/G7","80","[c]","57600","54700"
"Leaver Dept.","2021","Unknown","Unknown","SCS level","15","[c]","81430","74420"
"Leaver Dept.","2021","Unknown","Unknown","SEO/HEO","570","[c]","31830","32000"
"Leaver Dept.","2021","Unknown","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales","Outside London","AA/AO","205","[c]","20590","21010"
"Leaver Dept.","2021","Wales","Outside London","EO","135","[c]","26240","26890"
"Leaver Dept.","2021","Wales","Outside London","G6/G7","60","[c]","55920","54460"
"Leaver Dept.","2021","Wales","Outside London","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales","Outside London","SEO/HEO","170","[c]","35750","36030"
"Leaver Dept.","2021","Wales","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","Outside London","AA/AO","220","[c]","20300","20020"
"Leaver Dept.","2021","West Midlands (England)","Outside London","EO","150","[c]","25010","24890"
"Leaver Dept.","2021","West Midlands (England)","Outside London","G6/G7","40","[c]","55800","53310"
"Leaver Dept.","2021","West Midlands (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","Outside London","SEO/HEO","110","[c]","33810","31990"
"Leaver Dept.","2021","West Midlands (England)","Outside London","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","Outside London","AA/AO","145","[c]","20500","21010"
"Leaver Dept.","2021","Yorkshire and The Humber","Outside London","EO","170","[c]","26390","26890"
"Leaver Dept.","2021","Yorkshire and The Humber","Outside London","G6/G7","80","[c]","54970","52250"
"Leaver Dept.","2021","Yorkshire and The Humber","Outside London","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","Outside London","SEO/HEO","225","[c]","34920","34450"
"Leaver Dept.","2021","Yorkshire and The Humber","Outside London","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Outside London","AA/AO","1050","[c]","20900","21010"
"New entrant CS","2021","East Midlands (England)","Outside London","EO","940","[c]","26880","27570"
"New entrant CS","2021","East Midlands (England)","Outside London","G6/G7","70","[c]","56690","52580"
"New entrant CS","2021","East Midlands (England)","Outside London","SCS level","5","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Outside London","SEO/HEO","290","[c]","34290","31810"
"New entrant CS","2021","East Midlands (England)","Outside London","Unknown","115","[c]","23240","22920"
"New entrant CS","2021","East of England","Outside London","AA/AO","1190","[c]","22520","21500"
"New entrant CS","2021","East of England","Outside London","EO","1265","[c]","27900","27570"
"New entrant CS","2021","East of England","Outside London","G6/G7","65","[c]","60550","54920"
"New entrant CS","2021","East of England","Outside London","SCS level","10","[c]","101680","107840"
"New entrant CS","2021","East of England","Outside London","SEO/HEO","300","[c]","34060","33000"
"New entrant CS","2021","East of England","Outside London","Unknown","190","[c]","21800","22920"
"New entrant CS","2021","London","London","AA/AO","2505","[c]","24220","24220"
"New entrant CS","2021","London","London","EO","4960","[c]","29520","31060"
"New entrant CS","2021","London","London","G6/G7","1845","[c]","58670","55710"
"New entrant CS","2021","London","London","SCS level","335","[c]","91150","82100"
"New entrant CS","2021","London","London","SEO/HEO","5200","[c]","35500","34550"
"New entrant CS","2021","London","London","Unknown","265","[c]","26420","26810"
"New entrant CS","2021","North East (England)","Outside London","AA/AO","1910","[c]","20830","21010"
"New entrant CS","2021","North East (England)","Outside London","EO","870","[c]","26300","25560"
"New entrant CS","2021","North East (England)","Outside London","G6/G7","85","[c]","54270","52220"
"New entrant CS","2021","North East (England)","Outside London","SCS level","5","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Outside London","SEO/HEO","315","[c]","33710","31990"
"New entrant CS","2021","North East (England)","Outside London","Unknown","75","[c]","23110","22920"
"New entrant CS","2021","North West (England)","Outside London","AA/AO","2855","[c]","20840","21010"
"New entrant CS","2021","North West (England)","Outside London","EO","1905","[c]","26940","27570"
"New entrant CS","2021","North West (England)","Outside London","G6/G7","290","[c]","55490","53000"
"New entrant CS","2021","North West (England)","Outside London","SCS level","25","[c]","93130","88000"
"New entrant CS","2021","North West (England)","Outside London","SEO/HEO","800","[c]","33950","31990"
"New entrant CS","2021","North West (England)","Outside London","Unknown","155","[c]","25330","22920"
"New entrant CS","2021","Northern Ireland","Outside London","AA/AO","225","[c]","20210","20140"
"New entrant CS","2021","Northern Ireland","Outside London","EO","85","[c]","26160","25560"
"New entrant CS","2021","Northern Ireland","Outside London","G6/G7","5","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland","Outside London","SEO/HEO","40","[c]","34680","32400"
"New entrant CS","2021","Overseas","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","Overseas","EO","10","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","Overseas","G6/G7","5","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","Overseas","SEO/HEO","25","[c]","36530","33150"
"New entrant CS","2021","Scotland","Outside London","AA/AO","2205","[c]","20790","20140"
"New entrant CS","2021","Scotland","Outside London","EO","1145","[c]","26590","27570"
"New entrant CS","2021","Scotland","Outside London","G6/G7","285","[c]","56130","52580"
"New entrant CS","2021","Scotland","Outside London","SCS level","20","[c]","98290","95930"
"New entrant CS","2021","Scotland","Outside London","SEO/HEO","820","[c]","34940","33550"
"New entrant CS","2021","Scotland","Outside London","Unknown","15","[c]","40230","34500"
"New entrant CS","2021","South East (England)","Outside London","AA/AO","2195","[c]","22870","21430"
"New entrant CS","2021","South East (England)","Outside London","EO","2245","[c]","27730","27570"
"New entrant CS","2021","South East (England)","Outside London","G6/G7","195","[c]","57960","53500"
"New entrant CS","2021","South East (England)","Outside London","SCS level","20","[c]","91130","90000"
"New entrant CS","2021","South East (England)","Outside London","SEO/HEO","720","[c]","34210","33000"
"New entrant CS","2021","South East (England)","Outside London","Unknown","245","[c]","23940","22920"
"New entrant CS","2021","South West (England)","Outside London","AA/AO","1625","[c]","21040","21010"
"New entrant CS","2021","South West (England)","Outside London","EO","1585","[c]","26110","27570"
"New entrant CS","2021","South West (England)","Outside London","G6/G7","290","[c]","56790","54000"
"New entrant CS","2021","South West (England)","Outside London","SCS level","30","[c]","92370","90000"
"New entrant CS","2021","South West (England)","Outside London","SEO/HEO","1170","[c]","34710","33290"
"New entrant CS","2021","South West (England)","Outside London","Unknown","265","[c]","29340","25000"
"New entrant CS","2021","Unknown","Unknown","AA/AO","110","[c]","21350","21010"
"New entrant CS","2021","Unknown","Unknown","EO","215","[c]","27510","27570"
"New entrant CS","2021","Unknown","Unknown","G6/G7","50","[c]","59820","54700"
"New entrant CS","2021","Unknown","Unknown","SCS level","20","[c]","98460","93010"
"New entrant CS","2021","Unknown","Unknown","SEO/HEO","180","[c]","32000","31990"
"New entrant CS","2021","Unknown","Unknown","Unknown","325","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Outside London","AA/AO","1540","[c]","20540","20600"
"New entrant CS","2021","Wales","Outside London","EO","710","[c]","26160","27570"
"New entrant CS","2021","Wales","Outside London","G6/G7","125","[c]","56240","52620"
"New entrant CS","2021","Wales","Outside London","SCS level","5","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Outside London","SEO/HEO","500","[c]","33980","31810"
"New entrant CS","2021","Wales","Outside London","Unknown","70","[c]","22160","22920"
"New entrant CS","2021","West Midlands (England)","Outside London","AA/AO","1380","[c]","20880","20880"
"New entrant CS","2021","West Midlands (England)","Outside London","EO","1195","[c]","26840","27570"
"New entrant CS","2021","West Midlands (England)","Outside London","G6/G7","175","[c]","56660","52580"
"New entrant CS","2021","West Midlands (England)","Outside London","SCS level","20","[c]","99630","90000"
"New entrant CS","2021","West Midlands (England)","Outside London","SEO/HEO","505","[c]","35270","35000"
"New entrant CS","2021","West Midlands (England)","Outside London","Unknown","175","[c]","22580","22920"
"New entrant CS","2021","Yorkshire and The Humber","Outside London","AA/AO","1775","[c]","21010","21010"
"New entrant CS","2021","Yorkshire and The Humber","Outside London","EO","1540","[c]","26760","27570"
"New entrant CS","2021","Yorkshire and The Humber","Outside London","G6/G7","280","[c]","55860","52580"
"New entrant CS","2021","Yorkshire and The Humber","Outside London","SCS level","25","[c]","84110","74500"
"New entrant CS","2021","Yorkshire and The Humber","Outside London","SEO/HEO","780","[c]","33070","31810"
"New entrant CS","2021","Yorkshire and The Humber","Outside London","Unknown","115","[c]","22460","22920"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","","",""
