"Status","Year","Disability","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared non-disabled","Legal","Overseas","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","No function","London","26300","25370","43590","38250"
"In post","2021","Declared non-disabled","No function","Outside London","85620","78965","30270","26810"
"In post","2021","Declared non-disabled","No function","Overseas","1335","1330","52450","53370"
"In post","2021","Declared non-disabled","No function","Unknown","120","115","43020","43710"
"In post","2021","Declared non-disabled","Project Delivery","London","3285","3195","53640","53380"
"In post","2021","Declared non-disabled","Project Delivery","Outside London","16010","15465","38640","36590"
"In post","2021","Declared non-disabled","Project Delivery","Overseas","390","390","55590","55620"
"In post","2021","Declared non-disabled","Project Delivery","Unknown","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Property","London","885","845","44300","37470"
"In post","2021","Declared non-disabled","Property","Outside London","5275","5015","33740","32100"
"In post","2021","Declared non-disabled","Property","Overseas","160","160","39470","37950"
"In post","2021","Declared non-disabled","Property","Unknown","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Security","London","685","675","42050","37940"
"In post","2021","Declared non-disabled","Security","Outside London","4530","4425","29680","26350"
"In post","2021","Declared non-disabled","Security","Overseas","95","95","40010","34450"
"In post","2021","Declared non-disabled","Security","Unknown","30","30","35820","34640"
"In post","2021","Declared non-disabled","Unknown","London","20255","19110","38240","31520"
"In post","2021","Declared non-disabled","Unknown","Outside London","100545","91395","28980","27570"
"In post","2021","Declared non-disabled","Unknown","Overseas","490","485","39130","33230"
"In post","2021","Declared non-disabled","Unknown","Unknown","770","715","30150","27570"
"In post","2021","Undeclared","Analysis","London","225","220","45570","42470"
"In post","2021","Undeclared","Analysis","Outside London","145","140","39330","37320"
"In post","2021","Undeclared","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","London","80","80","51640","46600"
"In post","2021","Undeclared","Commercial","Outside London","300","290","39680","36460"
"In post","2021","Undeclared","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","London","120","115","45930","42470"
"In post","2021","Undeclared","Communications","Outside London","240","225","30810","27050"
"In post","2021","Undeclared","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","London","160","155","40960","36160"
"In post","2021","Undeclared","Counter Fraud","Outside London","485","455","34080","31810"
"In post","2021","Undeclared","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","London","35","30","29890","25630"
"In post","2021","Undeclared","Debt","Outside London","175","155","23280","21440"
"In post","2021","Undeclared","Digital, Data & Technology","London","150","150","48200","45020"
"In post","2021","Undeclared","Digital, Data & Technology","Outside London","520","505","38720","36920"
"In post","2021","Undeclared","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","London","150","145","49060","46780"
"In post","2021","Undeclared","Finance","Outside London","360","340","35030","31870"
"In post","2021","Undeclared","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Grants Management","Outside London","40","35","29410","25590"
"In post","2021","Undeclared","Human Resources","London","155","150","47920","45410"
"In post","2021","Undeclared","Human Resources","Outside London","350","325","32790","30730"
"In post","2021","Undeclared","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","London","25","25","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Outside London","30","30","43330","40340"
"In post","2021","Undeclared","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","London","185","175","57850","60920"
"In post","2021","Undeclared","Legal","Outside London","185","175","43580","42910"
"In post","2021","Undeclared","No function","London","3015","2890","40620","35900"
"In post","2021","Undeclared","No function","Outside London","10775","9840","30390","30400"
"In post","2021","Undeclared","No function","Overseas","65","65","52580","54470"
"In post","2021","Undeclared","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","London","260","255","50220","51440"
"In post","2021","Undeclared","Project Delivery","Outside London","1515","1460","38240","36460"
"In post","2021","Undeclared","Project Delivery","Overseas","20","20","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","London","125","120","42380","37380"
"In post","2021","Undeclared","Property","Outside London","485","455","34140","32110"
"In post","2021","Undeclared","Property","Overseas","15","15","[c]","[c]"
"In post","2021","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","London","85","85","46780","41880"
"In post","2021","Undeclared","Security","Outside London","595","585","32930","33300"
"In post","2021","Undeclared","Security","Overseas","10","10","[c]","[c]"
"In post","2021","Undeclared","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","London","1330","1265","38240","31520"
"In post","2021","Undeclared","Unknown","Outside London","6230","5805","28310","27570"
"In post","2021","Undeclared","Unknown","Overseas","40","40","[c]","[c]"
"In post","2021","Undeclared","Unknown","Unknown","40","35","29110","27570"
"In post","2021","Unknown","Analysis","London","745","725","46960","41760"
"In post","2021","Unknown","Analysis","Outside London","970","940","35520","31810"
"In post","2021","Unknown","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","London","715","705","66820","62010"
"In post","2021","Unknown","Commercial","Outside London","1310","1275","47060","42410"
"In post","2021","Unknown","Commercial","Overseas","5","5","[c]","[c]"
"In post","2021","Unknown","Commercial","Unknown","10","10","[c]","[c]"
"In post","2021","Unknown","Communications","London","760","740","43760","40240"
"In post","2021","Unknown","Communications","Outside London","1815","1760","29060","25560"
"In post","2021","Unknown","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","London","570","550","37020","36160"
"In post","2021","Unknown","Counter Fraud","Outside London","1650","1555","29810","26920"
"In post","2021","Unknown","Debt","London","180","165","28950","25230"
"In post","2021","Unknown","Debt","Outside London","1595","1490","21300","20140"
"In post","2021","Unknown","Digital, Data & Technology","London","850","840","48180","43770"
"In post","2021","Unknown","Digital, Data & Technology","Outside London","2450","2400","37800","35760"
"In post","2021","Unknown","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","Unknown","10","10","[c]","[c]"
"In post","2021","Unknown","Finance","London","490","480","45720","40650"
"In post","2021","Unknown","Finance","Outside London","1250","1165","33130","28970"
"In post","2021","Unknown","Finance","Overseas","5","5","[c]","[c]"
"In post","2021","Unknown","Grants Management","Outside London","10","10","[c]","[c]"
"In post","2021","Unknown","Human Resources","London","395","390","42070","36180"
"In post","2021","Unknown","Human Resources","Outside London","1115","1050","31440","28840"
"In post","2021","Unknown","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Unknown","10","10","[c]","[c]"
"In post","2021","Unknown","Internal Audit","London","10","10","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Outside London","40","35","40580","39630"
"In post","2021","Unknown","Legal","London","1050","995","49120","51610"
"In post","2021","Unknown","Legal","Outside London","3015","2780","31960","27130"
"In post","2021","Unknown","Legal","Overseas","5","5","[c]","[c]"
"In post","2021","Unknown","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","No function","London","9685","9480","41190","34940"
"In post","2021","Unknown","No function","Outside London","29770","27675","28010","24920"
"In post","2021","Unknown","No function","Overseas","280","280","57900","56730"
"In post","2021","Unknown","No function","Unknown","460","455","34580","32000"
"In post","2021","Unknown","Project Delivery","London","1120","1090","50890","51720"
"In post","2021","Unknown","Project Delivery","Outside London","2935","2820","37680","35730"
"In post","2021","Unknown","Project Delivery","Overseas","185","185","56410","55620"
"In post","2021","Unknown","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Property","London","185","185","40000","36150"
"In post","2021","Unknown","Property","Outside London","1415","1355","28790","25860"
"In post","2021","Unknown","Property","Overseas","10","10","[c]","[c]"
"In post","2021","Unknown","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Security","London","220","215","35800","32280"
"In post","2021","Unknown","Security","Outside London","1815","1780","30030","26670"
"In post","2021","Unknown","Security","Overseas","15","15","[c]","[c]"
"In post","2021","Unknown","Security","Unknown","25","25","[c]","[c]"
"In post","2021","Unknown","Unknown","London","2375","2315","41780","35050"
"In post","2021","Unknown","Unknown","Outside London","10910","10410","33210","27570"
"In post","2021","Unknown","Unknown","Overseas","280","280","46690","46620"
"In post","2021","Unknown","Unknown","Unknown","1945","1940","37580","34160"
"Leaver CS","2021","Declared disabled","Analysis","London","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Analysis","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","Outside London","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","London","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Counter Fraud","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Debt","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Debt","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Digital, Data & Technology","London","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Digital, Data & Technology","Outside London","25","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Finance","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Finance","Outside London","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Grants Management","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Human Resources","London","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Human Resources","Outside London","30","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Internal Audit","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Legal","London","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Legal","Outside London","25","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","No function","London","125","[c]","35190","30040"
"Leaver CS","2021","Declared disabled","No function","Outside London","760","[c]","25720","21300"
"Leaver CS","2021","Declared disabled","No function","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","London","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Outside London","75","[c]","32560","32250"
"Leaver CS","2021","Declared disabled","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","London","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Outside London","35","[c]","30550","27930"
"Leaver CS","2021","Declared disabled","Property","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Outside London","40","[c]","31210","33300"
"Leaver CS","2021","Declared disabled","Security","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","London","235","[c]","36030","31520"
"Leaver CS","2021","Declared disabled","Unknown","Outside London","1460","[c]","27130","26120"
"Leaver CS","2021","Declared disabled","Unknown","Overseas","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","London","80","[c]","41850","33190"
"Leaver CS","2021","Declared non-disabled","Analysis","Outside London","50","[c]","37040","32130"
"Leaver CS","2021","Declared non-disabled","Commercial","London","40","[c]","54990","49140"
"Leaver CS","2021","Declared non-disabled","Commercial","Outside London","90","[c]","38660","35300"
"Leaver CS","2021","Declared non-disabled","Commercial","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","London","80","[c]","41860","37000"
"Leaver CS","2021","Declared non-disabled","Communications","Outside London","50","[c]","33510","29200"
"Leaver CS","2021","Declared non-disabled","Communications","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Counter Fraud","London","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Counter Fraud","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Debt","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Debt","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data & Technology","London","90","[c]","48890","47450"
"Leaver CS","2021","Declared non-disabled","Digital, Data & Technology","Outside London","115","[c]","38810","34000"
"Leaver CS","2021","Declared non-disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","London","45","[c]","54440","56760"
"Leaver CS","2021","Declared non-disabled","Finance","Outside London","105","[c]","39210","35860"
"Leaver CS","2021","Declared non-disabled","Grants Management","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","London","65","[c]","49350","45080"
"Leaver CS","2021","Declared non-disabled","Human Resources","Outside London","130","[c]","32910","27940"
"Leaver CS","2021","Declared non-disabled","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Internal Audit","London","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Internal Audit","Outside London","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Legal","London","160","[c]","50550","50520"
"Leaver CS","2021","Declared non-disabled","Legal","Outside London","215","[c]","45770","46400"
"Leaver CS","2021","Declared non-disabled","No function","London","975","[c]","43140","34300"
"Leaver CS","2021","Declared non-disabled","No function","Outside London","3915","[c]","29390","22350"
"Leaver CS","2021","Declared non-disabled","No function","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","No function","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","London","70","[c]","51950","41470"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Outside London","455","[c]","36990","33700"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Overseas","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Property","London","35","[c]","46210","45420"
"Leaver CS","2021","Declared non-disabled","Property","Outside London","275","[c]","30640","26530"
"Leaver CS","2021","Declared non-disabled","Property","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Security","London","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Security","Outside London","185","[c]","30070","26750"
"Leaver CS","2021","Declared non-disabled","Security","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","London","1275","[c]","38500","31060"
"Leaver CS","2021","Declared non-disabled","Unknown","Outside London","6850","[c]","28060","25570"
"Leaver CS","2021","Declared non-disabled","Unknown","Overseas","25","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Analysis","London","5","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Analysis","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Counter Fraud","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data & Technology","London","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data & Technology","Outside London","15","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","London","5","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Internal Audit","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","London","5","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","No function","London","130","[c]","38550","32890"
"Leaver CS","2021","Undeclared","No function","Outside London","670","[c]","30690","25230"
"Leaver CS","2021","Undeclared","Project Delivery","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Project Delivery","Outside London","60","[c]","35950","33670"
"Leaver CS","2021","Undeclared","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","Outside London","30","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Security","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Security","Outside London","30","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","London","130","[c]","39410","34700"
"Leaver CS","2021","Undeclared","Unknown","Outside London","580","[c]","27990","26780"
"Leaver CS","2021","Undeclared","Unknown","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Analysis","London","50","[c]","29000","24300"
"Leaver CS","2021","Unknown","Analysis","Outside London","65","[c]","29730","25010"
"Leaver CS","2021","Unknown","Commercial","London","20","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","Outside London","40","[c]","33470","30900"
"Leaver CS","2021","Unknown","Commercial","Unknown","35","[c]","85060","72000"
"Leaver CS","2021","Unknown","Communications","London","55","[c]","38010","38540"
"Leaver CS","2021","Unknown","Communications","Outside London","30","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","Unknown","[c]","[c]","[c]","[c]"
